Year,Gebietseinheit,Units,GeoCode,Value
2023 / 2005,"Braunschweig, Stadt",%,K03101,2.76956697231248
2023 / 2005,"Salzgitter, Stadt",%,K03102,-2.49429107179325
2023 / 2005,"Wolfsburg, Stadt",%,K03103,4.99756598651804
2023 / 2005,"Gifhorn",%,K03151,3.06963000148319
2023 / 2005,"Goslar",%,K03153,-11.202889364287
2023 / 2005,"Helmstedt",%,K03154,-5.75555760161229
2023 / 2005,"Northeim",%,K03155,-9.374190469698
2023 / 2005,"Peine",%,K03157,3.40984239974439
2023 / 2005,"Wolfenbüttel",%,K03158,-4.51130792345406
2023 / 2005,"Göttingen",%,K03159,-4.37636443444465
2023 / 2005,"Statistische Region Braunschweig",%,K031,-2.24007610114909
2023 / 2005,"Region Hannover",%,K03241,4.35366663033664
2023 / 2005,"dav. Hannover, Lhst.",%,K03241001,6.29342154503625
2023 / 2005,"dav. Hannover, Umland",%,K03241999,2.72121720456778
2023 / 2005,"Diepholz",%,K03251,3.84322749457197
2023 / 2005,"Hameln-Pyrmont",%,K03252,-5.9202952952953
2023 / 2005,"Hildesheim",%,K03254,-4.15354919953345
2023 / 2005,"Holzminden",%,K03255,-9.25588439128314
2023 / 2005,"Nienburg (Weser)",%,K03256,-1.57464050210535
2023 / 2005,"Schaumburg",%,K03257,-3.21399880403728
2023 / 2005,"Statistische Region Hannover",%,K032,0.987421433057337
2023 / 2005,"Celle",%,K03351,-5.04264322202977E-02
2023 / 2005,"Cuxhaven",%,K03352,-1.67481829341959
2023 / 2005,"Harburg",%,K03353,9.01016015581387
2023 / 2005,"Lüchow-Dannenberg",%,K03354,-4.17315781274342
2023 / 2005,"Lüneburg",%,K03355,7.64815522027348
2023 / 2005,"Osterholz",%,K03356,3.32265990189904
2023 / 2005,"Rotenburg (Wümme)",%,K03357,2.17073540561031
2023 / 2005,"Heidekreis",%,K03358,0.379876364961662
2023 / 2005,"Stade",%,K03359,7.63048733935615
2023 / 2005,"Uelzen",%,K03360,-1.91046007839901
2023 / 2005,"Verden",%,K03361,5.41824527907879
2023 / 2005,"Statistische Region Lüneburg",%,K033,3.39210613256125
2023 / 2005,"Delmenhorst, Stadt",%,K03401,4.03472258812372
2023 / 2005,"Emden, Stadt",%,K03402,-2.00027082970615
2023 / 2005,"Oldenburg (Oldb), Stadt",%,K03403,10.1308611610381
2023 / 2005,"Osnabrück, Stadt",%,K03404,1.9204707778334
2023 / 2005,"Wilhelmshaven, Stadt",%,K03405,-8.7430582152432
2023 / 2005,"Ammerland",%,K03451,11.4046819856589
2023 / 2005,"Aurich",%,K03452,1.30438441471009
2023 / 2005,"Cloppenburg",%,K03453,14.7273872091081
2023 / 2005,"Emsland",%,K03454,9.73659090322747
2023 / 2005,"Friesland",%,K03455,-0.77111189997239
2023 / 2005,"Grafschaft Bentheim",%,K03456,5.58158908674373
2023 / 2005,"Leer",%,K03457,5.37272198526561
2023 / 2005,"Oldenburg",%,K03458,7.07065083392322
2023 / 2005,"Osnabrück",%,K03459,1.88622029828988
2023 / 2005,"Vechta",%,K03460,11.5935680244107
2023 / 2005,"Wesermarsch",%,K03461,-4.22939450520139
2023 / 2005,"Wittmund",%,K03462,0.762673844773441
2023 / 2005,"Statistische Region Weser-Ems",%,K034,5.0832189101092
2023 / 2005,"Niedersachsen",%,K030,2.1020282098478
2023 / 2018,"Braunschweig, Stadt",%,K03101,1.4972269167599
2023 / 2018,"Salzgitter, Stadt",%,K03102,8.66344881424995E-02
2023 / 2018,"Wolfsburg, Stadt",%,K03103,2.439963538065
2023 / 2018,"Gifhorn",%,K03151,2.63395303272655
2023 / 2018,"Goslar",%,K03153,-1.88050711975313
2023 / 2018,"Helmstedt",%,K03154,0.885772282708987
2023 / 2018,"Northeim",%,K03155,0.130887098594092
2023 / 2018,"Peine",%,K03157,3.74003017891787
2023 / 2018,"Wolfenbüttel",%,K03158,0.658357831973831
2023 / 2018,"Göttingen",%,K03159,0.266908241931954
2023 / 2018,"Statistische Region Braunschweig",%,K031,1.05784820733527
2023 / 2018,"Region Hannover",%,K03241,1.70267543874546
2023 / 2018,"dav. Hannover, Lhst.",%,K03241001,1.84572389663362
2023 / 2018,"dav. Hannover, Umland",%,K03241999,1.57810290870387
2023 / 2018,"Diepholz",%,K03251,3.10322027234712
2023 / 2018,"Hameln-Pyrmont",%,K03252,1.20896147682159
2023 / 2018,"Hildesheim",%,K03254,0.709693399528307
2023 / 2018,"Holzminden",%,K03255,-0.380448618221933
2023 / 2018,"Nienburg (Weser)",%,K03256,2.0195660596668
2023 / 2018,"Schaumburg",%,K03257,1.53211513018298
2023 / 2018,"Statistische Region Hannover",%,K032,1.62363187244141
2023 / 2018,"Celle",%,K03351,1.87329999122576
2023 / 2018,"Cuxhaven",%,K03352,1.79599480771708
2023 / 2018,"Harburg",%,K03353,4.11204175770818
2023 / 2018,"Lüchow-Dannenberg",%,K03354,1.59523664370339
2023 / 2018,"Lüneburg",%,K03355,2.90534208059981
2023 / 2018,"Osterholz",%,K03356,2.54964073244225
2023 / 2018,"Rotenburg (Wümme)",%,K03357,2.96757571800017
2023 / 2018,"Heidekreis",%,K03358,2.41935483870968
2023 / 2018,"Stade",%,K03359,3.95569994372644
2023 / 2018,"Uelzen",%,K03360,2.6459700487969
2023 / 2018,"Verden",%,K03361,3.22393508266772
2023 / 2018,"Statistische Region Lüneburg",%,K033,2.89595723802016
2023 / 2018,"Delmenhorst, Stadt",%,K03401,1.73717064029679
2023 / 2018,"Emden, Stadt",%,K03402,0.915928068062931
2023 / 2018,"Oldenburg (Oldb), Stadt",%,K03403,3.67579268048262
2023 / 2018,"Osnabrück, Stadt",%,K03404,1.32486823191184
2023 / 2018,"Wilhelmshaven, Stadt",%,K03405,-4.06573373378625E-02
2023 / 2018,"Ammerland",%,K03451,3.90138488707129
2023 / 2018,"Aurich",%,K03452,1.43296228609404
2023 / 2018,"Cloppenburg",%,K03453,5.16117470486772
2023 / 2018,"Emsland",%,K03454,4.29734336428823
2023 / 2018,"Friesland",%,K03455,2.156414588095
2023 / 2018,"Grafschaft Bentheim",%,K03456,3.8289208572274
2023 / 2018,"Leer",%,K03457,2.36597594351556
2023 / 2018,"Oldenburg",%,K03458,3.32563270217871
2023 / 2018,"Osnabrück",%,K03459,2.42635072591193
2023 / 2018,"Vechta",%,K03460,4.16443881936501
2023 / 2018,"Wesermarsch",%,K03461,1.26669711790198
2023 / 2018,"Wittmund",%,K03462,2.59264333173505
2023 / 2018,"Statistische Region Weser-Ems",%,K034,2.92004896028589
2023 / 2018,"Niedersachsen",%,K030,2.1996253115512
2023 / 2022,"Braunschweig, Stadt",%,K03101,0.103941031317195
2023 / 2022,"Salzgitter, Stadt",%,K03102,0.467445425032607
2023 / 2022,"Wolfsburg, Stadt",%,K03103,1.01763374614949
2023 / 2022,"Gifhorn",%,K03151,0.247400085234034
2023 / 2022,"Goslar",%,K03153,-0.139048964568539
2023 / 2022,"Helmstedt",%,K03154,-0.376670321201003
2023 / 2022,"Northeim",%,K03155,-0.239959680755835
2023 / 2022,"Peine",%,K03157,0.171732413594884
2023 / 2022,"Wolfenbüttel",%,K03158,0.185499565235394
2023 / 2022,"Göttingen",%,K03159,0.150173885551691
2023 / 2022,"Statistische Region Braunschweig",%,K031,0.161081995011974
2023 / 2022,"Region Hannover",%,K03241,0.321395697967862
2023 / 2022,"dav. Hannover, Lhst.",%,K03241001,0.57298070362979
2023 / 2022,"dav. Hannover, Umland",%,K03241999,0.102305040588413
2023 / 2022,"Diepholz",%,K03251,0.45391186246828
2023 / 2022,"Hameln-Pyrmont",%,K03252,-0.174893766998943
2023 / 2022,"Hildesheim",%,K03254,7.17949822486906E-02
2023 / 2022,"Holzminden",%,K03255,-0.289932961841994
2023 / 2022,"Nienburg (Weser)",%,K03256,0.338208704636446
2023 / 2022,"Schaumburg",%,K03257,0.172245937242567
2023 / 2022,"Statistische Region Hannover",%,K032,0.239236420312948
2023 / 2022,"Celle",%,K03351,0.196323593928227
2023 / 2022,"Cuxhaven",%,K03352,0.210564908490968
2023 / 2022,"Harburg",%,K03353,0.654740228210731
2023 / 2022,"Lüchow-Dannenberg",%,K03354,6.29966063118535E-02
