Year,Gebietseinheit,Aufenthaltsdauer in Jahren,Geschlecht,GeoCode,Value
2023,"Braunschweig, Stadt",unter 1,Insgesamt,K03101,3065
2023,"Salzgitter, Stadt",unter 1,Insgesamt,K03102,1865
2023,"Wolfsburg, Stadt",unter 1,Insgesamt,K03103,2060
2023,"Gifhorn",unter 1,Insgesamt,K03151,1710
2023,"Goslar",unter 1,Insgesamt,K03153,2805
2023,"Helmstedt",unter 1,Insgesamt,K03154,900
2023,"Northeim",unter 1,Insgesamt,K03155,1220
2023,"Peine",unter 1,Insgesamt,K03157,1610
2023,"Wolfenbüttel",unter 1,Insgesamt,K03158,1280
2023,"Göttingen",unter 1,Insgesamt,K03159,3900
2023,"Statistische Region Braunschweig",unter 1,Insgesamt,K031,20410
2023,"Region Hannover",unter 1,Insgesamt,K03241,11670
2023,"dav. Hannover, Lhst.",unter 1,Insgesamt,K03241001,5825
2023,"dav. Hannover, Umland",unter 1,Insgesamt,K03241999,5845
2023,"Diepholz",unter 1,Insgesamt,K03251,2405
2023,"Hameln-Pyrmont",unter 1,Insgesamt,K03252,1760
2023,"Hildesheim",unter 1,Insgesamt,K03254,2990
2023,"Holzminden",unter 1,Insgesamt,K03255,605
2023,"Nienburg (Weser)",unter 1,Insgesamt,K03256,1230
2023,"Schaumburg",unter 1,Insgesamt,K03257,1690
2023,"Statistische Region Hannover",unter 1,Insgesamt,K032,22350
2023,"Celle",unter 1,Insgesamt,K03351,1745
2023,"Cuxhaven",unter 1,Insgesamt,K03352,1900
2023,"Harburg",unter 1,Insgesamt,K03353,3265
2023,"Lüchow-Dannenberg",unter 1,Insgesamt,K03354,360
2023,"Lüneburg",unter 1,Insgesamt,K03355,1970
2023,"Osterholz",unter 1,Insgesamt,K03356,925
2023,"Rotenburg (Wümme)",unter 1,Insgesamt,K03357,1795
2023,"Heidekreis",unter 1,Insgesamt,K03358,1785
2023,"Stade",unter 1,Insgesamt,K03359,2660
2023,"Uelzen",unter 1,Insgesamt,K03360,805
2023,"Verden",unter 1,Insgesamt,K03361,1345
2023,"Statistische Region Lüneburg",unter 1,Insgesamt,K033,18550
2023,"Delmenhorst, Stadt",unter 1,Insgesamt,K03401,1475
2023,"Emden, Stadt",unter 1,Insgesamt,K03402,780
2023,"Oldenburg (Oldb), Stadt",unter 1,Insgesamt,K03403,2140
2023,"Osnabrück, Stadt",unter 1,Insgesamt,K03404,2435
2023,"Wilhelmshaven, Stadt",unter 1,Insgesamt,K03405,1440
2023,"Ammerland",unter 1,Insgesamt,K03451,975
