Year,Land der Staatsangehörigkeit,Kategorie,Units,Value
2022,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,35625
2022,"Griechenland",Ausländerinnen und Ausländer,Anzahl,19010
2022,"Italien",Ausländerinnen und Ausländer,Anzahl,28945
2022,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,20475
2022,"Kroatien",Ausländerinnen und Ausländer,Anzahl,12205
2022,"Kosovo",Ausländerinnen und Ausländer,Anzahl,18775
2022,"Niederlande",Ausländerinnen und Ausländer,Anzahl,29535
2022,"Polen",Ausländerinnen und Ausländer,Anzahl,101635
2022,"Rumänien",Ausländerinnen und Ausländer,Anzahl,74805
2022,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,23810
2022,"Spanien",Ausländerinnen und Ausländer,Anzahl,12745
2022,"Türkei",Ausländerinnen und Ausländer,Anzahl,90615
2022,"Ukraine",Ausländerinnen und Ausländer,Anzahl,119230
2022,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,10
2022,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,695750
2022,"übrige afrikanische Staaten",Ausländerinnen und Ausländer,Anzahl,7795
2022,"Afrika insgesamt",Ausländerinnen und Ausländer,Anzahl,51550
2022,"übrige amerikanische Staaten",Ausländerinnen und Ausländer,Anzahl,1665
2022,"Amerika insgesamt",Ausländerinnen und Ausländer,Anzahl,20895
2022,"Afghanistan",Ausländerinnen und Ausländer,Anzahl,28755
2022,"China",Ausländerinnen und Ausländer,Anzahl,9890
2022,"Indien",Ausländerinnen und Ausländer,Anzahl,10035
2022,"Irak",Ausländerinnen und Ausländer,Anzahl,46925
2022,"Iran, Islamische Republik",Ausländerinnen und Ausländer,Anzahl,12300
2022,"Syrien, Arabische Republik",Ausländerinnen und Ausländer,Anzahl,96330
2022,"Vietnam",Ausländerinnen und Ausländer,Anzahl,9690
2022,"übrige asiatische Staaten",Ausländerinnen und Ausländer,Anzahl,4670
2022,"Asien insgesamt",Ausländerinnen und Ausländer,Anzahl,262510
2022,"Australien und Ozeanien",Ausländerinnen und Ausländer,Anzahl,1005
2022,"staatenlos",Ausländerinnen und Ausländer,Anzahl,3755
2022,"ungeklärt,oh.Angabe,unbekannt",Ausländerinnen und Ausländer,Anzahl,9650
2022,"Ausländer insgesamt",Ausländerinnen und Ausländer,Anzahl,1045140
2021,"Bulgarien",Ausländerinnen und Ausländer,Anzahl,33940
2021,"Griechenland",Ausländerinnen und Ausländer,Anzahl,18920
2021,"Italien",Ausländerinnen und Ausländer,Anzahl,29130
2021,"Serbien (ohne Kosovo) ab 2008",Ausländerinnen und Ausländer,Anzahl,19975
2021,"Kroatien",Ausländerinnen und Ausländer,Anzahl,12095
2021,"Kosovo",Ausländerinnen und Ausländer,Anzahl,17810
2021,"Niederlande",Ausländerinnen und Ausländer,Anzahl,29745
2021,"Polen",Ausländerinnen und Ausländer,Anzahl,100220
2021,"Rumänien",Ausländerinnen und Ausländer,Anzahl,71540
2021,"Russische Föderation",Ausländerinnen und Ausländer,Anzahl,22695
2021,"Spanien",Ausländerinnen und Ausländer,Anzahl,12420
2021,"Türkei",Ausländerinnen und Ausländer,Anzahl,88375
2021,"Ukraine",Ausländerinnen und Ausländer,Anzahl,11890
2021,"übrige europäische Staaten",Ausländerinnen und Ausländer,Anzahl,10
2021,"Europa insgesamt",Ausländerinnen und Ausländer,Anzahl,572025
