Year,Gebietseinheit,Altersgruppe,GeoCode,Value
2023,"Braunschweig, Stadt",Insgesamt,K03101,36655
2023,"Salzgitter, Stadt",Insgesamt,K03102,24930
2023,"Wolfsburg, Stadt",Insgesamt,K03103,25290
2023,"Gifhorn",Insgesamt,K03151,17720
2023,"Goslar",Insgesamt,K03153,17275
2023,"Helmstedt",Insgesamt,K03154,9350
2023,"Northeim",Insgesamt,K03155,13190
2023,"Peine",Insgesamt,K03157,15905
2023,"Wolfenbüttel",Insgesamt,K03158,11100
2023,"Göttingen",Insgesamt,K03159,40725
2023,"Statistische Region Braunschweig",Insgesamt,K031,212145
2023,"Region Hannover",Insgesamt,K03241,223200
2023,"dav. Hannover, Lhst.",Insgesamt,K03241001,132115
2023,"dav. Hannover, Umland",Insgesamt,K03241999,91085
2023,"Diepholz",Insgesamt,K03251,25330
2023,"Hameln-Pyrmont",Insgesamt,K03252,22210
2023,"Hildesheim",Insgesamt,K03254,33520
2023,"Holzminden",Insgesamt,K03255,6580
2023,"Nienburg (Weser)",Insgesamt,K03256,14445
2023,"Schaumburg",Insgesamt,K03257,18900
2023,"Statistische Region Hannover",Insgesamt,K032,344185
2023,"Celle",Insgesamt,K03351,18540
2023,"Cuxhaven",Insgesamt,K03352,17310
2023,"Harburg",Insgesamt,K03353,31005
2023,"Lüchow-Dannenberg",Insgesamt,K03354,3910
2023,"Lüneburg",Insgesamt,K03355,16965
2023,"Osterholz",Insgesamt,K03356,9655
2023,"Rotenburg (Wümme)",Insgesamt,K03357,16750
2023,"Heidekreis",Insgesamt,K03358,17010
2023,"Stade",Insgesamt,K03359,26610
2023,"Uelzen",Insgesamt,K03360,8315
2023,"Verden",Insgesamt,K03361,15210
2023,"Statistische Region Lüneburg",Insgesamt,K033,181275
2023,"Delmenhorst, Stadt",Insgesamt,K03401,16860
2023,"Emden, Stadt",Insgesamt,K03402,7905
2023,"Oldenburg (Oldb), Stadt",Insgesamt,K03403,23910
2023,"Osnabrück, Stadt",Insgesamt,K03404,30835
2023,"Wilhelmshaven, Stadt",Insgesamt,K03405,11965
2023,"Ammerland",Insgesamt,K03451,11550
2023,"Aurich",Insgesamt,K03452,15545
2023,"Cloppenburg",Insgesamt,K03453,27370
2023,"Emsland",Insgesamt,K03454,51305
2023,"Friesland",Insgesamt,K03455,6815
2023,"Grafschaft Bentheim",Insgesamt,K03456,26620
2023,"Leer",Insgesamt,K03457,19135
2023,"Oldenburg",Insgesamt,K03458,15505
2023,"Osnabrück",Insgesamt,K03459,42530
2023,"Vechta",Insgesamt,K03460,25165
2023,"Wesermarsch",Insgesamt,K03461,10155
2023,"Wittmund",Insgesamt,K03462,4535
2023,"Statistische Region Weser-Ems",Insgesamt,K034,347710
2023,"Niedersachsen",Insgesamt,,1085315
2023,"Braunschweig, Stadt",0 - 6,K03101,1590
2023,"Salzgitter, Stadt",0 - 6,K03102,1960
2023,"Wolfsburg, Stadt",0 - 6,K03103,1600
2023,"Gifhorn",0 - 6,K03151,1145
2023,"Goslar",0 - 6,K03153,975
2023,"Helmstedt",0 - 6,K03154,635
2023,"Northeim",0 - 6,K03155,1005
2023,"Peine",0 - 6,K03157,1050
2023,"Wolfenbüttel",0 - 6,K03158,745
2023,"Göttingen",0 - 6,K03159,2365
2023,"Statistische Region Braunschweig",0 - 6,K031,13070
2023,"Region Hannover",0 - 6,K03241,11065
2023,"dav. Hannover, Lhst.",0 - 6,K03241001,5710
2023,"dav. Hannover, Umland",0 - 6,K03241999,5355
2023,"Diepholz",0 - 6,K03251,1730
2023,"Hameln-Pyrmont",0 - 6,K03252,1650
2023,"Hildesheim",0 - 6,K03254,2120
2023,"Holzminden",0 - 6,K03255,435
2023,"Nienburg (Weser)",0 - 6,K03256,995
2023,"Schaumburg",0 - 6,K03257,1265
2023,"Statistische Region Hannover",0 - 6,K032,19250
2023,"Celle",0 - 6,K03351,1210
2023,"Cuxhaven",0 - 6,K03352,1035
2023,"Harburg",0 - 6,K03353,1515
2023,"Lüchow-Dannenberg",0 - 6,K03354,255
2023,"Lüneburg",0 - 6,K03355,1040
2023,"Osterholz",0 - 6,K03356,695
2023,"Rotenburg (Wümme)",0 - 6,K03357,1060
2023,"Heidekreis",0 - 6,K03358,1090
2023,"Stade",0 - 6,K03359,1850
2023,"Uelzen",0 - 6,K03360,605
2023,"Verden",0 - 6,K03361,945
2023,"Statistische Region Lüneburg",0 - 6,K033,11305
2023,"Delmenhorst, Stadt",0 - 6,K03401,1305
2023,"Emden, Stadt",0 - 6,K03402,590
2023,"Oldenburg (Oldb), Stadt",0 - 6,K03403,1630
2023,"Osnabrück, Stadt",0 - 6,K03404,1725
2023,"Wilhelmshaven, Stadt",0 - 6,K03405,975
2023,"Ammerland",0 - 6,K03451,685
2023,"Aurich",0 - 6,K03452,1065
2023,"Cloppenburg",0 - 6,K03453,1885
2023,"Emsland",0 - 6,K03454,3255
2023,"Friesland",0 - 6,K03455,465
2023,"Grafschaft Bentheim",0 - 6,K03456,1390
2023,"Leer",0 - 6,K03457,1540
2023,"Oldenburg",0 - 6,K03458,980
2023,"Osnabrück",0 - 6,K03459,2590
2023,"Vechta",0 - 6,K03460,1810
2023,"Wesermarsch",0 - 6,K03461,705
2023,"Wittmund",0 - 6,K03462,325
2023,"Statistische Region Weser-Ems",0 - 6,K034,22920
2023,"Niedersachsen",0 - 6,,66545
2023,"Braunschweig, Stadt",6 - 15,K03101,2795
2023,"Salzgitter, Stadt",6 - 15,K03102,2950
2023,"Wolfsburg, Stadt",6 - 15,K03103,2420
2023,"Gifhorn",6 - 15,K03151,2050
2023,"Goslar",6 - 15,K03153,1515
2023,"Helmstedt",6 - 15,K03154,1120
2023,"Northeim",6 - 15,K03155,1745
2023,"Peine",6 - 15,K03157,1930
2023,"Wolfenbüttel",6 - 15,K03158,1340
2023,"Göttingen",6 - 15,K03159,3795
2023,"Statistische Region Braunschweig",6 - 15,K031,21660
2023,"Region Hannover",6 - 15,K03241,20315
2023,"dav. Hannover, Lhst.",6 - 15,K03241001,10580
2023,"dav. Hannover, Umland",6 - 15,K03241999,9735
2023,"Diepholz",6 - 15,K03251,3070
2023,"Hameln-Pyrmont",6 - 15,K03252,2710
2023,"Hildesheim",6 - 15,K03254,3515
2023,"Holzminden",6 - 15,K03255,835
2023,"Nienburg (Weser)",6 - 15,K03256,1980
2023,"Schaumburg",6 - 15,K03257,2055
2023,"Statistische Region Hannover",6 - 15,K032,34475
2023,"Celle",6 - 15,K03351,2245
2023,"Cuxhaven",6 - 15,K03352,2025
2023,"Harburg",6 - 15,K03353,2440
2023,"Lüchow-Dannenberg",6 - 15,K03354,480
2023,"Lüneburg",6 - 15,K03355,1845
2023,"Osterholz",6 - 15,K03356,1355
2023,"Rotenburg (Wümme)",6 - 15,K03357,1870
2023,"Heidekreis",6 - 15,K03358,1935
2023,"Stade",6 - 15,K03359,3175
2023,"Uelzen",6 - 15,K03360,1025
2023,"Verden",6 - 15,K03361,1640
2023,"Statistische Region Lüneburg",6 - 15,K033,20030
2023,"Delmenhorst, Stadt",6 - 15,K03401,2040
2023,"Emden, Stadt",6 - 15,K03402,985
2023,"Oldenburg (Oldb), Stadt",6 - 15,K03403,2725
2023,"Osnabrück, Stadt",6 - 15,K03404,2820
2023,"Wilhelmshaven, Stadt",6 - 15,K03405,1505
2023,"Ammerland",6 - 15,K03451,1460
2023,"Aurich",6 - 15,K03452,1725
2023,"Cloppenburg",6 - 15,K03453,3030
2023,"Emsland",6 - 15,K03454,5155
2023,"Friesland",6 - 15,K03455,1010
2023,"Grafschaft Bentheim",6 - 15,K03456,2440
2023,"Leer",6 - 15,K03457,2475
2023,"Oldenburg",6 - 15,K03458,1695
2023,"Osnabrück",6 - 15,K03459,4240
2023,"Vechta",6 - 15,K03460,2700
2023,"Wesermarsch",6 - 15,K03461,1305
2023,"Wittmund",6 - 15,K03462,605
2023,"Statistische Region Weser-Ems",6 - 15,K034,37915
2023,"Niedersachsen",6 - 15,,114080
2023,"Braunschweig, Stadt",15 - 20,K03101,1465
2023,"Salzgitter, Stadt",15 - 20,K03102,1470
2023,"Wolfsburg, Stadt",15 - 20,K03103,1250
