Year,Gebietseinheit,Geschlecht,Units,GeoCode,Value
2023,"Braunschweig, Stadt",männlich,Jahre,RH03101,36.3
2023,"Braunschweig, Stadt",weiblich,Jahre,RH03101,38.4
2023,"Salzgitter, Stadt",insgesamt,Jahre,RH03102,37.3
2023,"Salzgitter, Stadt",männlich,Jahre,RH03102,34.4
2023,"Salzgitter, Stadt",weiblich,Jahre,RH03102,35.3
2023,"Wolfsburg, Stadt",insgesamt,Jahre,RH03103,34.8
2023,"Wolfsburg, Stadt",männlich,Jahre,RH03103,36.3
2023,"Wolfsburg, Stadt",weiblich,Jahre,RH03103,36.8
2023,"Gifhorn",insgesamt,Jahre,RH03151,36.5
2023,"Gifhorn",männlich,Jahre,RH03151,34.7
2023,"Gifhorn",weiblich,Jahre,RH03151,36.5
2023,"Goslar",insgesamt,Jahre,RH03153,35.6
2023,"Goslar",männlich,Jahre,RH03153,34.1
2023,"Goslar",weiblich,Jahre,RH03153,36.5
2023,"Helmstedt",insgesamt,Jahre,RH03154,35.2
2023,"Helmstedt",männlich,Jahre,RH03154,35.2
2023,"Helmstedt",weiblich,Jahre,RH03154,36
2023,"Northeim",insgesamt,Jahre,RH03155,35.6
2023,"Northeim",männlich,Jahre,RH03155,33.7
2023,"Northeim",weiblich,Jahre,RH03155,35.7
2023,"Peine",insgesamt,Jahre,RH03157,34.7
2023,"Peine",männlich,Jahre,RH03157,34.1
2023,"Peine",weiblich,Jahre,RH03157,35.6
2023,"Wolfenbüttel",insgesamt,Jahre,RH03158,34.8
2023,"Wolfenbüttel",männlich,Jahre,RH03158,34
2023,"Wolfenbüttel",weiblich,Jahre,RH03158,35.7
2023,"Göttingen",insgesamt,Jahre,RH03159,34.8
2023,"Göttingen",männlich,Jahre,RH03159,34.8
2023,"Göttingen",weiblich,Jahre,RH03159,36
2023,"Statistische Region Braunschweig",insgesamt,Jahre,RH031,35.4
2023,"Statistische Region Braunschweig",männlich,Jahre,RH031,35
2023,"Statistische Region Braunschweig",weiblich,Jahre,RH031,36.4
2023,"Region Hannover",insgesamt,Jahre,RH03241,35.7
2023,"Region Hannover",männlich,Jahre,RH03241,37.4
2023,"Region Hannover",weiblich,Jahre,RH03241,38.9
2023,"Diepholz",insgesamt,Jahre,RH03251,38.1
