Year,Nationalität,Gebietseinheit,GeoCode,Value
2005,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,84
2005,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,41
2005,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,42
2005,Ausländerinnen und Ausländer,"Gifhorn",K03151,12
2005,Ausländerinnen und Ausländer,"Goslar",K03153,44
2005,Ausländerinnen und Ausländer,"Helmstedt",K03154,20
2005,Ausländerinnen und Ausländer,"Northeim",K03155,41
2005,Ausländerinnen und Ausländer,"Peine",K03157,38
2005,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,18
2005,Ausländerinnen und Ausländer,"Göttingen",K03159,128
2005,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,468
2005,Ausländerinnen und Ausländer,"Region Hannover",K03241,404
2005,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,270
2005,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,134
2005,Ausländerinnen und Ausländer,"Diepholz",K03251,50
2005,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,35
2005,Ausländerinnen und Ausländer,"Hildesheim",K03254,118
2005,Ausländerinnen und Ausländer,"Holzminden",K03255,13
2005,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,48
2005,Ausländerinnen und Ausländer,"Schaumburg",K03257,33
2005,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,701
2005,Ausländerinnen und Ausländer,"Celle",K03351,40
2005,Ausländerinnen und Ausländer,"Cuxhaven",K03352,45
2005,Ausländerinnen und Ausländer,"Harburg",K03353,55
2005,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,5
2005,Ausländerinnen und Ausländer,"Lüneburg",K03355,42
2005,Ausländerinnen und Ausländer,"Osterholz",K03356,42
2005,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,37
2005,Ausländerinnen und Ausländer,"Heidekreis",K03358,42
2005,Ausländerinnen und Ausländer,"Stade",K03359,43
2005,Ausländerinnen und Ausländer,"Uelzen",K03360,28
2005,Ausländerinnen und Ausländer,"Verden",K03361,44
2005,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,423
2005,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,18
