Year,Gebietseinheit,Kategorie,Units,GeoCode,Value
2022,"Braunschweig, Stadt",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03101,174.7
2022,"Salzgitter, Stadt",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03102,57.6
2022,"Wolfsburg, Stadt",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03103,77.1
2022,"Gifhorn",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03151,129.2
2022,"Goslar",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03153,107.1
2022,"Helmstedt",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03154,74.8
2022,"Northeim",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03155,110
2022,"Peine",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03157,92.7
2022,"Wolfenbüttel",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03158,94.8
2022,"Göttingen",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03159,253.3
2022,"Statistische Region Braunschweig",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ031,1171.4
2022,"Region Hannover",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03241,761.7
2022,"dav. Hannover, Lhst.",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03241001,317.3
2022,"dav. Hannover, Umland",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03241999,444.4
2022,"Diepholz",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03251,166
2022,"Hameln-Pyrmont",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03252,105.3
2022,"Hildesheim",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03254,207.4
2022,"Holzminden",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03255,56.5
2022,"Nienburg (Weser)",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03256,88.6
2022,"Schaumburg",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03257,118.7
2022,"Statistische Region Hannover",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ032,1504.2
2022,"Celle",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03351,139.7
2022,"Cuxhaven",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03352,159.2
2022,"Harburg",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03353,194.6
2022,"Uelzen Lüchow-Dannenberg",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03354360,110.2
2022,"Lüneburg",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03355,152.1
2022,"Osterholz",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03356,97.5
2022,"Rotenburg (Wümme)",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03357,137.6
2022,"Heidekreis",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03358,114.2
2022,"Stade",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03359,167
2022,"Uelzen Lüchow-Dannenberg",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03354360,110.2
2022,"Verden",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03361,106.2
2022,"Statistische Region Lüneburg",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ033,1378.5
2022,"Delmenhorst, Stadt",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03401,45.2
2022,"Emden, Stadt / Leer",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03402457,180.7
2022,"Oldenburg (Oldb), Stadt",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03403,131.4
2022,"Osnabrück, Stadt",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03404,101.8
2022,"Wilhelmshaven, Stadt",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03405,54.4
2022,"Ammerland",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03451,105.9
2022,"Aurich",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03452,168.5
2022,"Cloppenburg",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03453,128.5
2022,"Emsland",Personen ohne Migrationshintergrund,"Anzahl in 1000",MZ03454,255.7
