Year,Altersgruppe,Geschlecht,Units,Value
2022,0 – 3,Männlich,in 1000,48.38
2022,3 – 6,Männlich,in 1000,51.23
2022,6 – 15,Männlich,in 1000,129.76
2022,15 – 20,Männlich,in 1000,75.27
2022,20 – 40,Männlich,in 1000,313.36
2022,40 – 65,Männlich,in 1000,304.07
2022,65 – 80,Männlich,in 1000,73.25
2022,80 und älter,Männlich,in 1000,20.94
2022,Insgesamt,Männlich,in 1000,1016.26
2021,0 – 3,Männlich,in 1000,47.13
2021,3 – 6,Männlich,in 1000,43.21
2021,6 – 15,Männlich,in 1000,128.82
2021,15 – 20,Männlich,in 1000,71.08
2021,20 – 40,Männlich,in 1000,302.95
2021,40 – 65,Männlich,in 1000,298.96
2021,65 – 80,Männlich,in 1000,71.6
2021,80 und älter,Männlich,in 1000,20.77
2021,Insgesamt,Männlich,in 1000,984.51
2019,0 – 3,Männlich,in 1000,41.17448
2019,3 – 6,Männlich,in 1000,38.46384
2019,6 – 15,Männlich,in 1000,117.68768
2019,15 – 20,Männlich,in 1000,62.02948
2019,20 – 40,Männlich,in 1000,293.56019
2019,40 – 65,Männlich,in 1000,272.82487
2019,65 – 80,Männlich,in 1000,63.22189
2019,80 und älter,Männlich,in 1000,12.31427
2019,Insgesamt,Männlich,in 1000,901.27669
2018,0 – 3,Männlich,in 1000,39.06125
2018,3 – 6,Männlich,in 1000,36.04102
2018,6 – 15,Männlich,in 1000,116.42134
2018,15 – 20,Männlich,in 1000,59.58151
2018,20 – 40,Männlich,in 1000,299.2321
2018,40 – 65,Männlich,in 1000,265.2847
2018,65 – 80,Männlich,in 1000,64.1912
2018,80 und älter,Männlich,in 1000,10.58344
2018,Insgesamt,Männlich,in 1000,890.39656
2017,0 – 3,Männlich,in 1000,41.21535
2017,3 – 6,Männlich,in 1000,36.88124
2017,6 – 15,Männlich,in 1000,118.75584
2017,15 – 20,Männlich,in 1000,66.81256
2017,20 – 40,Männlich,in 1000,303.93865
2017,40 – 65,Männlich,in 1000,262.8365
2017,65 – 80,Männlich,in 1000,59.67327
2017,80 und älter,Männlich,in 1000,13.25795
2017,Insgesamt,Männlich,in 1000,903.37136
2016,0 – 3,Männlich,in 1000,39.46235
2016,3 – 6,Männlich,in 1000,39.42012
2016,6 – 15,Männlich,in 1000,107.32152
2016,15 – 20,Männlich,in 1000,59.28871
2016,20 – 40,Männlich,in 1000,256.40229
2016,40 – 65,Männlich,in 1000,241.36802
2016,65 – 80,Männlich,in 1000,55.1279
2016,80 und älter,Männlich,in 1000,13.00728
2016,Insgesamt,Männlich,in 1000,811.39817
2015,0 – 3,Männlich,in 1000,36.30469
2015,3 – 6,Männlich,in 1000,31.93609
2015,6 – 15,Männlich,in 1000,98.07831
2015,15 – 20,Männlich,in 1000,52.43902
