Year,Wanderungsherkunft,Units,Value
2007,"Europa insgesamt",Anzahl,55712
2007,"Albanien",Anzahl,57
2007,"Bulgarien",Anzahl,1145
2007,"Italien",Anzahl,944
2007,"Moldau, Republik",Anzahl,62
2007,"Polen",Anzahl,27559
2007,"Rumänien",Anzahl,2956
2007,"Russische Föderation",Anzahl,5131
2007,"Spanien",Anzahl,1306
2007,"Türkei",Anzahl,
2007,"Ukraine",Anzahl,740
2007,"Ungarn",Anzahl,2527
2007,"EU Staaten",Anzahl,46319
2007,"Afrika insgesamt",Anzahl,1771
2007,"Amerika insgesamt",Anzahl,3802
2007,"Kolumbien",Anzahl,161
2007,"Asien insgesamt",Anzahl,6787
2007,"Afghanistan",Anzahl,44
2007,"Georgien",Anzahl,121
2007,"Indien",Anzahl,490
2007,"Irak",Anzahl,383
2007,"Iran",Anzahl,255
2007,"Kasachstan",Anzahl,1488
2007,"Syrien, Arabische Republik",Anzahl,176
2007,"Australien und Ozeanien",Anzahl,336
2007,"Sonstige Ziele",Anzahl,2346
2007,"ohne Angabe",Anzahl,15
2007,"Insgesamt",Anzahl,70754
2008,"Europa insgesamt",Anzahl,53002
2008,"Albanien",Anzahl,64
2008,"Bulgarien",Anzahl,2099
2008,"Italien",Anzahl,1117
2008,"Moldau, Republik",Anzahl,67
2008,"Polen",Anzahl,23436
2008,"Rumänien",Anzahl,4045
2008,"Russische Föderation",Anzahl,3925
2008,"Spanien",Anzahl,1346
2008,"Türkei",Anzahl,
2008,"Ukraine",Anzahl,704
2008,"Ungarn",Anzahl,2857
2008,"EU Staaten",Anzahl,44666
2008,"Afrika insgesamt",Anzahl,1686
2008,"Amerika insgesamt",Anzahl,4193
2008,"Kolumbien",Anzahl,151
2008,"Asien insgesamt",Anzahl,7136
2008,"Afghanistan",Anzahl,94
2008,"Georgien",Anzahl,138
2008,"Indien",Anzahl,573
2008,"Irak",Anzahl,556
2008,"Iran",Anzahl,263
2008,"Kasachstan",Anzahl,1238
2008,"Syrien, Arabische Republik",Anzahl,231
2008,"Australien und Ozeanien",Anzahl,374
2008,"Sonstige Ziele",Anzahl,2673
2008,"ohne Angabe",Anzahl,15
2008,"Insgesamt",Anzahl,69064
2009,"Europa insgesamt",Anzahl,54452
2009,"Albanien",Anzahl,51
2009,"Bulgarien",Anzahl,2340
2009,"Italien",Anzahl,1206
2009,"Moldau, Republik",Anzahl,70
2009,"Polen",Anzahl,23094
2009,"Rumänien",Anzahl,6198
2009,"Russische Föderation",Anzahl,3284
