Year,Wanderungsziel,Units,Value
2007,"Europa insgesamt",Anzahl,46198
2007,"Bulgarien",Anzahl,592
2007,"Griechenland",Anzahl,832
2007,"Italien",Anzahl,1226
2007,"Moldau, Republik",Anzahl,30
2007,"Niederlande",Anzahl,1555
2007,"Österreich",Anzahl,897
2007,"Polen",Anzahl,23694
2007,"Rumänien",Anzahl,1668
2007,"Russische Föderation",Anzahl,1188
2007,"Schweiz",Anzahl,1264
2007,"Serbien",Anzahl,0
2007,"Spanien",Anzahl,0
2007,"Türkei",Anzahl,1889
2007,"Ukraine",Anzahl,329
2007,"Ungarn",Anzahl,2058
2007,"Vereinigtes Königreich, Nordirland",Anzahl,1242
2007,"EU Staaten",Anzahl,40122
2007,"Afrika insgesamt",Anzahl,1367
2007,"Amerika insgesamt",Anzahl,4031
2007,"Vereinigte Staaten",Anzahl,1604
2007,"Asien insgesamt",Anzahl,4615
2007,"China",Anzahl,858
2007,"Australien und Ozeanien",Anzahl,502
2007,"Sonstige Ziele",Anzahl,2314
2007,"unbekanntes Ausland",Anzahl,115
2007,"ohne Angabe",Anzahl,2
2007,"Insgesamt",Anzahl,59027
2008,"Europa insgesamt",Anzahl,52345
2008,"Bulgarien",Anzahl,1232
2008,"Griechenland",Anzahl,1049
2008,"Italien",Anzahl,1359
2008,"Moldau, Republik",Anzahl,31
2008,"Niederlande",Anzahl,1676
2008,"Österreich",Anzahl,1127
2008,"Polen",Anzahl,23944
2008,"Rumänien",Anzahl,3399
2008,"Russische Föderation",Anzahl,1646
2008,"Schweiz",Anzahl,1828
2008,"Serbien",Anzahl,193
2008,"Spanien",Anzahl,1707
2008,"Türkei",Anzahl,2159
2008,"Ukraine",Anzahl,451
2008,"Ungarn",Anzahl,2415
2008,"Vereinigtes Königreich, Nordirland",Anzahl,1434
2008,"EU Staaten",Anzahl,44373
2008,"Afrika insgesamt",Anzahl,1598
2008,"Amerika insgesamt",Anzahl,5228
2008,"Vereinigte Staaten",Anzahl,1972
2008,"Asien insgesamt",Anzahl,5596
2008,"China",Anzahl,1235
2008,"Australien und Ozeanien",Anzahl,608
2008,"Sonstige Ziele",Anzahl,2739
2008,"unbekanntes Ausland",Anzahl,225
2008,"ohne Angabe",Anzahl,8
2008,"Insgesamt",Anzahl,68114
2009,"Europa insgesamt",Anzahl,51736
2009,"Bulgarien",Anzahl,1841
2009,"Griechenland",Anzahl,954
2009,"Italien",Anzahl,1320
2009,"Moldau, Republik",Anzahl,38
2009,"Niederlande",Anzahl,1647
2009,"Österreich",Anzahl,1025
2009,"Polen",Anzahl,22459
2009,"Rumänien",Anzahl,5282
2009,"Russische Föderation",Anzahl,1189
2009,"Schweiz",Anzahl,1510
2009,"Serbien",Anzahl,717
2009,"Spanien",Anzahl,1486
2009,"Türkei",Anzahl,2076
2009,"Ukraine",Anzahl,293
2009,"Ungarn",Anzahl,2632
2009,"Vereinigtes Königreich, Nordirland",Anzahl,1435
2009,"EU Staaten",Anzahl,44947
2009,"Afrika insgesamt",Anzahl,1348
