Year,Land,Value
2007,"Europa insgesamt",9514
2007,"Albanien",6
2007,"Bulgarien",553
2007,"Kosovo",0
2007,"Moldau, Republik",32
2007,"Nordmazedonien",11
2007,"Polen",3865
2007,"Rumänien",1288
2007,"Russische Föderation",3943
2007,"Türkei",-203
2007,"Ukraine",411
2007,"EU Staaten",6197
2007,"Afrika insgesamt",404
2007,"Burundi",16
2007,"Amerika insgesamt",-229
2007,"Kolumbien",-50
2007,"Asien insgesamt",2172
2007,"Afghanistan",4
2007,"Georgien",-15
2007,"Indien",101
2007,"Irak",176
2007,"Iran,Islamische Republik",57
2007,"Kasachstan",1320
2007,"Libanon",59
2007,"Syrien, Arabische Republik",49
2007,"Australien und Ozeanien",-166
2007,"Sonstige Ziele",32
2007,"Insgesamt",11727
2008,"Europa insgesamt",657
2008,"Albanien",5
2008,"Bulgarien",867
2008,"Kosovo",96
2008,"Moldau, Republik",36
2008,"Nordmazedonien",-6
2008,"Polen",-508
2008,"Rumänien",646
2008,"Russische Föderation",2279
2008,"Türkei",-554
2008,"Ukraine",253
2008,"EU Staaten",293
2008,"Afrika insgesamt",88
2008,"Burundi",7
2008,"Amerika insgesamt",-1035
2008,"Kolumbien",-17
2008,"Asien insgesamt",1540
2008,"Afghanistan",36
2008,"Georgien",11
2008,"Indien",3
2008,"Irak",345
2008,"Iran,Islamische Republik",29
2008,"Kasachstan",962
2008,"Libanon",87
2008,"Syrien, Arabische Republik",62
2008,"Australien und Ozeanien",-234
2008,"Sonstige Ziele",-66
2008,"Insgesamt",950
2009,"Europa insgesamt",2716
2009,"Albanien",-7
2009,"Bulgarien",499
2009,"Kosovo",212
2009,"Moldau, Republik",32
2009,"Nordmazedonien",20
2009,"Polen",635
2009,"Rumänien",916
2009,"Russische Föderation",2095
2009,"Türkei",-440
2009,"Ukraine",388
2009,"EU Staaten",1850
2009,"Afrika insgesamt",384
2009,"Burundi",5
2009,"Amerika insgesamt",-170
2009,"Kolumbien",10
2009,"Asien insgesamt",4687
2009,"Afghanistan",243
2009,"Georgien",103
2009,"Indien",97
2009,"Irak",2603
2009,"Iran,Islamische Republik",147
2009,"Kasachstan",834
2009,"Libanon",-44
2009,"Syrien, Arabische Republik",189
2009,"Australien und Ozeanien",-164
2009,"Sonstige Ziele",190
2009,"Insgesamt",7643
2010,"Europa insgesamt",9999
2010,"Albanien",-6
2010,"Bulgarien",1045
2010,"Kosovo",192
2010,"Moldau, Republik",56
2010,"Nordmazedonien",148
2010,"Polen",2725
2010,"Rumänien",1860
2010,"Russische Föderation",1751
2010,"Türkei",-206
2010,"Ukraine",371
2010,"EU Staaten",7868
2010,"Afrika insgesamt",649
2010,"Burundi",5
2010,"Amerika insgesamt",42
2010,"Kolumbien",45
2010,"Asien insgesamt",3888
2010,"Afghanistan",512
