Year,Kategorie,Altersgruppe,Units,Value
2022,Zuzüge,Insgesamt,Anzahl,260751
2022,Fortzüge,Insgesamt,Anzahl,111943
2022,Saldo,Insgesamt,Anzahl,+148808
2022,Zuzüge,0 - 5,Anzahl,14394
2022,Fortzüge,0 - 5,Anzahl,5021
2022,Saldo,0 - 5,Anzahl,+9373
2022,Zuzüge,5 - 15,Anzahl,38635
2022,Fortzüge,5 - 15,Anzahl,9952
2022,Saldo,5 - 15,Anzahl,+28683
2022,Zuzüge,15 - 20,Anzahl,21033
2022,Fortzüge,15 - 20,Anzahl,6042
2022,Saldo,15 - 20,Anzahl,+14991
2022,Zuzüge,20 - 40,Anzahl,112598
2022,Fortzüge,20 - 40,Anzahl,56040
2022,Saldo,20 - 40,Anzahl,+56558
2022,Zuzüge,40 - 65,Anzahl,63660
2022,Fortzüge,40 - 65,Anzahl,31075
2022,Saldo,40 - 65,Anzahl,+32585
2022,Zuzüge,65 - 80,Anzahl,9088
2022,Fortzüge,65 - 80,Anzahl,3163
2022,Saldo,65 - 80,Anzahl,+5925
2022,Zuzüge,80 u.ä.,Anzahl,1343
2022,Fortzüge,80 u.ä.,Anzahl,650
2022,Saldo,80 u.ä.,Anzahl,+693
2021,Zuzüge,Insgesamt,Anzahl,128077
2021,Fortzüge,Insgesamt,Anzahl,86187
2021,Saldo,Insgesamt,Anzahl,+41890
2021,Zuzüge,0 - 5,Anzahl,6213
2021,Fortzüge,0 - 5,Anzahl,2858
2021,Saldo,0 - 5,Anzahl,+3355
2021,Zuzüge,5 - 15,Anzahl,11341
2021,Fortzüge,5 - 15,Anzahl,4362
2021,Saldo,5 - 15,Anzahl,+6979
2021,Zuzüge,15 - 20,Anzahl,8196
2021,Fortzüge,15 - 20,Anzahl,3635
2021,Saldo,15 - 20,Anzahl,+4561
2021,Zuzüge,20 - 40,Anzahl,69168
2021,Fortzüge,20 - 40,Anzahl,46752
2021,Saldo,20 - 40,Anzahl,+22416
2021,Zuzüge,40 - 65,Anzahl,30911
2021,Fortzüge,40 - 65,Anzahl,25819
2021,Saldo,40 - 65,Anzahl,+5092
2021,Zuzüge,65 - 80,Anzahl,1917
2021,Fortzüge,65 - 80,Anzahl,2163
2021,Saldo,65 - 80,Anzahl,-246
2021,Zuzüge,80 u.ä.,Anzahl,331
2021,Fortzüge,80 u.ä.,Anzahl,598
2021,Saldo,80 u.ä.,Anzahl,-267
2020,Zuzüge,Insgesamt,Anzahl,113276
2020,Fortzüge,Insgesamt,Anzahl,86127
2020,Saldo,Insgesamt,Anzahl,+27149
2019,Zuzüge,Insgesamt,Anzahl,151149
2019,Fortzüge,Insgesamt,Anzahl,112933
2019,Saldo,Insgesamt,Anzahl,+38216
2018,Zuzüge,Insgesamt,Anzahl,154372
2018,Fortzüge,Insgesamt,Anzahl,109363
2018,Saldo,Insgesamt,Anzahl,+45009
2017,Zuzüge,Insgesamt,Anzahl,145901
2017,Fortzüge,Insgesamt,Anzahl,107296
2017,Saldo,Insgesamt,Anzahl,+38605
2016,Zuzüge,Insgesamt,Anzahl,175201
2016,Fortzüge,Insgesamt,Anzahl,137021
2016,Saldo,Insgesamt,Anzahl,+38180
2015,Zuzüge,Insgesamt,Anzahl,206650
2015,Fortzüge,Insgesamt,Anzahl,87051
2015,Saldo,Insgesamt,Anzahl,+119599
2014,Zuzüge,Insgesamt,Anzahl,139181
2014,Fortzüge,Insgesamt,Anzahl,85138
2014,Saldo,Insgesamt,Anzahl,+54043
2013,Zuzüge,Insgesamt,Anzahl,110921
2013,Fortzüge,Insgesamt,Anzahl,75986
2013,Saldo,Insgesamt,Anzahl,+34935
2012,Zuzüge,Insgesamt,Anzahl,99001
2012,Fortzüge,Insgesamt,Anzahl,71481
2012,Saldo,Insgesamt,Anzahl,+27520
2011,Zuzüge,Insgesamt,Anzahl,91507
2011,Fortzüge,Insgesamt,Anzahl,67837
2011,Saldo,Insgesamt,Anzahl,+23670
2010,Zuzüge,Insgesamt,Anzahl,76783
2010,Fortzüge,Insgesamt,Anzahl,62325
2010,Saldo,Insgesamt,Anzahl,+14458
2009,Zuzüge,Insgesamt,Anzahl,73925
2009,Fortzüge,Insgesamt,Anzahl,66282
2009,Saldo,Insgesamt,Anzahl,+7643
2008,Zuzüge,Insgesamt,Anzahl,69064
2008,Fortzüge,Insgesamt,Anzahl,68114
2008,Saldo,Insgesamt,Anzahl,+950
2007,Zuzüge,Insgesamt,Anzahl,70754
2007,Fortzüge,Insgesamt,Anzahl,59027
2007,Saldo,Insgesamt,Anzahl,+11727
2006,Zuzüge,Insgesamt,Anzahl,69486
2006,Fortzüge,Insgesamt,Anzahl,56337
2006,Saldo,Insgesamt,Anzahl,+13149
2005,Zuzüge,Insgesamt,Anzahl,95893
2005,Fortzüge,Insgesamt,Anzahl,55376
2005,Saldo,Insgesamt,Anzahl,+40517
2020,Zuzüge,0 - 5,Anzahl,4805
2020,Fortzüge,0 - 5,Anzahl,2586
2020,Saldo,0 - 5,Anzahl,+2219
2019,Zuzüge,0 - 5,Anzahl,6390
2019,Fortzüge,0 - 5,Anzahl,3071
2019,Saldo,0 - 5,Anzahl,+3319
2018,Zuzüge,0 - 5,Anzahl,6364
2018,Fortzüge,0 - 5,Anzahl,3219
2018,Saldo,0 - 5,Anzahl,+3145
2017,Zuzüge,0 - 5,Anzahl,6722
2017,Fortzüge,0 - 5,Anzahl,3381
2017,Saldo,0 - 5,Anzahl,+3341
2016,Zuzüge,0 - 5,Anzahl,10213
2016,Fortzüge,0 - 5,Anzahl,5257
2016,Saldo,0 - 5,Anzahl,+4956
2015,Zuzüge,0 - 5,Anzahl,12281
2015,Fortzüge,0 - 5,Anzahl,2517
2015,Saldo,0 - 5,Anzahl,+9764
2014,Zuzüge,0 - 5,Anzahl,6504
2014,Fortzüge,0 - 5,Anzahl,2001
2014,Saldo,0 - 5,Anzahl,+4503
2013,Zuzüge,0 - 5,Anzahl,4625
2013,Fortzüge,0 - 5,Anzahl,1756
2013,Saldo,0 - 5,Anzahl,+2869
2012,Zuzüge,0 - 5,Anzahl,3494
2012,Fortzüge,0 - 5,Anzahl,1545
2012,Saldo,0 - 5,Anzahl,+1949
2011,Zuzüge,0 - 5,Anzahl,2888
2011,Fortzüge,0 - 5,Anzahl,1515
2011,Saldo,0 - 5,Anzahl,+1373
2010,Zuzüge,0 - 5,Anzahl,2485
2010,Fortzüge,0 - 5,Anzahl,1261
2010,Saldo,0 - 5,Anzahl,+1224
2009,Zuzüge,0 - 5,Anzahl,2383
2009,Fortzüge,0 - 5,Anzahl,1310
2009,Saldo,0 - 5,Anzahl,+1073
2008,Zuzüge,0 - 5,Anzahl,2036
2008,Fortzüge,0 - 5,Anzahl,1453
2008,Saldo,0 - 5,Anzahl,+583
2007,Zuzüge,0 - 5,Anzahl,2033
2007,Fortzüge,0 - 5,Anzahl,1280
2007,Saldo,0 - 5,Anzahl,+753
2006,Zuzüge,0 - 5,Anzahl,2133
2006,Fortzüge,0 - 5,Anzahl,1240
2006,Saldo,0 - 5,Anzahl,+893
2005,Zuzüge,0 - 5,Anzahl,3723
2005,Fortzüge,0 - 5,Anzahl,1364
2005,Saldo,0 - 5,Anzahl,+2359
2020,Zuzüge,5 - 15,Anzahl,8395
2020,Fortzüge,5 - 15,Anzahl,3411
2020,Saldo,5 - 15,Anzahl,+4984
2019,Zuzüge,5 - 15,Anzahl,11833
2019,Fortzüge,5 - 15,Anzahl,4401
2019,Saldo,5 - 15,Anzahl,+7432
2018,Zuzüge,5 - 15,Anzahl,11656
2018,Fortzüge,5 - 15,Anzahl,4670
2018,Saldo,5 - 15,Anzahl,+6986
2017,Zuzüge,5 - 15,Anzahl,12249
2017,Fortzüge,5 - 15,Anzahl,4901
2017,Saldo,5 - 15,Anzahl,+7348
2016,Zuzüge,5 - 15,Anzahl,18470
2016,Fortzüge,5 - 15,Anzahl,8355
2016,Saldo,5 - 15,Anzahl,+10115
2015,Zuzüge,5 - 15,Anzahl,21455
2015,Fortzüge,5 - 15,Anzahl,4183
2015,Saldo,5 - 15,Anzahl,+17272
2014,Zuzüge,5 - 15,Anzahl,11076
2014,Fortzüge,5 - 15,Anzahl,3261
2014,Saldo,5 - 15,Anzahl,+7815
2013,Zuzüge,5 - 15,Anzahl,6842
2013,Fortzüge,5 - 15,Anzahl,2656
2013,Saldo,5 - 15,Anzahl,+4186
2012,Zuzüge,5 - 15,Anzahl,5151
2012,Fortzüge,5 - 15,Anzahl,2609
2012,Saldo,5 - 15,Anzahl,+2542
2011,Zuzüge,5 - 15,Anzahl,4263
2011,Fortzüge,5 - 15,Anzahl,2568
2011,Saldo,5 - 15,Anzahl,+1695
2010,Zuzüge,5 - 15,Anzahl,3668
2010,Fortzüge,5 - 15,Anzahl,2302
2010,Saldo,5 - 15,Anzahl,+1366
2009,Zuzüge,5 - 15,Anzahl,3623
2009,Fortzüge,5 - 15,Anzahl,2520
2009,Saldo,5 - 15,Anzahl,+1103
2008,Zuzüge,5 - 15,Anzahl,3061
2008,Fortzüge,5 - 15,Anzahl,2854
2008,Saldo,5 - 15,Anzahl,+207
2007,Zuzüge,5 - 15,Anzahl,3340
2007,Fortzüge,5 - 15,Anzahl,2538
2007,Saldo,5 - 15,Anzahl,+802
2006,Zuzüge,5 - 15,Anzahl,3498
2006,Fortzüge,5 - 15,Anzahl,2603
2006,Saldo,5 - 15,Anzahl,+895
2005,Zuzüge,5 - 15,Anzahl,7615
2005,Fortzüge,5 - 15,Anzahl,2799
2005,Saldo,5 - 15,Anzahl,+4816
2020,Zuzüge,15 - 20,Anzahl,6749
2020,Fortzüge,15 - 20,Anzahl,3561
2020,Saldo,15 - 20,Anzahl,+3188
2019,Zuzüge,15 - 20,Anzahl,9810
2019,Fortzüge,15 - 20,Anzahl,5035
2019,Saldo,15 - 20,Anzahl,+4775
2018,Zuzüge,15 - 20,Anzahl,10235
2018,Fortzüge,15 - 20,Anzahl,5204
2018,Saldo,15 - 20,Anzahl,+5031
2017,Zuzüge,15 - 20,Anzahl,10053
2017,Fortzüge,15 - 20,Anzahl,5170
2017,Saldo,15 - 20,Anzahl,+4883
2016,Zuzüge,15 - 20,Anzahl,15669
2016,Fortzüge,15 - 20,Anzahl,7105
2016,Saldo,15 - 20,Anzahl,+8564
2015,Zuzüge,15 - 20,Anzahl,17587
2015,Fortzüge,15 - 20,Anzahl,3913
2015,Saldo,15 - 20,Anzahl,+13674
2014,Zuzüge,15 - 20,Anzahl,8697
2014,Fortzüge,15 - 20,Anzahl,3274
2014,Saldo,15 - 20,Anzahl,+5423
2013,Zuzüge,15 - 20,Anzahl,6273
2013,Fortzüge,15 - 20,Anzahl,2853
2013,Saldo,15 - 20,Anzahl,+3420
2012,Zuzüge,15 - 20,Anzahl,5208
2012,Fortzüge,15 - 20,Anzahl,2732
2012,Saldo,15 - 20,Anzahl,+2476
2011,Zuzüge,15 - 20,Anzahl,5019
2011,Fortzüge,15 - 20,Anzahl,2876
2011,Saldo,15 - 20,Anzahl,+2143
2010,Zuzüge,15 - 20,Anzahl,4389
2010,Fortzüge,15 - 20,Anzahl,2690
2010,Saldo,15 - 20,Anzahl,+1699
2009,Zuzüge,15 - 20,Anzahl,4434
2009,Fortzüge,15 - 20,Anzahl,2938
2009,Saldo,15 - 20,Anzahl,+1496
2008,Zuzüge,15 - 20,Anzahl,4102
2008,Fortzüge,15 - 20,Anzahl,3093
2008,Saldo,15 - 20,Anzahl,+1009
2007,Zuzüge,15 - 20,Anzahl,4070
2007,Fortzüge,15 - 20,Anzahl,2722
2007,Saldo,15 - 20,Anzahl,+1348
2006,Zuzüge,15 - 20,Anzahl,3909
2006,Fortzüge,15 - 20,Anzahl,2392
2006,Saldo,15 - 20,Anzahl,+1517
2005,Zuzüge,15 - 20,Anzahl,6459
2005,Fortzüge,15 - 20,Anzahl,2352
2005,Saldo,15 - 20,Anzahl,+4107
2020,Zuzüge,20 - 40,Anzahl,61378
2020,Fortzüge,20 - 40,Anzahl,48443
2020,Saldo,20 - 40,Anzahl,+12935
2019,Zuzüge,20 - 40,Anzahl,82028
2019,Fortzüge,20 - 40,Anzahl,64223
2019,Saldo,20 - 40,Anzahl,+17805
2018,Zuzüge,20 - 40,Anzahl,84313
2018,Fortzüge,20 - 40,Anzahl,62735
2018,Saldo,20 - 40,Anzahl,+21578
2017,Zuzüge,20 - 40,Anzahl,79251
2017,Fortzüge,20 - 40,Anzahl,62067
2017,Saldo,20 - 40,Anzahl,+17184
2016,Zuzüge,20 - 40,Anzahl,91735
2016,Fortzüge,20 - 40,Anzahl,79448
2016,Saldo,20 - 40,Anzahl,+12287
2015,Zuzüge,20 - 40,Anzahl,112526
2015,Fortzüge,20 - 40,Anzahl,50914
2015,Saldo,20 - 40,Anzahl,+61612
2014,Zuzüge,20 - 40,Anzahl,77407
2014,Fortzüge,20 - 40,Anzahl,49600
2014,Saldo,20 - 40,Anzahl,+27807
2013,Zuzüge,20 - 40,Anzahl,63511
2013,Fortzüge,20 - 40,Anzahl,44043
2013,Saldo,20 - 40,Anzahl,+19468
2012,Zuzüge,20 - 40,Anzahl,57727
2012,Fortzüge,20 - 40,Anzahl,41110
2012,Saldo,20 - 40,Anzahl,+16617
2011,Zuzüge,20 - 40,Anzahl,52602
2011,Fortzüge,20 - 40,Anzahl,38547
2011,Saldo,20 - 40,Anzahl,+14055
2010,Zuzüge,20 - 40,Anzahl,44374
2010,Fortzüge,20 - 40,Anzahl,36043
2010,Saldo,20 - 40,Anzahl,+8331
2009,Zuzüge,20 - 40,Anzahl,41755
2009,Fortzüge,20 - 40,Anzahl,37350
2009,Saldo,20 - 40,Anzahl,+4405
2008,Zuzüge,20 - 40,Anzahl,39642
2008,Fortzüge,20 - 40,Anzahl,39104
2008,Saldo,20 - 40,Anzahl,+538
2007,Zuzüge,20 - 40,Anzahl,41051
2007,Fortzüge,20 - 40,Anzahl,35363
2007,Saldo,20 - 40,Anzahl,+5688
2006,Zuzüge,20 - 40,Anzahl,40505
2006,Fortzüge,20 - 40,Anzahl,34098
2006,Saldo,20 - 40,Anzahl,+6407
2005,Zuzüge,20 - 40,Anzahl,50935
2005,Fortzüge,20 - 40,Anzahl,33801
2005,Saldo,20 - 40,Anzahl,+17134
2020,Zuzüge,40 - 65,Anzahl,29966
2020,Fortzüge,40 - 65,Anzahl,25863
2020,Saldo,40 - 65,Anzahl,+4103
2019,Zuzüge,40 - 65,Anzahl,38665
2019,Fortzüge,40 - 65,Anzahl,33180
2019,Saldo,40 - 65,Anzahl,+5485
2018,Zuzüge,40 - 65,Anzahl,39425
