Year,Gebietseinheit,Wanderung,Nationalität / Geschlecht,Units,GeoCode,Value
2022,"Braunschweig, Stadt",Zuzüge,Insgesamt,Anzahl,K03101,8929
2022,"Salzgitter, Stadt",Zuzüge,Insgesamt,Anzahl,K03102,2965
2022,"Wolfsburg, Stadt",Zuzüge,Insgesamt,Anzahl,K03103,3685
2022,"Gifhorn",Zuzüge,Insgesamt,Anzahl,K03151,3604
2022,"Goslar",Zuzüge,Insgesamt,Anzahl,K03153,4572
2022,"Helmstedt",Zuzüge,Insgesamt,Anzahl,K03154,2233
2022,"Northeim",Zuzüge,Insgesamt,Anzahl,K03155,3331
2022,"Peine",Zuzüge,Insgesamt,Anzahl,K03157,3332
2022,"Wolfenbüttel",Zuzüge,Insgesamt,Anzahl,K03158,2106
2022,"Göttingen",Zuzüge,Insgesamt,Anzahl,K03159,20537
2022,"Statistische Region Braunschweig",Zuzüge,Insgesamt,Anzahl,K031,55294
2022,"Region Hannover",Zuzüge,Insgesamt,Anzahl,K03241,31050
2022,"dav. Hannover, Lhst.",Zuzüge,Insgesamt,Anzahl,K03241001,16912
2022,"dav. Hannover, Umland",Zuzüge,Insgesamt,Anzahl,K03241999,14138
2022,"Diepholz",Zuzüge,Insgesamt,Anzahl,K03251,6241
2022,"Hameln-Pyrmont",Zuzüge,Insgesamt,Anzahl,K03252,3982
2022,"Hildesheim",Zuzüge,Insgesamt,Anzahl,K03254,6490
2022,"Holzminden",Zuzüge,Insgesamt,Anzahl,K03255,2281
2022,"Nienburg (Weser)",Zuzüge,Insgesamt,Anzahl,K03256,2996
2022,"Schaumburg",Zuzüge,Insgesamt,Anzahl,K03257,3483
2022,"Statistische Region Hannover",Zuzüge,Insgesamt,Anzahl,K032,56523
2022,"Celle",Zuzüge,Insgesamt,Anzahl,K03351,4486
2022,"Cuxhaven",Zuzüge,Insgesamt,Anzahl,K03352,3941
2022,"Harburg",Zuzüge,Insgesamt,Anzahl,K03353,6390
2022,"Lüchow-Dannenberg",Zuzüge,Insgesamt,Anzahl,K03354,1167
2022,"Lüneburg",Zuzüge,Insgesamt,Anzahl,K03355,4216
2022,"Osterholz",Zuzüge,Insgesamt,Anzahl,K03356,2093
2022,"Rotenburg (Wümme)",Zuzüge,Insgesamt,Anzahl,K03357,3481
2022,"Heidekreis",Zuzüge,Insgesamt,Anzahl,K03358,19837
2022,"Stade",Zuzüge,Insgesamt,Anzahl,K03359,5535
2022,"Uelzen",Zuzüge,Insgesamt,Anzahl,K03360,2282
2022,"Verden",Zuzüge,Insgesamt,Anzahl,K03361,3509
2022,"Statistische Region Lüneburg",Zuzüge,Insgesamt,Anzahl,K033,56937
2022,"Delmenhorst, Stadt",Zuzüge,Insgesamt,Anzahl,K03401,2404
2022,"Emden, Stadt",Zuzüge,Insgesamt,Anzahl,K03402,1626
