Year,Gebietseinheit,Geschlecht,Kategorie,Units,GeoCode,Value
2022,"Braunschweig, Stadt",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03101,5010
2022,"Braunschweig, Stadt",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03101,4625
2022,"Braunschweig, Stadt",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03101,9630
2022,"Salzgitter, Stadt",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03102,4025
2022,"Salzgitter, Stadt",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03102,3175
2022,"Salzgitter, Stadt",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03102,7200
2022,"Wolfsburg, Stadt",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03103,5385
2022,"Wolfsburg, Stadt",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03103,4380
2022,"Wolfsburg, Stadt",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03103,9765
2022,"Gifhorn",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03151,2855
2022,"Gifhorn",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03151,2295
2022,"Gifhorn",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03151,5150
2022,"Goslar",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03153,2445
2022,"Goslar",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03153,2015
2022,"Goslar",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03153,4460
2022,"Helmstedt",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03154,1725
2022,"Helmstedt",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03154,1430
2022,"Helmstedt",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03154,3155
2022,"Northeim",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03155,1875
2022,"Northeim",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03155,1640
2022,"Northeim",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03155,3515
2022,"Peine",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03157,2610
2022,"Peine",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03157,2095
2022,"Peine",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03157,4705
2022,"Wolfenbüttel",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03158,1450
2022,"Wolfenbüttel",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03158,1195
2022,"Wolfenbüttel",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03158,2640
2022,"Göttingen",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03159,5660
2022,"Göttingen",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03159,5355
2022,"Göttingen",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03159,11015
2022,"Statistische Region Braunschweig",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH031,33045
2022,"Statistische Region Braunschweig",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH031,28205
2022,"Statistische Region Braunschweig",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH031,61245
2022,"Region Hannover",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03241,37035
2022,"Region Hannover",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03241,32775
2022,"Region Hannover",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03241,69810
2022,"Diepholz",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03251,5605
2022,"Diepholz",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03251,4525
2022,"Diepholz",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03251,10130
2022,"Hameln-Pyrmont",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03252,3380
2022,"Hameln-Pyrmont",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03252,2930
2022,"Hameln-Pyrmont",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03252,6310
2022,"Hildesheim",männlich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03254,5070
2022,"Hildesheim",weiblich,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03254,4255
2022,"Hildesheim",insgesamt,Kein Aufenthaltstitel nach nationalem Recht erforderlich,Anzahl,RH03254,9320
