Year,Gebietseinheit,Geschlecht,Befristung,Units,GeoCode,Value
2022,"Braunschweig, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03101,4365
2022,"Braunschweig, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03101,4210
2022,"Braunschweig, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03101,8575
2022,"Salzgitter, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03102,2920
2022,"Salzgitter, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03102,2750
2022,"Salzgitter, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03102,5670
2022,"Wolfsburg, Stadt",männlich,zeitlich unbefristet,Anzahl,RH03103,1540
2022,"Wolfsburg, Stadt",weiblich,zeitlich unbefristet,Anzahl,RH03103,1580
2022,"Wolfsburg, Stadt",insgesamt,zeitlich unbefristet,Anzahl,RH03103,3115
2022,"Gifhorn",männlich,zeitlich unbefristet,Anzahl,RH03151,1315
2022,"Gifhorn",weiblich,zeitlich unbefristet,Anzahl,RH03151,1465
2022,"Gifhorn",insgesamt,zeitlich unbefristet,Anzahl,RH03151,2785
2022,"Goslar",männlich,zeitlich unbefristet,Anzahl,RH03153,1295
2022,"Goslar",weiblich,zeitlich unbefristet,Anzahl,RH03153,1260
2022,"Goslar",insgesamt,zeitlich unbefristet,Anzahl,RH03153,2555
2022,"Helmstedt",männlich,zeitlich unbefristet,Anzahl,RH03154,715
2022,"Helmstedt",weiblich,zeitlich unbefristet,Anzahl,RH03154,745
2022,"Helmstedt",insgesamt,zeitlich unbefristet,Anzahl,RH03154,1460
2022,"Northeim",männlich,zeitlich unbefristet,Anzahl,RH03155,835
2022,"Northeim",weiblich,zeitlich unbefristet,Anzahl,RH03155,860
2022,"Northeim",insgesamt,zeitlich unbefristet,Anzahl,RH03155,1690
2022,"Peine",männlich,zeitlich unbefristet,Anzahl,RH03157,1460
2022,"Peine",weiblich,zeitlich unbefristet,Anzahl,RH03157,1455
2022,"Peine",insgesamt,zeitlich unbefristet,Anzahl,RH03157,2915
2022,"Wolfenbüttel",männlich,zeitlich unbefristet,Anzahl,RH03158,770
2022,"Wolfenbüttel",weiblich,zeitlich unbefristet,Anzahl,RH03158,890
2022,"Wolfenbüttel",insgesamt,zeitlich unbefristet,Anzahl,RH03158,1660
2022,"Göttingen",männlich,zeitlich unbefristet,Anzahl,RH03159,3170
2022,"Göttingen",weiblich,zeitlich unbefristet,Anzahl,RH03159,3285
2022,"Göttingen",insgesamt,zeitlich unbefristet,Anzahl,RH03159,6450
2022,"Statistische Region Braunschweig",männlich,zeitlich unbefristet,Anzahl,RH031,18385
2022,"Statistische Region Braunschweig",weiblich,zeitlich unbefristet,Anzahl,RH031,18495
2022,"Statistische Region Braunschweig",insgesamt,zeitlich unbefristet,Anzahl,RH031,36875
2022,"Region Hannover",männlich,zeitlich unbefristet,Anzahl,RH03241,25430
2022,"Region Hannover",weiblich,zeitlich unbefristet,Anzahl,RH03241,25020
2022,"Region Hannover",insgesamt,zeitlich unbefristet,Anzahl,RH03241,50450
