Year,Gebietseinheit,Geschlecht,Befristungsgrund,Units,GeoCode,Value
2022,"Braunschweig, Stadt",männlich,zum Zweck der Ausbildung,Anzahl,RH03101,910
2022,"Braunschweig, Stadt",weiblich,zum Zweck der Ausbildung,Anzahl,RH03101,460
2022,"Braunschweig, Stadt",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03101,1370
2022,"Salzgitter, Stadt",männlich,zum Zweck der Ausbildung,Anzahl,RH03102,45
2022,"Salzgitter, Stadt",weiblich,zum Zweck der Ausbildung,Anzahl,RH03102,30
2022,"Salzgitter, Stadt",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03102,75
2022,"Wolfsburg, Stadt",männlich,zum Zweck der Ausbildung,Anzahl,RH03103,255
2022,"Wolfsburg, Stadt",weiblich,zum Zweck der Ausbildung,Anzahl,RH03103,115
2022,"Wolfsburg, Stadt",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03103,370
2022,"Gifhorn",männlich,zum Zweck der Ausbildung,Anzahl,RH03151,30
2022,"Gifhorn",weiblich,zum Zweck der Ausbildung,Anzahl,RH03151,40
2022,"Gifhorn",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03151,70
2022,"Goslar",männlich,zum Zweck der Ausbildung,Anzahl,RH03153,1390
2022,"Goslar",weiblich,zum Zweck der Ausbildung,Anzahl,RH03153,610
2022,"Goslar",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03153,2000
2022,"Helmstedt",männlich,zum Zweck der Ausbildung,Anzahl,RH03154,5
2022,"Helmstedt",weiblich,zum Zweck der Ausbildung,Anzahl,RH03154,10
2022,"Helmstedt",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03154,15
2022,"Northeim",männlich,zum Zweck der Ausbildung,Anzahl,RH03155,20
2022,"Northeim",weiblich,zum Zweck der Ausbildung,Anzahl,RH03155,35
2022,"Northeim",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03155,55
2022,"Peine",männlich,zum Zweck der Ausbildung,Anzahl,RH03157,25
2022,"Peine",weiblich,zum Zweck der Ausbildung,Anzahl,RH03157,35
2022,"Peine",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03157,55
2022,"Wolfenbüttel",männlich,zum Zweck der Ausbildung,Anzahl,RH03158,140
2022,"Wolfenbüttel",weiblich,zum Zweck der Ausbildung,Anzahl,RH03158,85
2022,"Wolfenbüttel",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03158,225
2022,"Göttingen",männlich,zum Zweck der Ausbildung,Anzahl,RH03159,1120
2022,"Göttingen",weiblich,zum Zweck der Ausbildung,Anzahl,RH03159,1260
2022,"Göttingen",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03159,2380
2022,"Statistische Region Braunschweig",männlich,zum Zweck der Ausbildung,Anzahl,RH031,3945
2022,"Statistische Region Braunschweig",weiblich,zum Zweck der Ausbildung,Anzahl,RH031,2680
2022,"Statistische Region Braunschweig",insgesamt,zum Zweck der Ausbildung,Anzahl,RH031,6620
2022,"Region Hannover",männlich,zum Zweck der Ausbildung,Anzahl,RH03241,3655
2022,"Region Hannover",weiblich,zum Zweck der Ausbildung,Anzahl,RH03241,2300
2022,"Region Hannover",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03241,5955
2022,"Diepholz",männlich,zum Zweck der Ausbildung,Anzahl,RH03251,45
2022,"Diepholz",weiblich,zum Zweck der Ausbildung,Anzahl,RH03251,50
2022,"Diepholz",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03251,95
2022,"Hameln-Pyrmont",männlich,zum Zweck der Ausbildung,Anzahl,RH03252,50
2022,"Hameln-Pyrmont",weiblich,zum Zweck der Ausbildung,Anzahl,RH03252,45
2022,"Hameln-Pyrmont",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03252,95
2022,"Hildesheim",männlich,zum Zweck der Ausbildung,Anzahl,RH03254,205
2022,"Hildesheim",weiblich,zum Zweck der Ausbildung,Anzahl,RH03254,210
2022,"Hildesheim",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03254,415
2022,"Holzminden",männlich,zum Zweck der Ausbildung,Anzahl,RH03255,20
2022,"Holzminden",weiblich,zum Zweck der Ausbildung,Anzahl,RH03255,15
2022,"Holzminden",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03255,40
2022,"Nienburg (Weser)",männlich,zum Zweck der Ausbildung,Anzahl,RH03256,30
2022,"Nienburg (Weser)",weiblich,zum Zweck der Ausbildung,Anzahl,RH03256,35
2022,"Nienburg (Weser)",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03256,60
2022,"Schaumburg",männlich,zum Zweck der Ausbildung,Anzahl,RH03257,25
2022,"Schaumburg",weiblich,zum Zweck der Ausbildung,Anzahl,RH03257,25
2022,"Schaumburg",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03257,50
2022,"Statistische Region Hannover",männlich,zum Zweck der Ausbildung,Anzahl,RH032,4025
2022,"Statistische Region Hannover",weiblich,zum Zweck der Ausbildung,Anzahl,RH032,2685
2022,"Statistische Region Hannover",insgesamt,zum Zweck der Ausbildung,Anzahl,RH032,6710
2022,"Celle",männlich,zum Zweck der Ausbildung,Anzahl,RH03351,40
2022,"Celle",weiblich,zum Zweck der Ausbildung,Anzahl,RH03351,55
2022,"Celle",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03351,90
2022,"Cuxhaven",männlich,zum Zweck der Ausbildung,Anzahl,RH03352,40
2022,"Cuxhaven",weiblich,zum Zweck der Ausbildung,Anzahl,RH03352,40
2022,"Cuxhaven",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03352,80
2022,"Harburg",männlich,zum Zweck der Ausbildung,Anzahl,RH03353,60
2022,"Harburg",weiblich,zum Zweck der Ausbildung,Anzahl,RH03353,75
2022,"Harburg",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03353,135
2022,"Lüchow-Dannenberg",männlich,zum Zweck der Ausbildung,Anzahl,RH03354,5
2022,"Lüchow-Dannenberg",weiblich,zum Zweck der Ausbildung,Anzahl,RH03354,15
2022,"Lüchow-Dannenberg",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03354,20
2022,"Lüneburg",männlich,zum Zweck der Ausbildung,Anzahl,RH03355,120
2022,"Lüneburg",weiblich,zum Zweck der Ausbildung,Anzahl,RH03355,165
2022,"Lüneburg",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03355,285
2022,"Osterholz",männlich,zum Zweck der Ausbildung,Anzahl,RH03356,25
2022,"Osterholz",weiblich,zum Zweck der Ausbildung,Anzahl,RH03356,35
2022,"Osterholz",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03356,60
2022,"Rotenburg (Wümme)",männlich,zum Zweck der Ausbildung,Anzahl,RH03357,55
2022,"Rotenburg (Wümme)",weiblich,zum Zweck der Ausbildung,Anzahl,RH03357,65
2022,"Rotenburg (Wümme)",insgesamt,zum Zweck der Ausbildung,Anzahl,RH03357,120
2022,"Heidekreis",männlich,zum Zweck der Ausbildung,Anzahl,RH03358,55
2022,"Heidekreis",weiblich,zum Zweck der Ausbildung,Anzahl,RH03358,40
