Year,Gebietseinheit,Geschlecht,ohne Aufenthaltstitel,Units,GeoCode,Value
2022,"Braunschweig, Stadt",männlich,"insgesamt",Anzahl,RH03101,2095
2022,"Braunschweig, Stadt",weiblich,"insgesamt",Anzahl,RH03101,1405
2022,"Braunschweig, Stadt",insgesamt,"insgesamt",Anzahl,RH03101,3500
2022,"Salzgitter, Stadt",männlich,"insgesamt",Anzahl,RH03102,605
2022,"Salzgitter, Stadt",weiblich,"insgesamt",Anzahl,RH03102,430
2022,"Salzgitter, Stadt",insgesamt,"insgesamt",Anzahl,RH03102,1035
2022,"Wolfsburg, Stadt",männlich,"insgesamt",Anzahl,RH03103,1020
2022,"Wolfsburg, Stadt",weiblich,"insgesamt",Anzahl,RH03103,655
2022,"Wolfsburg, Stadt",insgesamt,"insgesamt",Anzahl,RH03103,1675
2022,"Gifhorn",männlich,"insgesamt",Anzahl,RH03151,1220
2022,"Gifhorn",weiblich,"insgesamt",Anzahl,RH03151,930
2022,"Gifhorn",insgesamt,"insgesamt",Anzahl,RH03151,2150
2022,"Goslar",männlich,"insgesamt",Anzahl,RH03153,970
2022,"Goslar",weiblich,"insgesamt",Anzahl,RH03153,600
2022,"Goslar",insgesamt,"insgesamt",Anzahl,RH03153,1575
2022,"Helmstedt",männlich,"insgesamt",Anzahl,RH03154,620
2022,"Helmstedt",weiblich,"insgesamt",Anzahl,RH03154,485
2022,"Helmstedt",insgesamt,"insgesamt",Anzahl,RH03154,1105
2022,"Northeim",männlich,"insgesamt",Anzahl,RH03155,1125
2022,"Northeim",weiblich,"insgesamt",Anzahl,RH03155,1090
2022,"Northeim",insgesamt,"insgesamt",Anzahl,RH03155,2215
2022,"Peine",männlich,"insgesamt",Anzahl,RH03157,770
2022,"Peine",weiblich,"insgesamt",Anzahl,RH03157,560
2022,"Peine",insgesamt,"insgesamt",Anzahl,RH03157,1330
2022,"Wolfenbüttel",männlich,"insgesamt",Anzahl,RH03158,720
2022,"Wolfenbüttel",weiblich,"insgesamt",Anzahl,RH03158,515
2022,"Wolfenbüttel",insgesamt,"insgesamt",Anzahl,RH03158,1230
2022,"Göttingen",männlich,"insgesamt",Anzahl,RH03159,2305
2022,"Göttingen",weiblich,"insgesamt",Anzahl,RH03159,1755
2022,"Göttingen",insgesamt,"insgesamt",Anzahl,RH03159,4060
2022,"Statistische Region Braunschweig",männlich,"insgesamt",Anzahl,RH031,11455
2022,"Statistische Region Braunschweig",weiblich,"insgesamt",Anzahl,RH031,8425
2022,"Statistische Region Braunschweig",insgesamt,"insgesamt",Anzahl,RH031,19880
2022,"Region Hannover",männlich,"insgesamt",Anzahl,RH03241,17630
2022,"Region Hannover",weiblich,"insgesamt",Anzahl,RH03241,13125
2022,"Region Hannover",insgesamt,"insgesamt",Anzahl,RH03241,30755
2022,"Diepholz",männlich,"insgesamt",Anzahl,RH03251,1240
2022,"Diepholz",weiblich,"insgesamt",Anzahl,RH03251,985
2022,"Diepholz",insgesamt,"insgesamt",Anzahl,RH03251,2225
2022,"Hameln-Pyrmont",männlich,"insgesamt",Anzahl,RH03252,870
2022,"Hameln-Pyrmont",weiblich,"insgesamt",Anzahl,RH03252,725
2022,"Hameln-Pyrmont",insgesamt,"insgesamt",Anzahl,RH03252,1595
2022,"Hildesheim",männlich,"insgesamt",Anzahl,RH03254,2090
2022,"Hildesheim",weiblich,"insgesamt",Anzahl,RH03254,1310
2022,"Hildesheim",insgesamt,"insgesamt",Anzahl,RH03254,3395
2022,"Holzminden",männlich,"insgesamt",Anzahl,RH03255,410
2022,"Holzminden",weiblich,"insgesamt",Anzahl,RH03255,360
2022,"Holzminden",insgesamt,"insgesamt",Anzahl,RH03255,770
2022,"Nienburg (Weser)",männlich,"insgesamt",Anzahl,RH03256,645
2022,"Nienburg (Weser)",weiblich,"insgesamt",Anzahl,RH03256,565
2022,"Nienburg (Weser)",insgesamt,"insgesamt",Anzahl,RH03256,1205
2022,"Schaumburg",männlich,"insgesamt",Anzahl,RH03257,1070
2022,"Schaumburg",weiblich,"insgesamt",Anzahl,RH03257,765
2022,"Schaumburg",insgesamt,"insgesamt",Anzahl,RH03257,1835
2022,"Statistische Region Hannover",männlich,"insgesamt",Anzahl,RH032,23950
2022,"Statistische Region Hannover",weiblich,"insgesamt",Anzahl,RH032,17830
2022,"Statistische Region Hannover",insgesamt,"insgesamt",Anzahl,RH032,41780
2022,"Celle",männlich,"insgesamt",Anzahl,RH03351,630
2022,"Celle",weiblich,"insgesamt",Anzahl,RH03351,465
2022,"Celle",insgesamt,"insgesamt",Anzahl,RH03351,1095
2022,"Cuxhaven",männlich,"insgesamt",Anzahl,RH03352,1055
2022,"Cuxhaven",weiblich,"insgesamt",Anzahl,RH03352,915
2022,"Cuxhaven",insgesamt,"insgesamt",Anzahl,RH03352,1970
2022,"Harburg",männlich,"insgesamt",Anzahl,RH03353,2955
2022,"Harburg",weiblich,"insgesamt",Anzahl,RH03353,680
2022,"Harburg",insgesamt,"insgesamt",Anzahl,RH03353,3635
2022,"Lüchow-Dannenberg",männlich,"insgesamt",Anzahl,RH03354,235
2022,"Lüchow-Dannenberg",weiblich,"insgesamt",Anzahl,RH03354,165
2022,"Lüchow-Dannenberg",insgesamt,"insgesamt",Anzahl,RH03354,405
2022,"Lüneburg",männlich,"insgesamt",Anzahl,RH03355,900
2022,"Lüneburg",weiblich,"insgesamt",Anzahl,RH03355,775
2022,"Lüneburg",insgesamt,"insgesamt",Anzahl,RH03355,1675
2022,"Osterholz",männlich,"insgesamt",Anzahl,RH03356,470
2022,"Osterholz",weiblich,"insgesamt",Anzahl,RH03356,405
2022,"Osterholz",insgesamt,"insgesamt",Anzahl,RH03356,875
2022,"Rotenburg (Wümme)",männlich,"insgesamt",Anzahl,RH03357,1060
2022,"Rotenburg (Wümme)",weiblich,"insgesamt",Anzahl,RH03357,695
2022,"Rotenburg (Wümme)",insgesamt,"insgesamt",Anzahl,RH03357,1755
2022,"Heidekreis",männlich,"insgesamt",Anzahl,RH03358,1840
2022,"Heidekreis",weiblich,"insgesamt",Anzahl,RH03358,1560
2022,"Heidekreis",insgesamt,"insgesamt",Anzahl,RH03358,3400
2022,"Stade",männlich,"insgesamt",Anzahl,RH03359,1350
2022,"Stade",weiblich,"insgesamt",Anzahl,RH03359,795
2022,"Stade",insgesamt,"insgesamt",Anzahl,RH03359,2145
2022,"Uelzen",männlich,"insgesamt",Anzahl,RH03360,380
2022,"Uelzen",weiblich,"insgesamt",Anzahl,RH03360,285
2022,"Uelzen",insgesamt,"insgesamt",Anzahl,RH03360,670
2022,"Verden",männlich,"insgesamt",Anzahl,RH03361,970
2022,"Verden",weiblich,"insgesamt",Anzahl,RH03361,560
2022,"Verden",insgesamt,"insgesamt",Anzahl,RH03361,1535
2022,"Statistische Region Lüneburg",männlich,"insgesamt",Anzahl,RH033,11860
2022,"Statistische Region Lüneburg",weiblich,"insgesamt",Anzahl,RH033,7295
2022,"Statistische Region Lüneburg",insgesamt,"insgesamt",Anzahl,RH033,19155
2022,"Delmenhorst, Stadt",männlich,"insgesamt",Anzahl,RH03401,360
2022,"Delmenhorst, Stadt",weiblich,"insgesamt",Anzahl,RH03401,245
2022,"Delmenhorst, Stadt",insgesamt,"insgesamt",Anzahl,RH03401,605
2022,"Emden, Stadt",männlich,"insgesamt",Anzahl,RH03402,515
2022,"Emden, Stadt",weiblich,"insgesamt",Anzahl,RH03402,350
2022,"Emden, Stadt",insgesamt,"insgesamt",Anzahl,RH03402,865
2022,"Oldenburg (Oldb), Stadt",männlich,"insgesamt",Anzahl,RH03403,1230
2022,"Oldenburg (Oldb), Stadt",weiblich,"insgesamt",Anzahl,RH03403,905
2022,"Oldenburg (Oldb), Stadt",insgesamt,"insgesamt",Anzahl,RH03403,2135
2022,"Osnabrück, Stadt",männlich,"insgesamt",Anzahl,RH03404,1270
2022,"Osnabrück, Stadt",weiblich,"insgesamt",Anzahl,RH03404,750
2022,"Osnabrück, Stadt",insgesamt,"insgesamt",Anzahl,RH03404,2020
2022,"Wilhelmshaven, Stadt",männlich,"insgesamt",Anzahl,RH03405,470
2022,"Wilhelmshaven, Stadt",weiblich,"insgesamt",Anzahl,RH03405,270
2022,"Wilhelmshaven, Stadt",insgesamt,"insgesamt",Anzahl,RH03405,740
2022,"Ammerland",männlich,"insgesamt",Anzahl,RH03451,620
2022,"Ammerland",weiblich,"insgesamt",Anzahl,RH03451,475
2022,"Ammerland",insgesamt,"insgesamt",Anzahl,RH03451,1090
2022,"Aurich",männlich,"insgesamt",Anzahl,RH03452,1155
2022,"Aurich",weiblich,"insgesamt",Anzahl,RH03452,675
2022,"Aurich",insgesamt,"insgesamt",Anzahl,RH03452,1830
2022,"Cloppenburg",männlich,"insgesamt",Anzahl,RH03453,965
2022,"Cloppenburg",weiblich,"insgesamt",Anzahl,RH03453,655
2022,"Cloppenburg",insgesamt,"insgesamt",Anzahl,RH03453,1615
2022,"Emsland",männlich,"insgesamt",Anzahl,RH03454,2195
2022,"Emsland",weiblich,"insgesamt",Anzahl,RH03454,1480
2022,"Emsland",insgesamt,"insgesamt",Anzahl,RH03454,3675
2022,"Friesland",männlich,"insgesamt",Anzahl,RH03455,690
2022,"Friesland",weiblich,"insgesamt",Anzahl,RH03455,590
2022,"Friesland",insgesamt,"insgesamt",Anzahl,RH03455,1285
2022,"Grafschaft Bentheim",männlich,"insgesamt",Anzahl,RH03456,1470
2022,"Grafschaft Bentheim",weiblich,"insgesamt",Anzahl,RH03456,530
2022,"Grafschaft Bentheim",insgesamt,"insgesamt",Anzahl,RH03456,2000
2022,"Leer",männlich,"insgesamt",Anzahl,RH03457,1320
2022,"Leer",weiblich,"insgesamt",Anzahl,RH03457,815
2022,"Leer",insgesamt,"insgesamt",Anzahl,RH03457,2135
2022,"Oldenburg",männlich,"insgesamt",Anzahl,RH03458,545
2022,"Oldenburg",weiblich,"insgesamt",Anzahl,RH03458,380
2022,"Oldenburg",insgesamt,"insgesamt",Anzahl,RH03458,925
2022,"Osnabrück",männlich,"insgesamt",Anzahl,RH03459,1750
2022,"Osnabrück",weiblich,"insgesamt",Anzahl,RH03459,1320
2022,"Osnabrück",insgesamt,"insgesamt",Anzahl,RH03459,3065
2022,"Vechta",männlich,"insgesamt",Anzahl,RH03460,585
2022,"Vechta",weiblich,"insgesamt",Anzahl,RH03460,405
2022,"Vechta",insgesamt,"insgesamt",Anzahl,RH03460,990
2022,"Wesermarsch",männlich,"insgesamt",Anzahl,RH03461,600
2022,"Wesermarsch",weiblich,"insgesamt",Anzahl,RH03461,505
2022,"Wesermarsch",insgesamt,"insgesamt",Anzahl,RH03461,1100
2022,"Wittmund",männlich,"insgesamt",Anzahl,RH03462,345
2022,"Wittmund",weiblich,"insgesamt",Anzahl,RH03462,285
2022,"Wittmund",insgesamt,"insgesamt",Anzahl,RH03462,630
2022,"Statistische Region Weser-Ems",männlich,"insgesamt",Anzahl,RH034,16080
2022,"Statistische Region Weser-Ems",weiblich,"insgesamt",Anzahl,RH034,10620
2022,"Statistische Region Weser-Ems",insgesamt,"insgesamt",Anzahl,RH034,26700
2022,"Niedersachsen",männlich,"insgesamt",Anzahl,RH030,63340
2022,"Niedersachsen",weiblich,"insgesamt",Anzahl,RH030,44170
