Year,Durchschnittliche Bewohnerzahl in der Landesaufnahmebehörde Niedersachsen (LAB NI),Value
2015,Belegung,33120
2016,Belegung,7825
2017,Belegung,3147
2018,Belegung,3240
2019,Belegung,2897
2020,Belegung,3105
2021,Belegung,3106
2022,Belegung,5582
2023,Belegung,6959
2015,vorhandene Kapazität,44492
2016,vorhandene Kapazität,28503
2017,vorhandene Kapazität,5884
2018,vorhandene Kapazität,5143
2019,vorhandene Kapazität,5481
2020,vorhandene Kapazität,5760
2021,vorhandene Kapazität,5760
2022,vorhandene Kapazität,14256
2023,vorhandene Kapazität,14441
