Year,Abschiebungen,Value
2014,Abschiebungen insgesamt,855
2015,Abschiebungen insgesamt,1133
2016,Abschiebungen insgesamt,1959
2017,Abschiebungen insgesamt,1724
2018,Abschiebungen insgesamt,1445
2019,Abschiebungen insgesamt,1104
2020,Abschiebungen insgesamt,618
2021,Abschiebungen insgesamt,679
2022,Abschiebungen insgesamt,798
2023,Abschiebungen insgesamt,1100
2014,Überstellung nach der Dublin III-VO,555
2015,Überstellung nach der Dublin III-VO,262
2016,Überstellung nach der Dublin III-VO,346
2017,Überstellung nach der Dublin III-VO,597
2018,Überstellung nach der Dublin III-VO,526
2019,Überstellung nach der Dublin III-VO,417
2020,Überstellung nach der Dublin III-VO,167
2021,Überstellung nach der Dublin III-VO,144
2022,Überstellung nach der Dublin III-VO,195
2023,Überstellung nach der Dublin III-VO,204
