Year,Gebietseinheit,GeoCode,Value
2005,"Braunschweig, Stadt",K03101,441
2005,"Salzgitter, Stadt",K03102,178
2005,"Wolfsburg, Stadt",K03103,185
2005,"Gifhorn",K03151,177
2005,"Goslar",K03153,182
2005,"Helmstedt",K03154,40
2005,"Northeim",K03155,113
2005,"Peine",K03157,216
2005,"Wolfenbüttel",K03158,145
2005,"Göttingen",K03159,424
2005,"Statistische Region Braunschweig",K031,2101
2005,"Hannover  Region",K03241,2810
2005,"dav. Hannover, Lhst.",K03241001,1605
2005,"dav. Hannover, Umland",K03241999,1205
2005,"Diepholz",K03251,261
2005,"Hameln-Pyrmont",K03252,308
2005,"Hildesheim",K03254,559
2005,"Holzminden",K03255,58
2005,"Nienburg (Weser)",K03256,194
2005,"Schaumburg",K03257,231
2005,"Statistische Region Hannover",K032,4421
2005,"Celle",K03351,214
2005,"Cuxhaven",K03352,184
2005,"Harburg",K03353,301
2005,"Lüchow-Dannenberg",K03354,5
2005,"Lüneburg",K03355,197
2005,"Osterholz",K03356,59
2005,"Rotenburg (Wümme)",K03357,86
2005,"Heidekreis",K03358,146
2005,"Stade",K03359,298
2005,"Uelzen",K03360,53
2005,"Verden",K03361,177
2005,"Statistische Region Lüneburg",K033,1720
2005,"Delmenhorst, Stadt",K03401,198
2005,"Emden  Stadt",K03402,47
2005,"Oldenburg(Oldb), Stadt",K03403,245
2005,"Osnabrück, Stadt",K03404,460
2005,"Wilhelmshaven, Stadt",K03405,183
2005,"Ammerland",K03451,91
2005,"Aurich",K03452,201
2005,"Cloppenburg",K03453,83
2005,"Emsland",K03454,165
2005,"Friesland",K03455,71
2005,"Grafschaft Bentheim",K03456,114
2005,"Leer",K03457,124
2005,"Oldenburg",K03458,91
2005,"Osnabrück",K03459,166
2005,"Vechta",K03460,287
2005,"Wesermarsch",K03461,91
2005,"Wittmund",K03462,27
2005,"Statistische Region Weser-Ems",K034,2644
2005,"Niedersachsen",K030,10886
2006,"Braunschweig, Stadt",K03101,440
2006,"Salzgitter, Stadt",K03102,201
2006,"Wolfsburg, Stadt",K03103,193
2006,"Gifhorn",K03151,236
2006,"Goslar",K03153,226
2006,"Helmstedt",K03154,55
2006,"Northeim",K03155,169
2006,"Peine",K03157,198
2006,"Wolfenbüttel",K03158,187
2006,"Göttingen",K03159,499
2006,"Statistische Region Braunschweig",K031,2404
2006,"Hannover  Region",K03241,2779
2006,"dav. Hannover, Lhst.",K03241001,1748
2006,"dav. Hannover, Umland",K03241999,1031
2006,"Diepholz",K03251,251
2006,"Hameln-Pyrmont",K03252,258
2006,"Hildesheim",K03254,602
2006,"Holzminden",K03255,56
2006,"Nienburg (Weser)",K03256,167
2006,"Schaumburg",K03257,297
2006,"Statistische Region Hannover",K032,4410
2006,"Celle",K03351,263
2006,"Cuxhaven",K03352,147
2006,"Harburg",K03353,257
2006,"Lüchow-Dannenberg",K03354,10
2006,"Lüneburg",K03355,186
2006,"Osterholz",K03356,60
2006,"Rotenburg (Wümme)",K03357,84
2006,"Heidekreis",K03358,135
2006,"Stade",K03359,288
2006,"Uelzen",K03360,57
2006,"Verden",K03361,148
2006,"Statistische Region Lüneburg",K033,1635
2006,"Delmenhorst, Stadt",K03401,269
