Year,Gebietseinheit,GeoCode,Value
Veränderung aktuelles Jahr (2022) zu 2005,"Braunschweig, Stadt",K03101,172
Veränderung aktuelles Jahr (2022) zu 2005,"Salzgitter, Stadt",K03102,161
Veränderung aktuelles Jahr (2022) zu 2005,"Wolfsburg, Stadt",K03103,201
Veränderung aktuelles Jahr (2022) zu 2005,"Gifhorn",K03151,-28
Veränderung aktuelles Jahr (2022) zu 2005,"Goslar",K03153,160
Veränderung aktuelles Jahr (2022) zu 2005,"Helmstedt",K03154,64
Veränderung aktuelles Jahr (2022) zu 2005,"Northeim",K03155,36
Veränderung aktuelles Jahr (2022) zu 2005,"Peine",K03157,120
Veränderung aktuelles Jahr (2022) zu 2005,"Wolfenbüttel",K03158,-13
Veränderung aktuelles Jahr (2022) zu 2005,"Göttingen",K03159,18
Veränderung aktuelles Jahr (2022) zu 2005,"Statistische Region Braunschweig",K031,891
Veränderung aktuelles Jahr (2022) zu 2005,"Region Hannover",K03241,-689
Veränderung aktuelles Jahr (2022) zu 2005,"dav. Hannover, Lhst.",K03241001,-653
Veränderung aktuelles Jahr (2022) zu 2005,"dav. Hannover, Umland",K03241999,-36
Veränderung aktuelles Jahr (2022) zu 2005,"Diepholz",K03251,209
Veränderung aktuelles Jahr (2022) zu 2005,"Hameln-Pyrmont",K03252,82
Veränderung aktuelles Jahr (2022) zu 2005,"Hildesheim",K03254,-143
Veränderung aktuelles Jahr (2022) zu 2005,"Holzminden",K03255,38
Veränderung aktuelles Jahr (2022) zu 2005,"Nienburg (Weser)",K03256,-17
Veränderung aktuelles Jahr (2022) zu 2005,"Schaumburg",K03257,84
Veränderung aktuelles Jahr (2022) zu 2005,"Statistische Region Hannover",K032,-436
Veränderung aktuelles Jahr (2022) zu 2005,"Celle",K03351,-87
Veränderung aktuelles Jahr (2022) zu 2005,"Cuxhaven",K03352,119
Veränderung aktuelles Jahr (2022) zu 2005,"Harburg",K03353,184
Veränderung aktuelles Jahr (2022) zu 2005,"Lüchow-Dannenberg",K03354,67
Veränderung aktuelles Jahr (2022) zu 2005,"Lüneburg",K03355,377
Veränderung aktuelles Jahr (2022) zu 2005,"Osterholz",K03356,53
Veränderung aktuelles Jahr (2022) zu 2005,"Rotenburg (Wümme)",K03357,99
Veränderung aktuelles Jahr (2022) zu 2005,"Heidekreis",K03358,79
Veränderung aktuelles Jahr (2022) zu 2005,"Stade",K03359,-89
Veränderung aktuelles Jahr (2022) zu 2005,"Uelzen",K03360,83
Veränderung aktuelles Jahr (2022) zu 2005,"Verden",K03361,-67
Veränderung aktuelles Jahr (2022) zu 2005,"Statistische Region Lüneburg",K033,818
Veränderung aktuelles Jahr (2022) zu 2005,"Delmenhorst, Stadt",K03401,6
Veränderung aktuelles Jahr (2022) zu 2005,"Emden, Stadt",K03402,89
Veränderung aktuelles Jahr (2022) zu 2005,"Oldenburg (Oldb), Stadt",K03403,84
Veränderung aktuelles Jahr (2022) zu 2005,"Osnabrück, Stadt",K03404,-129
Veränderung aktuelles Jahr (2022) zu 2005,"Wilhelmshaven, Stadt",K03405,-2
Veränderung aktuelles Jahr (2022) zu 2005,"Ammerland",K03451,29
Veränderung aktuelles Jahr (2022) zu 2005,"Aurich",K03452,40
Veränderung aktuelles Jahr (2022) zu 2005,"Cloppenburg",K03453,154
Veränderung aktuelles Jahr (2022) zu 2005,"Emsland",K03454,193
Veränderung aktuelles Jahr (2022) zu 2005,"Friesland",K03455,17
Veränderung aktuelles Jahr (2022) zu 2005,"Grafschaft Bentheim",K03456,294
Veränderung aktuelles Jahr (2022) zu 2005,"Leer",K03457,-33
Veränderung aktuelles Jahr (2022) zu 2005,"Oldenburg",K03458,127
Veränderung aktuelles Jahr (2022) zu 2005,"Osnabrück",K03459,270
Veränderung aktuelles Jahr (2022) zu 2005,"Vechta",K03460,140
Veränderung aktuelles Jahr (2022) zu 2005,"Wesermarsch",K03461,16
Veränderung aktuelles Jahr (2022) zu 2005,"Wittmund",K03462,-19
Veränderung aktuelles Jahr (2022) zu 2005,"Statistische Region Weser-Ems",K034,1276
Veränderung aktuelles Jahr (2022) zu 2005,"Niedersachsen",K030,2549
Veränderung aktuelles Jahr (2022) zu 2010,"Braunschweig, Stadt",K03101,299
Veränderung aktuelles Jahr (2022) zu 2010,"Salzgitter, Stadt",K03102,219
Veränderung aktuelles Jahr (2022) zu 2010,"Wolfsburg, Stadt",K03103,192
Veränderung aktuelles Jahr (2022) zu 2010,"Gifhorn",K03151,59
Veränderung aktuelles Jahr (2022) zu 2010,"Goslar",K03153,207
Veränderung aktuelles Jahr (2022) zu 2010,"Helmstedt",K03154,55
Veränderung aktuelles Jahr (2022) zu 2010,"Northeim",K03155,79
Veränderung aktuelles Jahr (2022) zu 2010,"Peine",K03157,217
Veränderung aktuelles Jahr (2022) zu 2010,"Wolfenbüttel",K03158,55
Veränderung aktuelles Jahr (2022) zu 2010,"Göttingen",K03159,259
Veränderung aktuelles Jahr (2022) zu 2010,"Statistische Region Braunschweig",K031,1641
Veränderung aktuelles Jahr (2022) zu 2010,"Region Hannover",K03241,255
Veränderung aktuelles Jahr (2022) zu 2010,"dav. Hannover, Lhst.",K03241001,-324
Veränderung aktuelles Jahr (2022) zu 2010,"dav. Hannover, Umland",K03241999,579
Veränderung aktuelles Jahr (2022) zu 2010,"Diepholz",K03251,327
Veränderung aktuelles Jahr (2022) zu 2010,"Hameln-Pyrmont",K03252,297
Veränderung aktuelles Jahr (2022) zu 2010,"Hildesheim",K03254,171
Veränderung aktuelles Jahr (2022) zu 2010,"Holzminden",K03255,60
Veränderung aktuelles Jahr (2022) zu 2010,"Nienburg (Weser)",K03256,45
Veränderung aktuelles Jahr (2022) zu 2010,"Schaumburg",K03257,191
Veränderung aktuelles Jahr (2022) zu 2010,"Statistische Region Hannover",K032,1346
Veränderung aktuelles Jahr (2022) zu 2010,"Celle",K03351,-9
Veränderung aktuelles Jahr (2022) zu 2010,"Cuxhaven",K03352,189
Veränderung aktuelles Jahr (2022) zu 2010,"Harburg",K03353,278
Veränderung aktuelles Jahr (2022) zu 2010,"Lüchow-Dannenberg",K03354,66
Veränderung aktuelles Jahr (2022) zu 2010,"Lüneburg",K03355,402
Veränderung aktuelles Jahr (2022) zu 2010,"Osterholz",K03356,45
Veränderung aktuelles Jahr (2022) zu 2010,"Rotenburg (Wümme)",K03357,82
Veränderung aktuelles Jahr (2022) zu 2010,"Heidekreis",K03358,145
Veränderung aktuelles Jahr (2022) zu 2010,"Stade",K03359,57
Veränderung aktuelles Jahr (2022) zu 2010,"Uelzen",K03360,92
Veränderung aktuelles Jahr (2022) zu 2010,"Verden",K03361,-7
Veränderung aktuelles Jahr (2022) zu 2010,"Statistische Region Lüneburg",K033,1340
Veränderung aktuelles Jahr (2022) zu 2010,"Delmenhorst, Stadt",K03401,-10
Veränderung aktuelles Jahr (2022) zu 2010,"Emden, Stadt",K03402,100
Veränderung aktuelles Jahr (2022) zu 2010,"Oldenburg (Oldb), Stadt",K03403,95
Veränderung aktuelles Jahr (2022) zu 2010,"Osnabrück, Stadt",K03404,98
Veränderung aktuelles Jahr (2022) zu 2010,"Wilhelmshaven, Stadt",K03405,74
Veränderung aktuelles Jahr (2022) zu 2010,"Ammerland",K03451,57
Veränderung aktuelles Jahr (2022) zu 2010,"Aurich",K03452,103
Veränderung aktuelles Jahr (2022) zu 2010,"Cloppenburg",K03453,148
Veränderung aktuelles Jahr (2022) zu 2010,"Emsland",K03454,206
Veränderung aktuelles Jahr (2022) zu 2010,"Friesland",K03455,7
Veränderung aktuelles Jahr (2022) zu 2010,"Grafschaft Bentheim",K03456,276
Veränderung aktuelles Jahr (2022) zu 2010,"Leer",K03457,-30
Veränderung aktuelles Jahr (2022) zu 2010,"Oldenburg",K03458,123
Veränderung aktuelles Jahr (2022) zu 2010,"Osnabrück",K03459,225
Veränderung aktuelles Jahr (2022) zu 2010,"Vechta",K03460,263
Veränderung aktuelles Jahr (2022) zu 2010,"Wesermarsch",K03461,32
Veränderung aktuelles Jahr (2022) zu 2010,"Wittmund",K03462,-22
Veränderung aktuelles Jahr (2022) zu 2010,"Statistische Region Weser-Ems",K034,1745
Veränderung aktuelles Jahr (2022) zu 2010,"Niedersachsen",K030,6072
Veränderung aktuelles Jahr (2022) zu 2020,"Braunschweig, Stadt",K03101,144
Veränderung aktuelles Jahr (2022) zu 2020,"Salzgitter, Stadt",K03102,37
Veränderung aktuelles Jahr (2022) zu 2020,"Wolfsburg, Stadt",K03103,61
Veränderung aktuelles Jahr (2022) zu 2020,"Gifhorn",K03151,-26
Veränderung aktuelles Jahr (2022) zu 2020,"Goslar",K03153,28
Veränderung aktuelles Jahr (2022) zu 2020,"Helmstedt",K03154,10
Veränderung aktuelles Jahr (2022) zu 2020,"Northeim",K03155,4
Veränderung aktuelles Jahr (2022) zu 2020,"Peine",K03157,83
Veränderung aktuelles Jahr (2022) zu 2020,"Wolfenbüttel",K03158,51
