Year,Gebietseinheit,Units,GeoCode,Value
2005,"Braunschweig, Stadt",Prozent,K03101,2.1750924784217
2005,"Salzgitter, Stadt",Prozent,K03102,1.66029288312657
2005,"Wolfsburg, Stadt",Prozent,K03103,1.54346737860838
2005,"Gifhorn",Prozent,K03151,2.32527588018917
2005,"Goslar",Prozent,K03153,2.42472688515854
2005,"Helmstedt",Prozent,K03154,1.09649122807018
2005,"Northeim",Prozent,K03155,1.94626248708233
2005,"Peine",Prozent,K03157,3.16066725197542
2005,"Wolfenbüttel",Prozent,K03158,2.96766270978305
2005,"Göttingen",Prozent,K03159,2.09258710887375
2005,"Statistische Region Braunschweig",Prozent,K031,2.11079408455232
2005,"Region Hannover",Prozent,K03241,2.43997742369644
2005,"dav. Hannover, Lhst.",Prozent,K03241001,2.13954356403967
2005,"dav. Hannover, Umland",Prozent,K03241999,3.00132008269197
2005,"Diepholz",Prozent,K03251,3.16133720930233
2005,"Hameln-Pyrmont",Prozent,K03252,2.79644089340839
2005,"Hildesheim",Prozent,K03254,3.82065477410977
2005,"Holzminden",Prozent,K03255,1.68948441596271
2005,"Nienburg (Weser)",Prozent,K03256,3.53498542274052
2005,"Schaumburg",Prozent,K03257,2.40424646128226
2005,"Statistische Region Hannover",Prozent,K032,2.6379068587965
2005,"Celle",Prozent,K03351,2.74183215887252
2005,"Cuxhaven",Prozent,K03352,2.10767468499427
2005,"Harburg",Prozent,K03353,2.73363000635728
2005,"Lüchow-Dannenberg",Prozent,K03354,0.392772977219167
2005,"Lüneburg",Prozent,K03355,2.85383166739099
2005,"Osterholz",Prozent,K03356,1.48092369477912
2005,"Rotenburg (Wümme)",Prozent,K03357,1.30679228080839
2005,"Heidekreis",Prozent,K03358,2.45419398218188
2005,"Stade",Prozent,K03359,3.72313843078461
2005,"Uelzen",Prozent,K03360,1.90236898779612
2005,"Verden",Prozent,K03361,2.62767220902613
2005,"Statistische Region Lüneburg",Prozent,K033,2.46552564433359
2005,"Delmenhorst, Stadt",Prozent,K03401,2.93289882980299
2005,"Emden, Stadt",Prozent,K03402,1.68882500898311
2005,"Oldenburg (Oldb), Stadt",Prozent,K03403,2.47875354107649
2005,"Osnabrück, Stadt",Prozent,K03404,3.03891127700337
2005,"Wilhelmshaven, Stadt",Prozent,K03405,4.75201246429499
2005,"Ammerland",Prozent,K03451,2.7676399026764
2005,"Aurich",Prozent,K03452,3.76545522667666
2005,"Cloppenburg",Prozent,K03453,1.30894180728592
2005,"Emsland",Prozent,K03454,1.31170999284522
2005,"Friesland",Prozent,K03455,2.57619738751814
2005,"Grafschaft Bentheim",Prozent,K03456,0.856820744081172
2005,"Leer",Prozent,K03457,1.90213222886946
2005,"Oldenburg",Prozent,K03458,2.11874272409779
2005,"Osnabrück",Prozent,K03459,1.01809260962895
2005,"Vechta",Prozent,K03460,3.22435681384114
2005,"Wesermarsch",Prozent,K03461,1.73896426523982
2005,"Wittmund",Prozent,K03462,2.03466465712133
2005,"Statistische Region Weser-Ems",Prozent,K034,2.1221095888212
2005,"Niedersachsen",Prozent,K030,2.35890146179949
2006,"Braunschweig, Stadt",Prozent,K03101,2.16941130066068
2006,"Salzgitter, Stadt",Prozent,K03102,1.91903761695627
2006,"Wolfsburg, Stadt",Prozent,K03103,1.61628004354744
2006,"Gifhorn",Prozent,K03151,3.20173653506987
2006,"Goslar",Prozent,K03153,3.08532423208191
2006,"Helmstedt",Prozent,K03154,1.51933701657459
2006,"Northeim",Prozent,K03155,3.01408953094346
2006,"Peine",Prozent,K03157,2.96584781306171
2006,"Wolfenbüttel",Prozent,K03158,4.01287553648069
2006,"Göttingen",Prozent,K03159,2.53055428774279
2006,"Statistische Region Braunschweig",Prozent,K031,2.46122344509854
2006,"Region Hannover",Prozent,K03241,2.41519863031557
2006,"dav. Hannover, Lhst.",Prozent,K03241001,2.33384069000507
2006,"dav. Hannover, Umland",Prozent,K03241999,2.56691149010332
2006,"Diepholz",Prozent,K03251,3.0839169431134
2006,"Hameln-Pyrmont",Prozent,K03252,2.4300649901102
2006,"Hildesheim",Prozent,K03254,4.22841890847791
2006,"Holzminden",Prozent,K03255,1.7104459376909
2006,"Nienburg (Weser)",Prozent,K03256,3.09144761199556
2006,"Schaumburg",Prozent,K03257,3.25016414970453
2006,"Statistische Region Hannover",Prozent,K032,2.6587086272382
2006,"Celle",Prozent,K03351,3.46326046879115
2006,"Cuxhaven",Prozent,K03352,1.73226490690549
2006,"Harburg",Prozent,K03353,2.40929970938408
2006,"Lüchow-Dannenberg",Prozent,K03354,0.789265982636148
2006,"Lüneburg",Prozent,K03355,2.75718944559739
2006,"Osterholz",Prozent,K03356,1.51860288534548
2006,"Rotenburg (Wümme)",Prozent,K03357,1.28913443830571
2006,"Heidekreis",Prozent,K03358,2.25488558543511
2006,"Stade",Prozent,K03359,3.63636363636364
2006,"Uelzen",Prozent,K03360,2.07877461706783
2006,"Verden",Prozent,K03361,2.20566318926975
2006,"Statistische Region Lüneburg",Prozent,K033,2.38386842795906
2006,"Delmenhorst, Stadt",Prozent,K03401,4.14739438791243
2006,"Emden, Stadt",Prozent,K03402,3.07807807807808
2006,"Oldenburg (Oldb), Stadt",Prozent,K03403,2.70297942049759
2006,"Osnabrück, Stadt",Prozent,K03404,3.62821035466775
2006,"Wilhelmshaven, Stadt",Prozent,K03405,3.93530997304582
2006,"Ammerland",Prozent,K03451,3.03850782190132
2006,"Aurich",Prozent,K03452,3.01215750317547
2006,"Cloppenburg",Prozent,K03453,1.87814933577645
2006,"Emsland",Prozent,K03454,1.29000422952206
2006,"Friesland",Prozent,K03455,1.56363636363636
2006,"Grafschaft Bentheim",Prozent,K03456,0.818388841446058
2006,"Leer",Prozent,K03457,2.58208955223881
2006,"Oldenburg",Prozent,K03458,2.25153513759381
2006,"Osnabrück",Prozent,K03459,2.07069778839674
2006,"Vechta",Prozent,K03460,2.64218540080609
2006,"Wesermarsch",Prozent,K03461,1.75637393767705
2006,"Wittmund",Prozent,K03462,2.13946117274168
2006,"Statistische Region Weser-Ems",Prozent,K034,2.3628638668204
2006,"Niedersachsen",Prozent,K030,2.4939128994217
2007,"Braunschweig, Stadt",Prozent,K03101,1.94213836477987
2007,"Salzgitter, Stadt",Prozent,K03102,1.61384976525822
2007,"Wolfsburg, Stadt",Prozent,K03103,1.8348623853211
2007,"Gifhorn",Prozent,K03151,2.85200055378652
2007,"Goslar",Prozent,K03153,2.29567141474208
2007,"Helmstedt",Prozent,K03154,1.82961692395655
2007,"Northeim",Prozent,K03155,2.42736300110335
2007,"Peine",Prozent,K03157,2.57398273736128
2007,"Wolfenbüttel",Prozent,K03158,2.47295208655332
