Year,Land der Staatsangehörigkeit,Value
2007,"Europa insgesamt",5866
2007,"Bulgarien",33
2007,"Griechenland",109
2007,"Italien",70
2007,"Kosovo",
2007,"Polen",583
2007,"Rumänien",209
2007,"Serbien, Serbien und Montegro",1198
2007,"Türkei",2162
2007,"Ukraine",493
2007,"EU Staaten",1289
2007,"Afrika insgesamt",521
2007,"Ägypten",24
2007,"Tunesien",112
2007,"Amerika insgesamt",266
2007,"Asien insgesamt",2375
2007,"Afganistan",230
2007,"Libanon",377
2007,"Indien",33
2007,"Irak",286
2007,"Iran, Islamische Republik",362
2007,"Palestinensische Gebiete",
2007,"Syrien, Arabische Republik",210
2007,"Australien und Ozeanien",1
2007,"Sonstige Ziele",222
2007,"staatenlos",136
2007,"ungeklärt",86
2008,"Europa insgesamt",4488
2008,"Bulgarien",58
2008,"Griechenland",98
2008,"Italien",88
2008,"Kosovo",
2008,"Polen",548
2008,"Rumänien",124
2008,"Serbien, Serbien und Montegro",540
2008,"Türkei",2020
2008,"Ukraine",185
2008,"EU Staaten",1232
2008,"Afrika insgesamt",564
2008,"Ägypten",23
2008,"Tunesien",76
2008,"Amerika insgesamt",233
2008,"Asien insgesamt",2272
2008,"Afganistan",219
2008,"Libanon",367
2008,"Indien",38
2008,"Irak",306
2008,"Iran, Islamische Republik",303
2008,"Palestinensische Gebiete",
2008,"Syrien, Arabische Republik",208
2008,"Australien und Ozeanien",
2008,"Sonstige Ziele",147
2008,"staatenlos",99
2008,"ungeklärt",48
2009,"Europa insgesamt",3947
2009,"Bulgarien",60
2009,"Griechenland",69
2009,"Italien",53
2009,"Kosovo",34
2009,"Polen",434
2009,"Rumänien",119
2009,"Serbien, Serbien und Montegro",109
2009,"Türkei",2170
2009,"Ukraine",143
2009,"EU Staaten",1017
2009,"Afrika insgesamt",542
2009,"Ägypten",23
2009,"Tunesien",73
2009,"Amerika insgesamt",211
2009,"Asien insgesamt",2338
2009,"Afganistan",210
2009,"Libanon",335
2009,"Indien",34
2009,"Irak",361
2009,"Iran, Islamische Republik",323
2009,"Palestinensische Gebiete",
2009,"Syrien, Arabische Republik",225
2009,"Australien und Ozeanien",1
2009,"Sonstige Ziele",184
2009,"staatenlos",125
2009,"ungeklärt",59
2010,"Europa insgesamt",4205
2010,"Bulgarien",92
2010,"Griechenland",72
2010,"Italien",52
