Year,Gebietseinheit,Schulgliederung,Nationalität,Units,GeoCode,Value
2011,"Braunschweig, Stadt",Hauptschule,Deutsche,Anzahl,K03101,217
2011,"Salzgitter, Stadt",Hauptschule,Deutsche,Anzahl,K03102,184
2011,"Wolfsburg, Stadt",Hauptschule,Deutsche,Anzahl,K03103,146
2011,"Gifhorn",Hauptschule,Deutsche,Anzahl,K03151,304
2011,"Goslar",Hauptschule,Deutsche,Anzahl,K03153,223
2011,"Helmstedt",Hauptschule,Deutsche,Anzahl,K03154,113
2011,"Northeim",Hauptschule,Deutsche,Anzahl,K03155,225
2011,"Peine",Hauptschule,Deutsche,Anzahl,K03157,230
2011,"Wolfenbüttel",Hauptschule,Deutsche,Anzahl,K03158,178
2011,"Göttingen",Hauptschule,Deutsche,Anzahl,K03159,447
2011,"Statistische Region Braunschweig",Hauptschule,Deutsche,Anzahl,K031,2267
2011,"Region Hannover",Hauptschule,Deutsche,Anzahl,K03241,1079
2011,"dav. Hannover, Lhst.",Hauptschule,Deutsche,Anzahl,K03241001,324
2011,"dav. Hannover, Umland",Hauptschule,Deutsche,Anzahl,K03241999,755
2011,"Diepholz",Hauptschule,Deutsche,Anzahl,K03251,351
2011,"Hameln-Pyrmont",Hauptschule,Deutsche,Anzahl,K03252,301
2011,"Hildesheim",Hauptschule,Deutsche,Anzahl,K03254,400
2011,"Holzminden",Hauptschule,Deutsche,Anzahl,K03255,138
2011,"Nienburg (Weser)",Hauptschule,Deutsche,Anzahl,K03256,248
2011,"Schaumburg",Hauptschule,Deutsche,Anzahl,K03257,232
2011,"Statistische Region Hannover",Hauptschule,Deutsche,Anzahl,K032,2749
2011,"Celle",Hauptschule,Deutsche,Anzahl,K03351,447
2011,"Cuxhaven",Hauptschule,Deutsche,Anzahl,K03352,396
2011,"Harburg",Hauptschule,Deutsche,Anzahl,K03353,437
2011,"Lüchow-Dannenberg",Hauptschule,Deutsche,Anzahl,K03354,79
2011,"Lüneburg",Hauptschule,Deutsche,Anzahl,K03355,302
2011,"Osterholz",Hauptschule,Deutsche,Anzahl,K03356,157
2011,"Rotenburg (Wümme)",Hauptschule,Deutsche,Anzahl,K03357,419
2011,"Heidekreis",Hauptschule,Deutsche,Anzahl,K03358,316
2011,"Stade",Hauptschule,Deutsche,Anzahl,K03359,488
2011,"Uelzen",Hauptschule,Deutsche,Anzahl,K03360,196
2011,"Verden",Hauptschule,Deutsche,Anzahl,K03361,223
2011,"Statistische Region Lüneburg",Hauptschule,Deutsche,Anzahl,K033,3460
2011,"Delmenhorst, Stadt",Hauptschule,Deutsche,Anzahl,K03401,142
2011,"Emden, Stadt",Hauptschule,Deutsche,Anzahl,K03402,88
2011,"Oldenburg (Oldb), Stadt",Hauptschule,Deutsche,Anzahl,K03403,201
2011,"Osnabrück, Stadt",Hauptschule,Deutsche,Anzahl,K03404,234
2011,"Wilhelmshaven, Stadt",Hauptschule,Deutsche,Anzahl,K03405,160
2011,"Ammerland",Hauptschule,Deutsche,Anzahl,K03451,254
2011,"Aurich",Hauptschule,Deutsche,Anzahl,K03452,363
2011,"Cloppenburg",Hauptschule,Deutsche,Anzahl,K03453,497
2011,"Emsland",Hauptschule,Deutsche,Anzahl,K03454,854
2011,"Friesland",Hauptschule,Deutsche,Anzahl,K03455,254
2011,"Grafschaft Bentheim",Hauptschule,Deutsche,Anzahl,K03456,311
2011,"Leer",Hauptschule,Deutsche,Anzahl,K03457,453
2011,"Oldenburg",Hauptschule,Deutsche,Anzahl,K03458,219
2011,"Osnabrück",Hauptschule,Deutsche,Anzahl,K03459,728
2011,"Vechta",Hauptschule,Deutsche,Anzahl,K03460,305
2011,"Wesermarsch",Hauptschule,Deutsche,Anzahl,K03461,242
2011,"Wittmund",Hauptschule,Deutsche,Anzahl,K03462,169
2011,"Statistische Region Weser-Ems",Hauptschule,Deutsche,Anzahl,K034,5474
2011,"Niedersachsen",Hauptschule,Deutsche,Anzahl,,13950
2012,"Braunschweig, Stadt",Hauptschule,Deutsche,Anzahl,K03101,179
2012,"Salzgitter, Stadt",Hauptschule,Deutsche,Anzahl,K03102,163
2012,"Wolfsburg, Stadt",Hauptschule,Deutsche,Anzahl,K03103,108
2012,"Gifhorn",Hauptschule,Deutsche,Anzahl,K03151,293
2012,"Goslar",Hauptschule,Deutsche,Anzahl,K03153,210
2012,"Helmstedt",Hauptschule,Deutsche,Anzahl,K03154,110
2012,"Northeim",Hauptschule,Deutsche,Anzahl,K03155,222
2012,"Peine",Hauptschule,Deutsche,Anzahl,K03157,261
2012,"Wolfenbüttel",Hauptschule,Deutsche,Anzahl,K03158,175
2012,"Göttingen",Hauptschule,Deutsche,Anzahl,K03159,387
2012,"Statistische Region Braunschweig",Hauptschule,Deutsche,Anzahl,K031,2108
2012,"Region Hannover",Hauptschule,Deutsche,Anzahl,K03241,944
2012,"dav. Hannover, Lhst.",Hauptschule,Deutsche,Anzahl,K03241001,333
2012,"dav. Hannover, Umland",Hauptschule,Deutsche,Anzahl,K03241999,611
2012,"Diepholz",Hauptschule,Deutsche,Anzahl,K03251,333
2012,"Hameln-Pyrmont",Hauptschule,Deutsche,Anzahl,K03252,253
2012,"Hildesheim",Hauptschule,Deutsche,Anzahl,K03254,401
2012,"Holzminden",Hauptschule,Deutsche,Anzahl,K03255,124
2012,"Nienburg (Weser)",Hauptschule,Deutsche,Anzahl,K03256,241
2012,"Schaumburg",Hauptschule,Deutsche,Anzahl,K03257,158
2012,"Statistische Region Hannover",Hauptschule,Deutsche,Anzahl,K032,2454
2012,"Celle",Hauptschule,Deutsche,Anzahl,K03351,372
2012,"Cuxhaven",Hauptschule,Deutsche,Anzahl,K03352,357
2012,"Harburg",Hauptschule,Deutsche,Anzahl,K03353,384
2012,"Lüchow-Dannenberg",Hauptschule,Deutsche,Anzahl,K03354,79
2012,"Lüneburg",Hauptschule,Deutsche,Anzahl,K03355,282
2012,"Osterholz",Hauptschule,Deutsche,Anzahl,K03356,122
2012,"Rotenburg (Wümme)",Hauptschule,Deutsche,Anzahl,K03357,353
2012,"Heidekreis",Hauptschule,Deutsche,Anzahl,K03358,310
2012,"Stade",Hauptschule,Deutsche,Anzahl,K03359,433
2012,"Uelzen",Hauptschule,Deutsche,Anzahl,K03360,177
2012,"Verden",Hauptschule,Deutsche,Anzahl,K03361,198
2012,"Statistische Region Lüneburg",Hauptschule,Deutsche,Anzahl,K033,3067
2012,"Delmenhorst, Stadt",Hauptschule,Deutsche,Anzahl,K03401,139
2012,"Emden, Stadt",Hauptschule,Deutsche,Anzahl,K03402,96
2012,"Oldenburg (Oldb), Stadt",Hauptschule,Deutsche,Anzahl,K03403,162
2012,"Osnabrück, Stadt",Hauptschule,Deutsche,Anzahl,K03404,238
2012,"Wilhelmshaven, Stadt",Hauptschule,Deutsche,Anzahl,K03405,137
2012,"Ammerland",Hauptschule,Deutsche,Anzahl,K03451,227
2012,"Aurich",Hauptschule,Deutsche,Anzahl,K03452,338
2012,"Cloppenburg",Hauptschule,Deutsche,Anzahl,K03453,502
2012,"Emsland",Hauptschule,Deutsche,Anzahl,K03454,782
2012,"Friesland",Hauptschule,Deutsche,Anzahl,K03455,208
2012,"Grafschaft Bentheim",Hauptschule,Deutsche,Anzahl,K03456,299
2012,"Leer",Hauptschule,Deutsche,Anzahl,K03457,377
2012,"Oldenburg",Hauptschule,Deutsche,Anzahl,K03458,206
2012,"Osnabrück",Hauptschule,Deutsche,Anzahl,K03459,638
2012,"Vechta",Hauptschule,Deutsche,Anzahl,K03460,276
2012,"Wesermarsch",Hauptschule,Deutsche,Anzahl,K03461,235
2012,"Wittmund",Hauptschule,Deutsche,Anzahl,K03462,166
2012,"Statistische Region Weser-Ems",Hauptschule,Deutsche,Anzahl,K034,5026
2012,"Niedersachsen",Hauptschule,Deutsche,Anzahl,,12655
2013,"Braunschweig, Stadt",Hauptschule,Deutsche,Anzahl,K03101,189
2013,"Salzgitter, Stadt",Hauptschule,Deutsche,Anzahl,K03102,155
2013,"Wolfsburg, Stadt",Hauptschule,Deutsche,Anzahl,K03103,102
2013,"Gifhorn",Hauptschule,Deutsche,Anzahl,K03151,266
2013,"Goslar",Hauptschule,Deutsche,Anzahl,K03153,180
2013,"Helmstedt",Hauptschule,Deutsche,Anzahl,K03154,85
2013,"Northeim",Hauptschule,Deutsche,Anzahl,K03155,199
2013,"Peine",Hauptschule,Deutsche,Anzahl,K03157,216
2013,"Wolfenbüttel",Hauptschule,Deutsche,Anzahl,K03158,166
2013,"Göttingen",Hauptschule,Deutsche,Anzahl,K03159,297
2013,"Statistische Region Braunschweig",Hauptschule,Deutsche,Anzahl,K031,1855
2013,"Region Hannover",Hauptschule,Deutsche,Anzahl,K03241,853
2013,"dav. Hannover, Lhst.",Hauptschule,Deutsche,Anzahl,K03241001,253
2013,"dav. Hannover, Umland",Hauptschule,Deutsche,Anzahl,K03241999,600
2013,"Diepholz",Hauptschule,Deutsche,Anzahl,K03251,322
2013,"Hameln-Pyrmont",Hauptschule,Deutsche,Anzahl,K03252,265
2013,"Hildesheim",Hauptschule,Deutsche,Anzahl,K03254,356
2013,"Holzminden",Hauptschule,Deutsche,Anzahl,K03255,127
2013,"Nienburg (Weser)",Hauptschule,Deutsche,Anzahl,K03256,223
2013,"Schaumburg",Hauptschule,Deutsche,Anzahl,K03257,127
2013,"Statistische Region Hannover",Hauptschule,Deutsche,Anzahl,K032,2273
2013,"Celle",Hauptschule,Deutsche,Anzahl,K03351,345
2013,"Cuxhaven",Hauptschule,Deutsche,Anzahl,K03352,438
2013,"Harburg",Hauptschule,Deutsche,Anzahl,K03353,341
2013,"Lüchow-Dannenberg",Hauptschule,Deutsche,Anzahl,K03354,81
2013,"Lüneburg",Hauptschule,Deutsche,Anzahl,K03355,284
2013,"Osterholz",Hauptschule,Deutsche,Anzahl,K03356,117
2013,"Rotenburg (Wümme)",Hauptschule,Deutsche,Anzahl,K03357,348
2013,"Heidekreis",Hauptschule,Deutsche,Anzahl,K03358,292
2013,"Stade",Hauptschule,Deutsche,Anzahl,K03359,371
2013,"Uelzen",Hauptschule,Deutsche,Anzahl,K03360,198
2013,"Verden",Hauptschule,Deutsche,Anzahl,K03361,156
2013,"Statistische Region Lüneburg",Hauptschule,Deutsche,Anzahl,K033,2971
2013,"Delmenhorst, Stadt",Hauptschule,Deutsche,Anzahl,K03401,140
2013,"Emden, Stadt",Hauptschule,Deutsche,Anzahl,K03402,52
2013,"Oldenburg (Oldb), Stadt",Hauptschule,Deutsche,Anzahl,K03403,163
2013,"Osnabrück, Stadt",Hauptschule,Deutsche,Anzahl,K03404,202
2013,"Wilhelmshaven, Stadt",Hauptschule,Deutsche,Anzahl,K03405,107
2013,"Ammerland",Hauptschule,Deutsche,Anzahl,K03451,207
2013,"Aurich",Hauptschule,Deutsche,Anzahl,K03452,297
2013,"Cloppenburg",Hauptschule,Deutsche,Anzahl,K03453,428
2013,"Emsland",Hauptschule,Deutsche,Anzahl,K03454,731
2013,"Friesland",Hauptschule,Deutsche,Anzahl,K03455,230
2013,"Grafschaft Bentheim",Hauptschule,Deutsche,Anzahl,K03456,282
2013,"Leer",Hauptschule,Deutsche,Anzahl,K03457,366
2013,"Oldenburg",Hauptschule,Deutsche,Anzahl,K03458,177
2013,"Osnabrück",Hauptschule,Deutsche,Anzahl,K03459,610
2013,"Vechta",Hauptschule,Deutsche,Anzahl,K03460,284
2013,"Wesermarsch",Hauptschule,Deutsche,Anzahl,K03461,178
2013,"Wittmund",Hauptschule,Deutsche,Anzahl,K03462,170
2013,"Statistische Region Weser-Ems",Hauptschule,Deutsche,Anzahl,K034,4624
2013,"Niedersachsen",Hauptschule,Deutsche,Anzahl,,11723
2014,"Braunschweig, Stadt",Hauptschule,Deutsche,Anzahl,K03101,214
2014,"Salzgitter, Stadt",Hauptschule,Deutsche,Anzahl,K03102,156
2014,"Wolfsburg, Stadt",Hauptschule,Deutsche,Anzahl,K03103,76
2014,"Gifhorn",Hauptschule,Deutsche,Anzahl,K03151,215
2014,"Goslar",Hauptschule,Deutsche,Anzahl,K03153,83
2014,"Helmstedt",Hauptschule,Deutsche,Anzahl,K03154,115
2014,"Northeim",Hauptschule,Deutsche,Anzahl,K03155,129
2014,"Peine",Hauptschule,Deutsche,Anzahl,K03157,173
2014,"Wolfenbüttel",Hauptschule,Deutsche,Anzahl,K03158,144
2014,"Göttingen",Hauptschule,Deutsche,Anzahl,K03159,220
2014,"Statistische Region Braunschweig",Hauptschule,Deutsche,Anzahl,K031,1525
2014,"Region Hannover",Hauptschule,Deutsche,Anzahl,K03241,744
2014,"dav. Hannover, Lhst.",Hauptschule,Deutsche,Anzahl,K03241001,202
2014,"dav. Hannover, Umland",Hauptschule,Deutsche,Anzahl,K03241999,542
2014,"Diepholz",Hauptschule,Deutsche,Anzahl,K03251,233
2014,"Hameln-Pyrmont",Hauptschule,Deutsche,Anzahl,K03252,193
2014,"Hildesheim",Hauptschule,Deutsche,Anzahl,K03254,166
2014,"Holzminden",Hauptschule,Deutsche,Anzahl,K03255,50
2014,"Nienburg (Weser)",Hauptschule,Deutsche,Anzahl,K03256,149
