Year,Abschlussart,Nationalität,Value
2022,Hochschulreife,Insgesamt,24810
2022,Fachhochschulreife1),Insgesamt,2289
2022,Realschulabschluss,Insgesamt,33410
2022,Hauptschulabschluss,Insgesamt,10646
2022,Abschluss Förderschule2),Insgesamt,2228
2022,Ohne Abschluss,Insgesamt,2858
2022,Insgesamt,Insgesamt,76241
2021,Hochschulreife,Insgesamt,25484
2021,Fachhochschulreife1),Insgesamt,1997
2021,Realschulabschluss,Insgesamt,33930
2021,Hauptschulabschluss,Insgesamt,10318
2021,Abschluss Förderschule2),Insgesamt,2188
2021,Ohne Abschluss,Insgesamt,2402
2021,Insgesamt,Insgesamt,76319
2020,Hochschulreife,Insgesamt,5198
2020,Fachhochschulreife1),Insgesamt,1693
2020,Realschulabschluss,Insgesamt,35249
2020,Hauptschulabschluss,Insgesamt,10566
2020,Abschluss Förderschule2),Insgesamt,2157
2020,Ohne Abschluss,Insgesamt,2455
2020,Insgesamt,Insgesamt,57318
2019,Hochschulreife,Insgesamt,27080
2019,Fachhochschulreife1),Insgesamt,2350
2019,Realschulabschluss,Insgesamt,34113
2019,Hauptschulabschluss,Insgesamt,11205
2019,Abschluss Förderschule2),Insgesamt,2067
2019,Ohne Abschluss,Insgesamt,3357
2019,Insgesamt,Insgesamt,80172
2018,Hochschulreife,Insgesamt,26523
2018,Fachhochschulreife1),Insgesamt,2341
2018,Realschulabschluss,Insgesamt,35591
2018,Hauptschulabschluss,Insgesamt,11516
2018,Abschluss Förderschule2),Insgesamt,1963
2018,Ohne Abschluss,Insgesamt,3130
2018,Insgesamt,Insgesamt,81064
2017,Hochschulreife,Insgesamt,26734
2017,Fachhochschulreife1),Insgesamt,2183
2017,Realschulabschluss,Insgesamt,37000
2017,Hauptschulabschluss,Insgesamt,11686
2017,Abschluss Förderschule2),Insgesamt,1692
2017,Ohne Abschluss,Insgesamt,3138
2017,Insgesamt,Insgesamt,82433
2016,Hochschulreife,Insgesamt,27554
2016,Fachhochschulreife1),Insgesamt,1918
2016,Realschulabschluss,Insgesamt,39059
2016,Hauptschulabschluss,Insgesamt,11333
2016,Abschluss Förderschule2),Insgesamt,1780
2016,Ohne Abschluss,Insgesamt,2511
2016,Insgesamt,Insgesamt,84155
2015,Hochschulreife,Insgesamt,27892
2015,Fachhochschulreife1),Insgesamt,1797
2015,Realschulabschluss,Insgesamt,40641
2015,Hauptschulabschluss,Insgesamt,11120
2015,Abschluss Förderschule2),Insgesamt,2007
2015,Ohne Abschluss,Insgesamt,2332
2015,Insgesamt,Insgesamt,85789
2014,Hochschulreife,Insgesamt,26724
2014,Fachhochschulreife1),Insgesamt,1839
2014,Realschulabschluss,Insgesamt,42449
2014,Hauptschulabschluss,Insgesamt,12027
2014,Abschluss Förderschule2),Insgesamt,1964
2014,Ohne Abschluss,Insgesamt,2281
2014,Insgesamt,Insgesamt,87284
2013,Hochschulreife,Insgesamt,25788
2013,Fachhochschulreife1),Insgesamt,1963
2013,Realschulabschluss,Insgesamt,42205
2013,Hauptschulabschluss,Insgesamt,12132
2013,Abschluss Förderschule2),Insgesamt,2002
2013,Ohne Abschluss,Insgesamt,2370
2013,Insgesamt,Insgesamt,86460
2012,Hochschulreife,Insgesamt,26655
2012,Fachhochschulreife1),Insgesamt,1779
2012,Realschulabschluss,Insgesamt,41339
2012,Hauptschulabschluss,Insgesamt,12870
