Year,Altersgruppe,Schulabschluss,Migrationsstatus,Units,Value
2022,18 – 25,Ohne Abschluss,Insgesamt,%,6.25873930309301
2022,25 – 35,Ohne Abschluss,Insgesamt,%,6.09340979484192
2022,15 – 65,Ohne Abschluss,Insgesamt,%,5.7815209926852
2022,18 – 25,Hauptschulabschluss,Insgesamt,%,10.5729254059698
2022,25 – 35,Hauptschulabschluss,Insgesamt,%,10.3795475686671
2022,15 – 65,Hauptschulabschluss,Insgesamt,%,17.4235471956478
2022,18 – 25,Realschulabschluss,Insgesamt,%,34.6645039804612
2022,25 – 35,Realschulabschluss,Insgesamt,%,32.5871180757869
2022,15 – 65,Realschulabschluss,Insgesamt,%,35.7930489764017
2022,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,48.5019669258161
2022,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,50.9389023480225
2022,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,41.0018828352653
2021,18 – 25,Ohne Abschluss,Insgesamt,%,6.53963729112357
2021,25 – 35,Ohne Abschluss,Insgesamt,%,6.51879707015713
2021,15 – 65,Ohne Abschluss,Insgesamt,%,5.81396795382166
2021,18 – 25,Hauptschulabschluss,Insgesamt,%,11.2994880066015
2021,25 – 35,Hauptschulabschluss,Insgesamt,%,10.7947560358276
2021,15 – 65,Hauptschulabschluss,Insgesamt,%,18.7406697850318
2021,18 – 25,Realschulabschluss,Insgesamt,%,34.7855441570863
2021,25 – 35,Realschulabschluss,Insgesamt,%,32.6890296186865
2021,15 – 65,Realschulabschluss,Insgesamt,%,35.8622362659236
2021,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,47.3753305451886
2021,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,49.9974172753288
2021,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,39.5831259952229
2019,18 – 25,Ohne Abschluss,Insgesamt,%,4.67535046814551
2019,25 – 35,Ohne Abschluss,Insgesamt,%,4.74913006634145
2019,15 – 65,Ohne Abschluss,Insgesamt,%,4.1453676331601
2019,18 – 25,Hauptschulabschluss,Insgesamt,%,12.2398443213927
2019,25 – 35,Hauptschulabschluss,Insgesamt,%,13.7767730991181
2019,15 – 65,Hauptschulabschluss,Insgesamt,%,22.4409548673615
2019,18 – 25,Realschulabschluss,Insgesamt,%,35.2865221283734
2019,25 – 35,Realschulabschluss,Insgesamt,%,35.471306016721
2019,15 – 65,Realschulabschluss,Insgesamt,%,36.8567886630311
2019,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,47.7982830820884
2019,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,46.0027908178194
2019,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,36.5568890425676
2018,18 – 25,Ohne Abschluss,Insgesamt,%,4.69829888868067
2018,25 – 35,Ohne Abschluss,Insgesamt,%,4.64854158681157
2018,15 – 65,Ohne Abschluss,Insgesamt,%,4.20696238944428
2018,18 – 25,Hauptschulabschluss,Insgesamt,%,12.9014671856899
2018,25 – 35,Hauptschulabschluss,Insgesamt,%,14.8041431602725
2018,15 – 65,Hauptschulabschluss,Insgesamt,%,23.5805729388685
2018,18 – 25,Realschulabschluss,Insgesamt,%,35.5556401356863
2018,25 – 35,Realschulabschluss,Insgesamt,%,36.0772996848019
2018,15 – 65,Realschulabschluss,Insgesamt,%,36.9643593506712
2018,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,46.8445937899431
2018,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,44.470015568114
2018,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,35.2481051140062
2017,18 – 25,Ohne Abschluss,Insgesamt,%,4.91947935759943
2017,25 – 35,Ohne Abschluss,Insgesamt,%,4.6497542305345
2017,15 – 65,Ohne Abschluss,Insgesamt,%,4.22015122201331
2017,18 – 25,Hauptschulabschluss,Insgesamt,%,13.0419244579118
2017,25 – 35,Hauptschulabschluss,Insgesamt,%,15.1611761077529
2017,15 – 65,Hauptschulabschluss,Insgesamt,%,24.8574375151289
2017,18 – 25,Realschulabschluss,Insgesamt,%,37.0257888242633
2017,25 – 35,Realschulabschluss,Insgesamt,%,36.9894147782708
2017,15 – 65,Realschulabschluss,Insgesamt,%,36.6420554912212
2017,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,45.0128073602255
2017,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,43.1996538265916
2017,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,34.2803557716366
2016,18 – 25,Ohne Abschluss,Insgesamt,%,4.9161793714797
2016,25 – 35,Ohne Abschluss,Insgesamt,%,4.76691764945931
2016,15 – 65,Ohne Abschluss,Insgesamt,%,4.13794834789097
2016,18 – 25,Hauptschulabschluss,Insgesamt,%,13.8626051677443
2016,25 – 35,Hauptschulabschluss,Insgesamt,%,15.5207493099864
2016,15 – 65,Hauptschulabschluss,Insgesamt,%,26.0464191112209
2016,18 – 25,Realschulabschluss,Insgesamt,%,37.6605710014727
2016,25 – 35,Realschulabschluss,Insgesamt,%,36.7934738621367
2016,15 – 65,Realschulabschluss,Insgesamt,%,36.5198660802176
2016,18 – 25,(Fach-)Hochschulreife,Insgesamt,%,43.560642662873
2016,25 – 35,(Fach-)Hochschulreife,Insgesamt,%,42.9188591784176
2016,15 – 65,(Fach-)Hochschulreife,Insgesamt,%,33.295766256137
2015,18 – 25,Ohne Abschluss,Insgesamt,%,3.98651094662857
2015,25 – 35,Ohne Abschluss,Insgesamt,%,4.17317776687259
2015,15 – 65,Ohne Abschluss,Insgesamt,%,3.74991365539768
2015,18 – 25,Hauptschulabschluss,Insgesamt,%,13.7518266146371
