Year,Migrationsstatus,Bildungsstand,Geschlecht,Units,Value
2022,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,1000,623
2022,mit und ohne Migrationshintergrund,Insgesamt,männlich,1000,317
2022,mit und ohne Migrationshintergrund,Insgesamt,weiblich,1000,305
2022,ohne Migrationshintergrund,Insgesamt,Insgesamt,1000,435
2022,ohne Migrationshintergrund,Insgesamt,männlich,1000,219
2022,ohne Migrationshintergrund,Insgesamt,weiblich,1000,216
2022,mit Migrationshintergrund,Insgesamt,Insgesamt,1000,188
2022,mit Migrationshintergrund,Insgesamt,männlich,1000,98
2022,mit Migrationshintergrund,Insgesamt,weiblich,1000,90
2021,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,1000,618
2021,mit und ohne Migrationshintergrund,Insgesamt,männlich,1000,318
2021,mit und ohne Migrationshintergrund,Insgesamt,weiblich,1000,300
2021,ohne Migrationshintergrund,Insgesamt,Insgesamt,1000,434
2021,ohne Migrationshintergrund,Insgesamt,männlich,1000,217
2021,ohne Migrationshintergrund,Insgesamt,weiblich,1000,216
2021,mit Migrationshintergrund,Insgesamt,Insgesamt,1000,184
2021,mit Migrationshintergrund,Insgesamt,männlich,1000,101
2021,mit Migrationshintergrund,Insgesamt,weiblich,1000,83
2022,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,1000,4279
2022,mit und ohne Migrationshintergrund,Insgesamt,männlich,1000,2143
2022,mit und ohne Migrationshintergrund,Insgesamt,weiblich,1000,2136
2022,ohne Migrationshintergrund,Insgesamt,Insgesamt,1000,3196
2022,ohne Migrationshintergrund,Insgesamt,männlich,1000,1593
2022,ohne Migrationshintergrund,Insgesamt,weiblich,1000,1603
2022,mit Migrationshintergrund,Insgesamt,Insgesamt,1000,1083
2022,mit Migrationshintergrund,Insgesamt,männlich,1000,550
2022,mit Migrationshintergrund,Insgesamt,weiblich,1000,533
2021,mit und ohne Migrationshintergrund,Insgesamt,Insgesamt,1000,4254
2021,mit und ohne Migrationshintergrund,Insgesamt,männlich,1000,2141
2021,mit und ohne Migrationshintergrund,Insgesamt,weiblich,1000,2113
2021,ohne Migrationshintergrund,Insgesamt,Insgesamt,1000,3215
2021,ohne Migrationshintergrund,Insgesamt,männlich,1000,1607
2021,ohne Migrationshintergrund,Insgesamt,weiblich,1000,1608
2021,mit Migrationshintergrund,Insgesamt,Insgesamt,1000,1039
2021,mit Migrationshintergrund,Insgesamt,männlich,1000,534
2021,mit Migrationshintergrund,Insgesamt,weiblich,1000,505
2022,mit und ohne Migrationshintergrund,"Frühe Schulabgänger/innen",Insgesamt,1000,81
2022,mit und ohne Migrationshintergrund,"Frühe Schulabgänger/innen",männlich,1000,46
2022,mit und ohne Migrationshintergrund,"Frühe Schulabgänger/innen",weiblich,1000,35
2022,ohne Migrationshintergrund,"Frühe Schulabgänger/innen",Insgesamt,1000,41
2022,ohne Migrationshintergrund,"Frühe Schulabgänger/innen",männlich,1000,21
2022,ohne Migrationshintergrund,"Frühe Schulabgänger/innen",weiblich,1000,20
2022,mit Migrationshintergrund,"Frühe Schulabgänger/innen",Insgesamt,1000,40
2022,mit Migrationshintergrund,"Frühe Schulabgänger/innen",männlich,1000,24
2022,mit Migrationshintergrund,"Frühe Schulabgänger/innen",weiblich,1000,16
2021,mit und ohne Migrationshintergrund,"Frühe Schulabgänger/innen",Insgesamt,1000,79
2021,mit und ohne Migrationshintergrund,"Frühe Schulabgänger/innen",männlich,1000,46
2021,mit und ohne Migrationshintergrund,"Frühe Schulabgänger/innen",weiblich,1000,34
2021,ohne Migrationshintergrund,"Frühe Schulabgänger/innen",Insgesamt,1000,41
2021,ohne Migrationshintergrund,"Frühe Schulabgänger/innen",männlich,1000,23
2021,ohne Migrationshintergrund,"Frühe Schulabgänger/innen",weiblich,1000,18
2021,mit Migrationshintergrund,"Frühe Schulabgänger/innen",Insgesamt,1000,38
2021,mit Migrationshintergrund,"Frühe Schulabgänger/innen",männlich,1000,23
