Year,Erreichter Schulabschluss,Besuchte Schule,Nationalität,Units,Value
2022,Insgesamt,Insgesamt,Deutsche,Anzahl,83228
2022,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,3991
2022,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,10642
2022,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,904
2022,Realschulabschluss,Insgesamt,Deutsche,Anzahl,4103
2022,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1012
2022,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,40680
2022,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3302
2022,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9078
2022,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,21577
2022,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,10956
2022,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,147
2022,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,632
2022,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,36
2022,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1179
2022,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,230
2022,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2795
2022,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2171
2022,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2048
2022,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,3841
2021,Insgesamt,Insgesamt,Deutsche,Anzahl,83615
2021,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,4355
2021,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,10565
2021,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,919
2021,Realschulabschluss,Insgesamt,Deutsche,Anzahl,4114
2021,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,950
2021,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,41165
2021,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3643
2021,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,8039
2021,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,19422
2021,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,10228
2021,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,140
2021,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,581
2021,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,67
2021,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1013
2021,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,260
2021,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2745
