Year,Höchster beruflicher Abschluss,Migrationshintergrund,Geschlecht,Units,Value
2022,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,27.2034831552329
2022,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,46.7870544090056
2022,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,26.0094624357615
2021,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,25.9029938392434
2021,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,49.4199822800981
2021,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,24.6770238806585
2019,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,21.64
2019,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,46.87
2019,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,31.49
2018,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,21.82
2018,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,48.44
2018,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,29.74
2017,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,21.83
2017,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,49.19
2017,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,28.98
2016,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,22.14
2016,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,50.52
2016,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,27.35
2015,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,19.34
2015,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,51.57
2015,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,29.08
2014,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,19.53
2014,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,53.93
2014,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,26.54
2013,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,19.95
2013,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,55.79
2013,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,24.26
2012,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,19.93
2012,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,55.69
2012,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,24.38
2011,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,19.59
2011,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,57.59
2011,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,22.82
2005,Ohne Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,24.1544454209996
2005,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Insgesamt,%,58.9145618861606
2005,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Insgesamt,%,16.9309926928397
2022,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,28.9649744195199
2022,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,47.4635970090516
2022,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.5714285714286
2021,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,28.162686214235
2021,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,49.4049026562623
2021,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,22.4304406084969
2019,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.17
2019,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,48.72
2019,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,28.11
2018,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.59
2018,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,50.1
2018,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,26.32
2017,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.47
2017,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,50.81
2017,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,25.72
2016,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.92
2016,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,51.29
2016,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,24.79
2015,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,20.13
2015,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,53.84
2015,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,26.03
2014,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,20.1
2014,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,55.86
2014,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,24.05
2013,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,20.03
2013,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,56.53
2013,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.43
2012,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,20.06
2012,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,56.79
2012,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,23.15
2011,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,20.45
2011,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,58.22
2011,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,21.33
2005,Ohne Abschluss,mit und ohne Migrationshintergrund,Männer,%,22.719256399342
2005,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Männer,%,59.5185574678739
2005,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Männer,%,17.7621861327841
2022,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,25.3089816304072
2022,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,46.05942605604
2022,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,28.6315923135529
2021,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,23.4271773392634
2021,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,49.4365041668466
2021,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,27.1363184938901
2019,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,19.91
2019,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,44.77
2019,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,35.31
2018,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,19.86
2018,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,46.61
2018,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,33.52
2017,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,19.99
2017,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,47.38
2017,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,32.63
2016,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,20.15
2016,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,49.65
2016,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,30.2
2015,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,18.51
2015,Abgeschlossene Berufsausbildung,mit und ohne Migrationshintergrund,Frauen,%,49.21
2015,Tertiärer Abschluss,mit und ohne Migrationshintergrund,Frauen,%,32.28
2014,Ohne Abschluss,mit und ohne Migrationshintergrund,Frauen,%,18.94
