Year,Land der Staatsangehörigkeit,Kategorie,Value
WS 2005/06,"China",Ausländische Studierende (Insgesamt),3080
WS 2005/06,"Türkei",Ausländische Studierende (Insgesamt),1141
WS 2005/06,"Syrien, Arab. Republik",Ausländische Studierende (Insgesamt),156
WS 2005/06,"Indien",Ausländische Studierende (Insgesamt),284
WS 2005/06,"Iran, Islamische Republik",Ausländische Studierende (Insgesamt),365
WS 2005/06,"Staaten insgesamt",Ausländische Studierende (Insgesamt),17028
WS 2010/11,"China",Ausländische Studierende (Insgesamt),2391
WS 2010/11,"Türkei",Ausländische Studierende (Insgesamt),1229
WS 2010/11,"Syrien, Arab. Republik",Ausländische Studierende (Insgesamt),205
WS 2010/11,"Indien",Ausländische Studierende (Insgesamt),279
WS 2010/11,"Iran, Islamische Republik",Ausländische Studierende (Insgesamt),473
WS 2010/11,"Staaten insgesamt",Ausländische Studierende (Insgesamt),14839
WS 2015/16,"China",Ausländische Studierende (Insgesamt),3365
WS 2015/16,"Türkei",Ausländische Studierende (Insgesamt),1870
WS 2015/16,"Syrien, Arab. Republik",Ausländische Studierende (Insgesamt),416
WS 2015/16,"Indien",Ausländische Studierende (Insgesamt),642
WS 2015/16,"Iran, Islamische Republik",Ausländische Studierende (Insgesamt),678
WS 2015/16,"Staaten insgesamt",Ausländische Studierende (Insgesamt),19213
WS 2016/17,"China",Ausländische Studierende (Insgesamt),3608
WS 2016/17,"Türkei",Ausländische Studierende (Insgesamt),1954
WS 2016/17,"Syrien, Arab. Republik",Ausländische Studierende (Insgesamt),559
WS 2016/17,"Indien",Ausländische Studierende (Insgesamt),709
WS 2016/17,"Iran, Islamische Republik",Ausländische Studierende (Insgesamt),737
WS 2016/17,"Staaten insgesamt",Ausländische Studierende (Insgesamt),20591
WS 2017/18,"China",Ausländische Studierende (Insgesamt),4027
WS 2017/18,"Türkei",Ausländische Studierende (Insgesamt),2041
WS 2017/18,"Syrien, Arab. Republik",Ausländische Studierende (Insgesamt),884
WS 2017/18,"Indien",Ausländische Studierende (Insgesamt),840
WS 2017/18,"Iran, Islamische Republik",Ausländische Studierende (Insgesamt),810
WS 2017/18,"Staaten insgesamt",Ausländische Studierende (Insgesamt),22202
WS 2018/19,"China",Ausländische Studierende (Insgesamt),4335
WS 2018/19,"Türkei",Ausländische Studierende (Insgesamt),2015
WS 2018/19,"Syrien, Arab. Republik",Ausländische Studierende (Insgesamt),1267
WS 2018/19,"Indien",Ausländische Studierende (Insgesamt),1063
WS 2018/19,"Iran, Islamische Republik",Ausländische Studierende (Insgesamt),930
WS 2018/19,"Staaten insgesamt",Ausländische Studierende (Insgesamt),23707
WS 2019/20,"China",Ausländische Studierende (Insgesamt),4413
WS 2019/20,"Türkei",Ausländische Studierende (Insgesamt),1999
WS 2019/20,"Syrien, Arab. Republik",Ausländische Studierende (Insgesamt),1593
WS 2019/20,"Indien",Ausländische Studierende (Insgesamt),1338
WS 2019/20,"Iran, Islamische Republik",Ausländische Studierende (Insgesamt),1032
WS 2019/20,"Staaten insgesamt",Ausländische Studierende (Insgesamt),25077
WS 2020/21,"China",Ausländische Studierende (Insgesamt),4286
WS 2020/21,"Türkei",Ausländische Studierende (Insgesamt),1919
WS 2020/21,"Syrien, Arab. Republik",Ausländische Studierende (Insgesamt),1751
WS 2020/21,"Indien",Ausländische Studierende (Insgesamt),1502
WS 2020/21,"Iran, Islamische Republik",Ausländische Studierende (Insgesamt),1124
WS 2020/21,"Staaten insgesamt",Ausländische Studierende (Insgesamt),25111
WS 2021/22,"China",Ausländische Studierende (Insgesamt),3915
WS 2021/22,"Indien",Ausländische Studierende (Insgesamt),1685
WS 2021/22,"Syrien, Arab. Republik",Ausländische Studierende (Insgesamt),1897
WS 2021/22,"Türkei",Ausländische Studierende (Insgesamt),1851
WS 2021/22,"Iran, Islamische Republik",Ausländische Studierende (Insgesamt),1207
WS 2021/22,"Staaten insgesamt",Ausländische Studierende (Insgesamt),25286
WS 2022/23,"China",Ausländische Studierende (Insgesamt),3533
WS 2022/23,"Indien",Ausländische Studierende (Insgesamt),1966
WS 2022/23,"Syrien, Arab. Republik",Ausländische Studierende (Insgesamt),1940
WS 2022/23,"Türkei",Ausländische Studierende (Insgesamt),1795
WS 2022/23,"Iran, Islamische Republik",Ausländische Studierende (Insgesamt),1324
WS 2022/23,"Staaten insgesamt",Ausländische Studierende (Insgesamt),25665
WS 2005/06,"China",Ausländische Studierende (Männer),1700
WS 2005/06,"Türkei",Ausländische Studierende (Männer),735
WS 2005/06,"Syrien, Arab. Republik",Ausländische Studierende (Männer),121
WS 2005/06,"Indien",Ausländische Studierende (Männer),218
WS 2005/06,"Iran, Islamische Republik",Ausländische Studierende (Männer),205
WS 2005/06,"Staaten insgesamt",Ausländische Studierende (Männer),8800
WS 2010/11,"China",Ausländische Studierende (Männer),1339
WS 2010/11,"Türkei",Ausländische Studierende (Männer),692
WS 2010/11,"Syrien, Arab. Republik",Ausländische Studierende (Männer),148
WS 2010/11,"Indien",Ausländische Studierende (Männer),185
WS 2010/11,"Iran, Islamische Republik",Ausländische Studierende (Männer),266
WS 2010/11,"Staaten insgesamt",Ausländische Studierende (Männer),7678
WS 2015/16,"China",Ausländische Studierende (Männer),1893
WS 2015/16,"Türkei",Ausländische Studierende (Männer),943
WS 2015/16,"Syrien, Arab. Republik",Ausländische Studierende (Männer),306
WS 2015/16,"Indien",Ausländische Studierende (Männer),439
WS 2015/16,"Iran, Islamische Republik",Ausländische Studierende (Männer),361
WS 2015/16,"Staaten insgesamt",Ausländische Studierende (Männer),10249
WS 2016/17,"China",Ausländische Studierende (Männer),1992
WS 2016/17,"Türkei",Ausländische Studierende (Männer),966
WS 2016/17,"Syrien, Arab. Republik",Ausländische Studierende (Männer),432
WS 2016/17,"Indien",Ausländische Studierende (Männer),498
WS 2016/17,"Iran, Islamische Republik",Ausländische Studierende (Männer),378
WS 2016/17,"Staaten insgesamt",Ausländische Studierende (Männer),11163
WS 2017/18,"China",Ausländische Studierende (Männer),2287
WS 2017/18,"Türkei",Ausländische Studierende (Männer),1018
WS 2017/18,"Syrien, Arab. Republik",Ausländische Studierende (Männer),703
WS 2017/18,"Indien",Ausländische Studierende (Männer),612
WS 2017/18,"Iran, Islamische Republik",Ausländische Studierende (Männer),413
WS 2017/18,"Staaten insgesamt",Ausländische Studierende (Männer),12237
WS 2018/19,"China",Ausländische Studierende (Männer),2499
WS 2018/19,"Türkei",Ausländische Studierende (Männer),1017
WS 2018/19,"Syrien, Arab. Republik",Ausländische Studierende (Männer),1006
WS 2018/19,"Indien",Ausländische Studierende (Männer),814
WS 2018/19,"Iran, Islamische Republik",Ausländische Studierende (Männer),491
WS 2018/19,"Staaten insgesamt",Ausländische Studierende (Männer),13360
WS 2019/20,"China",Ausländische Studierende (Männer),2563
WS 2019/20,"Türkei",Ausländische Studierende (Männer),1000
WS 2019/20,"Syrien, Arab. Republik",Ausländische Studierende (Männer),1237
WS 2019/20,"Indien",Ausländische Studierende (Männer),1008
WS 2019/20,"Iran, Islamische Republik",Ausländische Studierende (Männer),548
WS 2019/20,"Staaten insgesamt",Ausländische Studierende (Männer),14266
WS 2020/21,"China",Ausländische Studierende (Männer),2523
WS 2020/21,"Türkei",Ausländische Studierende (Männer),979
WS 2020/21,"Syrien, Arab. Republik",Ausländische Studierende (Männer),1336
WS 2020/21,"Indien",Ausländische Studierende (Männer),1080
WS 2020/21,"Iran, Islamische Republik",Ausländische Studierende (Männer),586
WS 2020/21,"Staaten insgesamt",Ausländische Studierende (Männer),14481
WS 2021/22,"China",Ausländische Studierende (Männer),2297
WS 2021/22,"Indien",Ausländische Studierende (Männer),1192
WS 2021/22,"Syrien, Arab. Republik",Ausländische Studierende (Männer),1420
WS 2021/22,"Türkei",Ausländische Studierende (Männer),926
WS 2021/22,"Iran, Islamische Republik",Ausländische Studierende (Männer),608
WS 2021/22,"Staaten insgesamt",Ausländische Studierende (Männer),14446
WS 2022/23,"China",Ausländische Studierende (Männer),2082
WS 2022/23,"Indien",Ausländische Studierende (Männer),1360
WS 2022/23,"Syrien, Arab. Republik",Ausländische Studierende (Männer),1400
WS 2022/23,"Türkei",Ausländische Studierende (Männer),894
WS 2022/23,"Iran, Islamische Republik",Ausländische Studierende (Männer),644
WS 2022/23,"Staaten insgesamt",Ausländische Studierende (Männer),14449
WS 2005/06,"China",Ausländische Studierende (Frauen),1380
WS 2005/06,"Türkei",Ausländische Studierende (Frauen),406
WS 2005/06,"Syrien, Arab. Republik",Ausländische Studierende (Frauen),35
WS 2005/06,"Indien",Ausländische Studierende (Frauen),66
WS 2005/06,"Iran, Islamische Republik",Ausländische Studierende (Frauen),160
WS 2005/06,"Staaten insgesamt",Ausländische Studierende (Frauen),8228
WS 2010/11,"China",Ausländische Studierende (Frauen),1052
WS 2010/11,"Türkei",Ausländische Studierende (Frauen),537
WS 2010/11,"Syrien, Arab. Republik",Ausländische Studierende (Frauen),57
WS 2010/11,"Indien",Ausländische Studierende (Frauen),94
WS 2010/11,"Iran, Islamische Republik",Ausländische Studierende (Frauen),207
WS 2010/11,"Staaten insgesamt",Ausländische Studierende (Frauen),7161
WS 2015/16,"China",Ausländische Studierende (Frauen),1472
WS 2015/16,"Türkei",Ausländische Studierende (Frauen),927
WS 2015/16,"Syrien, Arab. Republik",Ausländische Studierende (Frauen),110
WS 2015/16,"Indien",Ausländische Studierende (Frauen),203
WS 2015/16,"Iran, Islamische Republik",Ausländische Studierende (Frauen),317
WS 2015/16,"Staaten insgesamt",Ausländische Studierende (Frauen),8964
WS 2016/17,"China",Ausländische Studierende (Frauen),1616
WS 2016/17,"Türkei",Ausländische Studierende (Frauen),988
WS 2016/17,"Syrien, Arab. Republik",Ausländische Studierende (Frauen),127
WS 2016/17,"Indien",Ausländische Studierende (Frauen),211
WS 2016/17,"Iran, Islamische Republik",Ausländische Studierende (Frauen),359
WS 2016/17,"Staaten insgesamt",Ausländische Studierende (Frauen),9428
WS 2017/18,"China",Ausländische Studierende (Frauen),1740
WS 2017/18,"Türkei",Ausländische Studierende (Frauen),1023
WS 2017/18,"Syrien, Arab. Republik",Ausländische Studierende (Frauen),181
WS 2017/18,"Indien",Ausländische Studierende (Frauen),228
WS 2017/18,"Iran, Islamische Republik",Ausländische Studierende (Frauen),397
WS 2017/18,"Staaten insgesamt",Ausländische Studierende (Frauen),9965
WS 2018/19,"China",Ausländische Studierende (Frauen),1836
WS 2018/19,"Türkei",Ausländische Studierende (Frauen),998
WS 2018/19,"Syrien, Arab. Republik",Ausländische Studierende (Frauen),261
WS 2018/19,"Indien",Ausländische Studierende (Frauen),249
WS 2018/19,"Iran, Islamische Republik",Ausländische Studierende (Frauen),439
WS 2018/19,"Staaten insgesamt",Ausländische Studierende (Frauen),10347
WS 2019/20,"China",Ausländische Studierende (Frauen),1850
WS 2019/20,"Türkei",Ausländische Studierende (Frauen),999
WS 2019/20,"Syrien, Arab. Republik",Ausländische Studierende (Frauen),356
WS 2019/20,"Indien",Ausländische Studierende (Frauen),330
WS 2019/20,"Iran, Islamische Republik",Ausländische Studierende (Frauen),484
WS 2019/20,"Staaten insgesamt",Ausländische Studierende (Frauen),10811
WS 2020/21,"China",Ausländische Studierende (Frauen),1763
WS 2020/21,"Türkei",Ausländische Studierende (Frauen),940
WS 2020/21,"Syrien, Arab. Republik",Ausländische Studierende (Frauen),415
WS 2020/21,"Indien",Ausländische Studierende (Frauen),422
