Year,Berufsgruppe,Geschlecht,Verfahren,Entscheidung vor Rechtsbehelf,Value
2022,alle Berufsgruppen,Männer,Insgesamt,,3432
2022,alle Berufsgruppen,Frauen,Insgesamt,,4800
2022,alle Berufsgruppen,Insgesamt,Insgesamt,,8232
2022,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,2193
2022,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,4116
2022,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,6309
2021,alle Berufsgruppen,Männer,Insgesamt,,3264
2021,alle Berufsgruppen,Frauen,Insgesamt,,4362
2021,alle Berufsgruppen,Insgesamt,Insgesamt,,7626
2021,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,2211
2021,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,3726
2021,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,5397
2020,alle Berufsgruppen,Männer,Insgesamt,,2943
2020,alle Berufsgruppen,Frauen,Insgesamt,,4008
2020,alle Berufsgruppen,Insgesamt,Insgesamt,,6951
2020,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,1902
2020,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,3225
2020,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,5127
2019,alle Berufsgruppen,Männer,Insgesamt,,2622
2019,alle Berufsgruppen,Frauen,Insgesamt,,3597
2019,alle Berufsgruppen,Insgesamt,Insgesamt,,6219
2019,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,1785
2019,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,2712
2019,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,4497
2018,alle Berufsgruppen,Männer,Insgesamt,,2112
2018,alle Berufsgruppen,Frauen,Insgesamt,,2466
2018,alle Berufsgruppen,Insgesamt,Insgesamt,,4578
2018,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,1179
2018,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,1710
2018,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,2889
2017,alle Berufsgruppen,Männer,Insgesamt,,1770
2017,alle Berufsgruppen,Frauen,Insgesamt,,1818
2017,alle Berufsgruppen,Insgesamt,Insgesamt,,3588
2017,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,843
2017,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,1230
2017,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,2070
2016,alle Berufsgruppen,Männer,Insgesamt,,1620
2016,alle Berufsgruppen,Frauen,Insgesamt,,1737
2016,alle Berufsgruppen,Insgesamt,Insgesamt,,3360
2016,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,798
2016,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,1071
2016,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,1869
2015,alle Berufsgruppen,Männer,Insgesamt,,1098
2015,alle Berufsgruppen,Frauen,Insgesamt,,1506
2015,alle Berufsgruppen,Insgesamt,Insgesamt,,2616
2015,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,648
2015,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,885
2015,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,1530
2014,alle Berufsgruppen,Männer,Insgesamt,,1005
2014,alle Berufsgruppen,Frauen,Insgesamt,,1665
2014,alle Berufsgruppen,Insgesamt,Insgesamt,,2670
2014,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,635
2014,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,730
2014,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,1365
2012,alle Berufsgruppen,Männer,Insgesamt,,261
2012,alle Berufsgruppen,Frauen,Insgesamt,,402
2012,alle Berufsgruppen,Insgesamt,Insgesamt,,663
2012,darunter medizinische Gesundheitsberufe,Männer,Insgesamt,,189
2012,darunter medizinische Gesundheitsberufe,Frauen,Insgesamt,,327
2012,darunter medizinische Gesundheitsberufe,Insgesamt,Insgesamt,,519
2022,alle Berufsgruppen,Männer,"abgeschlossene Verfahren",,2892
2022,alle Berufsgruppen,Frauen,"abgeschlossene Verfahren",,3783
2022,alle Berufsgruppen,Insgesamt,"abgeschlossene Verfahren",,6675
2022,darunter medizinische Gesundheitsberufe,Männer,"abgeschlossene Verfahren",,1863
2022,darunter medizinische Gesundheitsberufe,Frauen,"abgeschlossene Verfahren",,3237
2022,darunter medizinische Gesundheitsberufe,Insgesamt,"abgeschlossene Verfahren",,5100
2021,alle Berufsgruppen,Männer,"abgeschlossene Verfahren",,2496
2021,alle Berufsgruppen,Frauen,"abgeschlossene Verfahren",,2940
2021,alle Berufsgruppen,Insgesamt,"abgeschlossene Verfahren",,5439
2021,darunter medizinische Gesundheitsberufe,Männer,"abgeschlossene Verfahren",,1650
2021,darunter medizinische Gesundheitsberufe,Frauen,"abgeschlossene Verfahren",,2394
2021,darunter medizinische Gesundheitsberufe,Insgesamt,"abgeschlossene Verfahren",,4044
2020,alle Berufsgruppen,Männer,"abgeschlossene Verfahren",,2439
2020,alle Berufsgruppen,Frauen,"abgeschlossene Verfahren",,3087
2020,alle Berufsgruppen,Insgesamt,"abgeschlossene Verfahren",,5529
2020,darunter medizinische Gesundheitsberufe,Männer,"abgeschlossene Verfahren",,1614
2020,darunter medizinische Gesundheitsberufe,Frauen,"abgeschlossene Verfahren",,2484
2020,darunter medizinische Gesundheitsberufe,Insgesamt,"abgeschlossene Verfahren",,4095
2019,alle Berufsgruppen,Männer,"abgeschlossene Verfahren",,2184
2019,alle Berufsgruppen,Frauen,"abgeschlossene Verfahren",,2757
2019,alle Berufsgruppen,Insgesamt,"abgeschlossene Verfahren",,4941
2019,darunter medizinische Gesundheitsberufe,Männer,"abgeschlossene Verfahren",,1518
2019,darunter medizinische Gesundheitsberufe,Frauen,"abgeschlossene Verfahren",,2100
2019,darunter medizinische Gesundheitsberufe,Insgesamt,"abgeschlossene Verfahren",,3615
2018,alle Berufsgruppen,Männer,"abgeschlossene Verfahren",,1707
2018,alle Berufsgruppen,Frauen,"abgeschlossene Verfahren",,1845
2018,alle Berufsgruppen,Insgesamt,"abgeschlossene Verfahren",,3552
2018,darunter medizinische Gesundheitsberufe,Männer,"abgeschlossene Verfahren",,951
2018,darunter medizinische Gesundheitsberufe,Frauen,"abgeschlossene Verfahren",,1293
2018,darunter medizinische Gesundheitsberufe,Insgesamt,"abgeschlossene Verfahren",,2244
2017,alle Berufsgruppen,Männer,"abgeschlossene Verfahren",,1443
2017,alle Berufsgruppen,Frauen,"abgeschlossene Verfahren",,1404
2017,alle Berufsgruppen,Insgesamt,"abgeschlossene Verfahren",,2847
2017,darunter medizinische Gesundheitsberufe,Männer,"abgeschlossene Verfahren",,711
2017,darunter medizinische Gesundheitsberufe,Frauen,"abgeschlossene Verfahren",,948
2017,darunter medizinische Gesundheitsberufe,Insgesamt,"abgeschlossene Verfahren",,1659
2016,alle Berufsgruppen,Männer,"abgeschlossene Verfahren",,1320
2016,alle Berufsgruppen,Frauen,"abgeschlossene Verfahren",,1362
2016,alle Berufsgruppen,Insgesamt,"abgeschlossene Verfahren",,2682
2016,darunter medizinische Gesundheitsberufe,Männer,"abgeschlossene Verfahren",,711
2016,darunter medizinische Gesundheitsberufe,Frauen,"abgeschlossene Verfahren",,903
2016,darunter medizinische Gesundheitsberufe,Insgesamt,"abgeschlossene Verfahren",,1614
2015,alle Berufsgruppen,Männer,"abgeschlossene Verfahren",,957
2015,alle Berufsgruppen,Frauen,"abgeschlossene Verfahren",,1227
2015,alle Berufsgruppen,Insgesamt,"abgeschlossene Verfahren",,2199
2015,darunter medizinische Gesundheitsberufe,Männer,"abgeschlossene Verfahren",,591
2015,darunter medizinische Gesundheitsberufe,Frauen,"abgeschlossene Verfahren",,702
2015,darunter medizinische Gesundheitsberufe,Insgesamt,"abgeschlossene Verfahren",,1293
2014,alle Berufsgruppen,Männer,"abgeschlossene Verfahren",,916
2014,alle Berufsgruppen,Frauen,"abgeschlossene Verfahren",,1248
2014,alle Berufsgruppen,Insgesamt,"abgeschlossene Verfahren",,2164
2014,darunter medizinische Gesundheitsberufe,Männer,"abgeschlossene Verfahren",,597
2014,darunter medizinische Gesundheitsberufe,Frauen,"abgeschlossene Verfahren",,544
2014,darunter medizinische Gesundheitsberufe,Insgesamt,"abgeschlossene Verfahren",,1141
2012,alle Berufsgruppen,Männer,"abgeschlossene Verfahren",,222
2012,alle Berufsgruppen,Frauen,"abgeschlossene Verfahren",,339
2012,alle Berufsgruppen,Insgesamt,"abgeschlossene Verfahren",,561
2012,darunter medizinische Gesundheitsberufe,Männer,"abgeschlossene Verfahren",,180
2012,darunter medizinische Gesundheitsberufe,Frauen,"abgeschlossene Verfahren",,291
