Year,Wirtschaftsabschnitte (WZ 2008) Zusammenfassungen,Geschlecht,Units,Value
2019,Land- und Forstwirtschaft  Fischerei,Insgesamt,in 1000,11.42368
2019,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Insgesamt,in 1000,181.05264
2019,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Insgesamt,in 1000,7.84655
2019,Baugewerbe,Insgesamt,in 1000,68.81263
2019,Handel  Instandhaltung und Reparatur von Kfz,Insgesamt,in 1000,130.89983
2019,Verkehr und Lagerei; Information und Kommunikation,Insgesamt,in 1000,67.16394
2019,Gastgewerbe,Insgesamt,in 1000,57.58026
2019,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Insgesamt,in 1000,92.33568
2019,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Insgesamt,in 1000,160.67987
2019,Kunst  Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen,Insgesamt,in 1000,32.89778
2019,Insgesamt (inkl. sonstiger Abschnitte),Insgesamt,in 1000,818.34351
2018,Land- und Forstwirtschaft  Fischerei,Insgesamt,in 1000,14.14961
2018,Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe,Insgesamt,in 1000,187.68375
2018,Energieversorgung; Wasserversorgung  Entsorg.  Beseitig. v. Umweltverschmutzungen,Insgesamt,in 1000,8.9252
2018,Baugewerbe,Insgesamt,in 1000,65.19022
2018,Handel  Instandhaltung und Reparatur von Kfz,Insgesamt,in 1000,129.91822
2018,Verkehr und Lagerei; Information und Kommunikation,Insgesamt,in 1000,61.68477
2018,Gastgewerbe,Insgesamt,in 1000,58.19181
2018,Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche  wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen,Insgesamt,in 1000,87.23781
2018,ÖffentlicheVerwaltung  Verteidigung  Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen,Insgesamt,in 1000,155.93631
