Year,Kategorie,Migrationsstatus,Geschlecht,Units,Value
2022,Erwerbsquote,Insgesamt,Männer,%,82.2919356553704
2022,Erwerbsquote,Insgesamt,Frauen,%,74.3085012201788
2022,Erwerbsquote,Insgesamt,Insgesamt,%,78.3273341757004
2021,Erwerbsquote,Insgesamt,Männer,%,81.1164745473649
2021,Erwerbsquote,Insgesamt,Frauen,%,72.5892087838729
2021,Erwerbsquote,Insgesamt,Insgesamt,%,76.8940573242777
2019,Erwerbsquote,Insgesamt,Männer,%,83.03
2019,Erwerbsquote,Insgesamt,Frauen,%,73.76
2019,Erwerbsquote,Insgesamt,Insgesamt,%,78.46
2018,Erwerbsquote,Insgesamt,Männer,%,82.14
2018,Erwerbsquote,Insgesamt,Frauen,%,73.53
2018,Erwerbsquote,Insgesamt,Insgesamt,%,77.91
2017,Erwerbsquote,Insgesamt,Männer,%,81.61
2017,Erwerbsquote,Insgesamt,Frauen,%,72.73
2017,Erwerbsquote,Insgesamt,Insgesamt,%,77.26
2016,Erwerbsquote,Insgesamt,Männer,%,81.13
2016,Erwerbsquote,Insgesamt,Frauen,%,71.46
2016,Erwerbsquote,Insgesamt,Insgesamt,%,76.38
2015,Erwerbsquote,Insgesamt,Männer,%,81.4
2015,Erwerbsquote,Insgesamt,Frauen,%,71.95
2015,Erwerbsquote,Insgesamt,Insgesamt,%,76.71
2014,Erwerbsquote,Insgesamt,Männer,%,82.1
2014,Erwerbsquote,Insgesamt,Frauen,%,71.74
2014,Erwerbsquote,Insgesamt,Insgesamt,%,76.96
2013,Erwerbsquote,Insgesamt,Männer,%,82.15
2013,Erwerbsquote,Insgesamt,Frauen,%,71.68
2013,Erwerbsquote,Insgesamt,Insgesamt,%,76.93
2012,Erwerbsquote,Insgesamt,Männer,%,81.54
2012,Erwerbsquote,Insgesamt,Frauen,%,70.56
2012,Erwerbsquote,Insgesamt,Insgesamt,%,76.09
2011,Erwerbsquote,Insgesamt,Männer,%,81.68
2011,Erwerbsquote,Insgesamt,Frauen,%,70.57
2011,Erwerbsquote,Insgesamt,Insgesamt,%,76.15
2005,Erwerbsquote,Insgesamt,Männer,%,79.62
2005,Erwerbsquote,Insgesamt,Frauen,%,64.12
2005,Erwerbsquote,Insgesamt,Insgesamt,%,71.94
2022,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.7801448922629
2022,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,78.0881864941098
2022,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,80.9362312907898
2021,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.6853105105785
2021,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,76.2275831522131
2021,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,79.4576686548031
2019,Erwerbsquote,ohne Migrationshintergrund,Männer,%,84.49
2019,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,76.93
2019,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,80.72
2018,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.7
2018,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,76.65
2018,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,80.2
2017,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.41
2017,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,75.9
2017,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,79.69
2016,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.69
2016,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,74.22
2016,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.49
2015,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.38
2015,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,74.43
2015,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.43
2014,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.01
2014,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,74
2014,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.53
2013,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.06
2013,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,73.74
2013,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.42
2012,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.19
2012,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,72.46
2012,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,77.37
2011,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.3
2011,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,72.46
2011,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,77.42
2005,Erwerbsquote,ohne Migrationshintergrund,Männer,%,80.35
2005,Erwerbsquote,ohne Migrationshintergrund,Frauen,%,65.97
2005,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,73.21
2022,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.2005639258352
2022,Erwerbsquote,mit Migrationshintergrund,Frauen,%,63.4176950428781
2022,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,70.9863221441279
2021,Erwerbsquote,mit Migrationshintergrund,Männer,%,76.6581352833638
2021,Erwerbsquote,mit Migrationshintergrund,Frauen,%,61.4628614628615
2021,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.3418368507663
2019,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.47
2019,Erwerbsquote,mit Migrationshintergrund,Frauen,%,62.96
2019,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,71.08
2018,Erwerbsquote,mit Migrationshintergrund,Männer,%,76.77
2018,Erwerbsquote,mit Migrationshintergrund,Frauen,%,61.86
2018,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.68
2017,Erwerbsquote,mit Migrationshintergrund,Männer,%,75.95
2017,Erwerbsquote,mit Migrationshintergrund,Frauen,%,61.84
2017,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.27
2016,Erwerbsquote,mit Migrationshintergrund,Männer,%,75.3
2016,Erwerbsquote,mit Migrationshintergrund,Frauen,%,60.19
2016,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,68.15
2015,Erwerbsquote,mit Migrationshintergrund,Männer,%,77.13
2015,Erwerbsquote,mit Migrationshintergrund,Frauen,%,61.02
2015,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.17
2014,Erwerbsquote,mit Migrationshintergrund,Männer,%,78
2014,Erwerbsquote,mit Migrationshintergrund,Frauen,%,61.62
2014,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.82
2013,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.29
2013,Erwerbsquote,mit Migrationshintergrund,Frauen,%,62.97
2013,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,70.66
2012,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.41
2012,Erwerbsquote,mit Migrationshintergrund,Frauen,%,61.59
2012,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,70
2011,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.6
2011,Erwerbsquote,mit Migrationshintergrund,Frauen,%,61.52
2011,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.98
2005,Erwerbsquote,mit Migrationshintergrund,Männer,%,75.94
2005,Erwerbsquote,mit Migrationshintergrund,Frauen,%,54.55
2005,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,65.45
2022,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,81.3206470028544
2022,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,62.8747934209491
2022,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,72.2513494167037
2021,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,79.4360535689412
2021,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,61.262975412782
2021,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,70.6244746499375
2019,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,81.79
2019,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,63.49
2019,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,73.02
2018,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,80.5
2018,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,63.85
2018,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,72.51
2017,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,78.46
2017,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,62.82
2017,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,71.04
2016,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,78.64
2016,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,62.56
2016,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,70.95
2015,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,81.93
2015,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,64.28
2015,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,73.09
2014,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,83.32
2014,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,65.09
2014,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,74.12
2013,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,83.11
2013,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,65.9
2013,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,74.45
2012,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,83.76
2012,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,64.57
2012,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,73.99
2011,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,84.19
2011,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,64
2011,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,73.77
2005,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,78.64
2005,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen,%,55.86
2005,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,67.29
2022,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,68.9186895263962
2022,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,65.1350512263272
2022,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,67.114690034934
2021,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,68.9548614943163
2021,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,62.0468161324192
2021,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,65.6952175560283
2019,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,61.64
2019,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,52.55
2019,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,57.54
2018,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,60.37
2018,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,52.14
2018,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,56.62
2017,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,60.8
2017,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,50.81
2017,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,56.25
2016,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,59.98
2016,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen,%,47.99
2016,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,54.58
