Year,Gebietseinheit,Geschlecht,Qualifikation,Units,GeoCode,Value
2023,"Braunschweig, Stadt",Insgesamt,"Insgesamt",Anzahl,K03101,14650
2023,"Salzgitter, Stadt",Insgesamt,"Insgesamt",Anzahl,K03102,5873
2023,"Wolfsburg, Stadt",Insgesamt,"Insgesamt",Anzahl,K03103,11293
2023,"Gifhorn",Insgesamt,"Insgesamt",Anzahl,K03151,4347
2023,"Goslar",Insgesamt,"Insgesamt",Anzahl,K03153,4169
2023,"Helmstedt",Insgesamt,"Insgesamt",Anzahl,K03154,3084
2023,"Northeim",Insgesamt,"Insgesamt",Anzahl,K03155,4247
2023,"Peine",Insgesamt,"Insgesamt",Anzahl,K03157,4438
2023,"Wolfenbüttel",Insgesamt,"Insgesamt",Anzahl,K03158,2002
2023,"Göttingen",Insgesamt,"Insgesamt",Anzahl,K03159,13306
2023,"Statistische Region Braunschweig",Insgesamt,"Insgesamt",Anzahl,K031,67409
2023,"Region Hannover",Insgesamt,"Insgesamt",Anzahl,K03241,80235
2023,"dav. Hannover, Lhst.",Insgesamt,"Insgesamt",Anzahl,K03241001,49080
2023,"dav. Hannover, Umland",Insgesamt,"Insgesamt",Anzahl,K03241999,31155
2023,"Diepholz",Insgesamt,"Insgesamt",Anzahl,K03251,9504
2023,"Hameln-Pyrmont",Insgesamt,"Insgesamt",Anzahl,K03252,5242
2023,"Hildesheim",Insgesamt,"Insgesamt",Anzahl,K03254,8762
2023,"Holzminden",Insgesamt,"Insgesamt",Anzahl,K03255,2132
2023,"Nienburg (Weser)",Insgesamt,"Insgesamt",Anzahl,K03256,4401
2023,"Schaumburg",Insgesamt,"Insgesamt",Anzahl,K03257,5020
2023,"Statistische Region Hannover",Insgesamt,"Insgesamt",Anzahl,K032,115296
2023,"Celle",Insgesamt,"Insgesamt",Anzahl,K03351,5842
2023,"Cuxhaven",Insgesamt,"Insgesamt",Anzahl,K03352,6153
2023,"Harburg",Insgesamt,"Insgesamt",Anzahl,K03353,12859
2023,"Lüchow-Dannenberg",Insgesamt,"Insgesamt",Anzahl,K03354,973
2023,"Lüneburg",Insgesamt,"Insgesamt",Anzahl,K03355,4940
2023,"Osterholz",Insgesamt,"Insgesamt",Anzahl,K03356,2666
2023,"Rotenburg (Wümme)",Insgesamt,"Insgesamt",Anzahl,K03357,5238
2023,"Heidekreis",Insgesamt,"Insgesamt",Anzahl,K03358,5758
2023,"Stade",Insgesamt,"Insgesamt",Anzahl,K03359,7317
2023,"Uelzen",Insgesamt,"Insgesamt",Anzahl,K03360,2333
2023,"Verden",Insgesamt,"Insgesamt",Anzahl,K03361,8992
2023,"Statistische Region Lüneburg",Insgesamt,"Insgesamt",Anzahl,K033,63071
2023,"Delmenhorst, Stadt",Insgesamt,"Insgesamt",Anzahl,K03401,3063
2023,"Emden, Stadt",Insgesamt,"Insgesamt",Anzahl,K03402,2726
2023,"Oldenburg (Oldb), Stadt",Insgesamt,"Insgesamt",Anzahl,K03403,8487
2023,"Osnabrück, Stadt",Insgesamt,"Insgesamt",Anzahl,K03404,11434
2023,"Wilhelmshaven, Stadt",Insgesamt,"Insgesamt",Anzahl,K03405,2595
2023,"Ammerland",Insgesamt,"Insgesamt",Anzahl,K03451,5331
2023,"Aurich",Insgesamt,"Insgesamt",Anzahl,K03452,5337
2023,"Cloppenburg",Insgesamt,"Insgesamt",Anzahl,K03453,14103
2023,"Emsland",Insgesamt,"Insgesamt",Anzahl,K03454,20972
2023,"Friesland",Insgesamt,"Insgesamt",Anzahl,K03455,2000
2023,"Grafschaft Bentheim",Insgesamt,"Insgesamt",Anzahl,K03456,7254
2023,"Leer",Insgesamt,"Insgesamt",Anzahl,K03457,4903
2023,"Oldenburg",Insgesamt,"Insgesamt",Anzahl,K03458,6591
2023,"Osnabrück",Insgesamt,"Insgesamt",Anzahl,K03459,17042
2023,"Vechta",Insgesamt,"Insgesamt",Anzahl,K03460,13863
2023,"Wesermarsch",Insgesamt,"Insgesamt",Anzahl,K03461,3106
2023,"Wittmund",Insgesamt,"Insgesamt",Anzahl,K03462,1224
2023,"Statistische Region Weser-Ems",Insgesamt,"Insgesamt",Anzahl,K034,130031
2023,"Niedersachsen",Insgesamt,"Insgesamt",Anzahl,K030,375807
2022,"Braunschweig, Stadt",Insgesamt,"Insgesamt",Anzahl,K03101,13491
