Year,Altersgruppe,Geschlecht,Migrationsstatus,Units,Value
2022,15 – 25,Insgesamt,mit und ohne Migrationshintergrund,%,2.93
2022,25 – 35,Insgesamt,mit und ohne Migrationshintergrund,%,2.99
2022,35 – 45,Insgesamt,mit und ohne Migrationshintergrund,%,2.05
2022,45 – 55,Insgesamt,mit und ohne Migrationshintergrund,%,1.75
2022,55 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,1.88
2022,15 – 65,Insgesamt,mit und ohne Migrationshintergrund,%,2.28
2022,15 – 25,Männer,mit und ohne Migrationshintergrund,%,3.42
2022,25 – 35,Männer,mit und ohne Migrationshintergrund,%,3.31
2022,35 – 45,Männer,mit und ohne Migrationshintergrund,%,2.54
2022,45 – 55,Männer,mit und ohne Migrationshintergrund,%,2.03
2022,55 – 65,Männer,mit und ohne Migrationshintergrund,%,2.28
2022,15 – 65,Männer,mit und ohne Migrationshintergrund,%,2.68
2022,15 – 25,Frauen,mit und ohne Migrationshintergrund,%,2.4
2022,25 – 35,Frauen,mit und ohne Migrationshintergrund,%,2.65
2022,35 – 45,Frauen,mit und ohne Migrationshintergrund,%,1.55
2022,45 – 55,Frauen,mit und ohne Migrationshintergrund,%,1.47
2022,55 – 65,Frauen,mit und ohne Migrationshintergrund,%,1.5
2022,15 – 65,Frauen,mit und ohne Migrationshintergrund,%,1.87
2022,15 – 25,Insgesamt,ohne Migrationshintergrund,%,2.61
2022,25 – 35,Insgesamt,ohne Migrationshintergrund,%,2.59
2022,35 – 45,Insgesamt,ohne Migrationshintergrund,%,1.46
2022,45 – 55,Insgesamt,ohne Migrationshintergrund,%,1.23
2022,55 – 65,Insgesamt,ohne Migrationshintergrund,%,1.69
2022,15 – 65,Insgesamt,ohne Migrationshintergrund,%,1.87
2022,15 – 25,Männer,ohne Migrationshintergrund,%,2.83
2022,25 – 35,Männer,ohne Migrationshintergrund,%,2.85
2022,35 – 45,Männer,ohne Migrationshintergrund,%,1.64
2022,45 – 55,Männer,ohne Migrationshintergrund,%,1.4
2022,55 – 65,Männer,ohne Migrationshintergrund,%,2.03
2022,15 – 65,Männer,ohne Migrationshintergrund,%,2.12
2022,15 – 25,Frauen,ohne Migrationshintergrund,%,2.37
2022,25 – 35,Frauen,ohne Migrationshintergrund,%,2.3
2022,35 – 45,Frauen,ohne Migrationshintergrund,%,1.28
2022,45 – 55,Frauen,ohne Migrationshintergrund,%,1.06
2022,55 – 65,Frauen,ohne Migrationshintergrund,%,1.36
2022,15 – 65,Frauen,ohne Migrationshintergrund,%,1.61
2022,15 – 25,Insgesamt,mit Migrationshintergrund,%,3.61
2022,25 – 35,Insgesamt,mit Migrationshintergrund,%,3.9
2022,35 – 45,Insgesamt,mit Migrationshintergrund,%,3.22
