Year,Kategorie,Geschlecht,Units,Value
Juni 2007,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,8.5
Juni 2008,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,7.4
Juni 2009,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,7.6
Juni 2010,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,7.3
Juni 2011,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,6.7
Juni 2012,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,6.2
Juni 2013,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,6.3
Juni 2014,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,6.3
Juni 2015,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,5.9
Juni 2016,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,5.8
Juni 2017,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,5.6
Juni 2018,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,5.1
Juni 2019,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,4.9
Juni 2020,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,6
Juni 2021,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,5.5
Juni 2022,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,5.1
Juni 2023,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Insgesamt,%,5.6
Juni 2007,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,7.8
Juni 2008,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,6.9
Juni 2009,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,7.7
Juni 2010,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,7.3
Juni 2011,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,6.5
Juni 2012,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,6.1
Juni 2013,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,6.3
Juni 2014,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,6.3
Juni 2015,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,5.9
Juni 2016,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,6
Juni 2017,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,5.8
Juni 2018,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,5.3
Juni 2019,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,5.1
Juni 2020,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,6.4
Juni 2021,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,5.7
Juni 2022,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,5.2
Juni 2023,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Männer,%,5.7
Juni 2007,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,9.2
Juni 2008,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,7.9
Juni 2009,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,7.5
Juni 2010,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,7.3
Juni 2011,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,6.9
Juni 2012,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,6.4
Juni 2013,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,6.4
Juni 2014,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,6.3
Juni 2015,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,5.8
Juni 2016,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,5.6
Juni 2017,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,5.5
Juni 2018,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,5
Juni 2019,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,4.7
Juni 2020,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,5.7
Juni 2021,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,5.3
Juni 2022,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,5
Juni 2023,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,5.4
Juni 2024,Arbeitslosenquote Insgesamt (alle Erwerbspersonen),Frauen,%,5.5
Juni 2007,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,21.1
Juni 2008,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,20
Juni 2009,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,19.8
Juni 2010,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,18.5
Juni 2011,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,17.4
Juni 2012,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,16.2
Juni 2013,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,15.9
Juni 2014,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,16.2
Juni 2015,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,16.6
Juni 2016,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,18.4
Juni 2017,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,17.9
Juni 2018,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,15.9
Juni 2019,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,15
Juni 2020,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,18.1
Juni 2021,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,15.9
Juni 2022,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,16.4
Juni 2023,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,18.5
Juni 2024,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Insgesamt,%,16.9
Juni 2007,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,18.8
Juni 2008,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,17.5
Juni 2009,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,18.3
Juni 2010,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,16.9
Juni 2011,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,15.7
Juni 2012,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,14.5
Juni 2013,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,14.3
Juni 2014,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,14.4
Juni 2015,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,14.6
Juni 2016,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,17.6
Juni 2017,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,16.5
Juni 2018,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,14.4
Juni 2019,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,13.5
Juni 2020,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,16.5
Juni 2021,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Männer,%,13.9
