Year,Geschlecht,Rechtskreis,Migrationsstatus,Migrationserfahrung,Units,Value
2023,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,69235.5606650847
2023,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,52747.8250442841
2023,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,121983.385709369
2023,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,72829.7386712376
2023,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,49153.6470381307
2022,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,67117.3460480804
2022,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,50551.3239185833
2022,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,117671.871060798
2022,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,69704.1196460459
2022,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,47967.7514147495
2021,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,68750.7200961425
2021,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,52640.0589383119
2021,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,121390.779034455
2021,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,72553.4709786049
2021,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,48837.3080558526
2020,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,71909.046051579
2020,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,53888.3535613721
2020,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,125797.399612954
2020,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,69097.2890106761
2020,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,56700.1106022755
2019,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,52374
2019,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,40271
2019,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,92645
2019,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,51410
2019,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,41235
2018,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,54438
2018,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,44150
2018,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,98588
2018,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,59341
2018,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,39247
2017,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,59372
2017,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,48572
2017,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,107944
2017,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,64270
2017,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,43674
2016,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,62940
2016,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,51396
2016,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,114336
2016,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,71874
2016,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,42462
2015,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,65563
2015,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,54608
2015,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,120171
2015,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,75491
2015,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,44680
2014,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,69350
2014,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,58451
2014,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,127801
2014,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,78292
2014,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,49509
2013,männlich,Insgesamt,ohne Migrationshintergrund,,Anzahl,68287
2013,weiblich,Insgesamt,ohne Migrationshintergrund,,Anzahl,58284
2013,insgesamt,Insgesamt,ohne Migrationshintergrund,,Anzahl,126571
2013,insgesamt,Rechtskreis SGB II3),ohne Migrationshintergrund,,Anzahl,74801
2013,insgesamt,Rechtskreis SGB III3),ohne Migrationshintergrund,,Anzahl,51770
2023,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,66133.439334913
2023,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,64164.1749557128
2023,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,130297.614290621
2023,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,102214.261328754
2023,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,28083.3529618688
2022,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,61063.4528577877
2022,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,60219.6760814177
2022,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,121283.128939206
2022,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,95143.880353957
2022,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,26139.2485852497
2021,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,53241.2799038511
2021,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,44718.9410616891
2021,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,97960.2209655381
2021,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,73349.5290213937
2021,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,24610.6919441451
2020,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,53166.9539484189
2020,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,41525.6464386264
2020,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,94692.6003870447
2020,insgesamt,Rechtskreis SGB II3),mit Migrationshintergrund,,Anzahl,67382.7109893213
2020,insgesamt,Rechtskreis SGB III3),mit Migrationshintergrund,,Anzahl,27309.8893977239
2019,männlich,Insgesamt,mit Migrationshintergrund,,Anzahl,42680
2019,weiblich,Insgesamt,mit Migrationshintergrund,,Anzahl,33556
2019,insgesamt,Insgesamt,mit Migrationshintergrund,,Anzahl,76236
