Year,Nationalität / Migrationshintergrund,Gebietseinheit,Units,Value
2005,deutsche Staatsangehörigkeit,Niedersachsen,%,13.1
2005,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,43
2005,mit Migrationshintergrund,Niedersachsen,%,33.2
2005,ohne Migrationshintergrund,Niedersachsen,%,11.7
2005,Insgesamt,Niedersachsen,%,15.1
2005,deutsche Staatsangehörigkeit,Deutschland,%,12.8
2005,nichtdeutsche Staatsangehörigkeit,Deutschland,%,34.3
2005,mit Migrationshintergrund,Deutschland,%,28.2
2005,ohne Migrationshintergrund,Deutschland,%,11.6
2005,Insgesamt,Deutschland,%,14.7
2007,deutsche Staatsangehörigkeit,Niedersachsen,%,12.8
2007,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,40.3
2007,mit Migrationshintergrund,Niedersachsen,%,32.2
2007,ohne Migrationshintergrund,Niedersachsen,%,11.3
2007,Insgesamt,Niedersachsen,%,14.7
2007,deutsche Staatsangehörigkeit,Deutschland,%,12.5
2007,nichtdeutsche Staatsangehörigkeit,Deutschland,%,32.6
2007,mit Migrationshintergrund,Deutschland,%,26.9
2007,ohne Migrationshintergrund,Deutschland,%,11.3
2007,Insgesamt,Deutschland,%,14.3
2009,deutsche Staatsangehörigkeit,Niedersachsen,%,13
2009,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,37.9
2009,mit Migrationshintergrund,Niedersachsen,%,29.7
2009,ohne Migrationshintergrund,Niedersachsen,%,11.5
2009,Insgesamt,Niedersachsen,%,14.6
2009,deutsche Staatsangehörigkeit,Deutschland,%,13
2009,nichtdeutsche Staatsangehörigkeit,Deutschland,%,31.8
2009,mit Migrationshintergrund,Deutschland,%,26.6
2009,ohne Migrationshintergrund,Deutschland,%,11.7
2009,Insgesamt,Deutschland,%,14.6
2010,deutsche Staatsangehörigkeit,Niedersachsen,%,12.9
2010,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,36.7
2010,mit Migrationshintergrund,Niedersachsen,%,29.1
2010,ohne Migrationshintergrund,Niedersachsen,%,11.5
2010,Insgesamt,Niedersachsen,%,14.5
2010,deutsche Staatsangehörigkeit,Deutschland,%,12.9
2010,nichtdeutsche Staatsangehörigkeit,Deutschland,%,31.7
2010,mit Migrationshintergrund,Deutschland,%,26.2
2010,ohne Migrationshintergrund,Deutschland,%,11.7
2010,Insgesamt,Deutschland,%,14.5
2012,deutsche Staatsangehörigkeit,Niedersachsen,%,13.9
2012,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,36.5
2012,mit Migrationshintergrund,Niedersachsen,%,28.7
2012,ohne Migrationshintergrund,Niedersachsen,%,12.4
2012,Insgesamt,Niedersachsen,%,15.2
2012,deutsche Staatsangehörigkeit,Deutschland,%,13.6
2012,nichtdeutsche Staatsangehörigkeit,Deutschland,%,31.5
2012,mit Migrationshintergrund,Deutschland,%,26.3
2012,ohne Migrationshintergrund,Deutschland,%,12.3
2012,Insgesamt,Deutschland,%,15
2013,deutsche Staatsangehörigkeit,Niedersachsen,%,14.5
2013,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,36
2013,mit Migrationshintergrund,Niedersachsen,%,28.5
2013,ohne Migrationshintergrund,Niedersachsen,%,13
2013,Insgesamt,Niedersachsen,%,15.8
2013,deutsche Staatsangehörigkeit,Deutschland,%,13.9
2013,nichtdeutsche Staatsangehörigkeit,Deutschland,%,32
2013,mit Migrationshintergrund,Deutschland,%,26.6
2013,ohne Migrationshintergrund,Deutschland,%,12.6
2013,Insgesamt,Deutschland,%,15.5
2014,deutsche Staatsangehörigkeit,Niedersachsen,%,13.8
2014,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,36.6
2014,mit Migrationshintergrund,Niedersachsen,%,27.7
2014,ohne Migrationshintergrund,Niedersachsen,%,12.6
2014,Insgesamt,Niedersachsen,%,15.3
2014,deutsche Staatsangehörigkeit,Deutschland,%,13.7
2014,nichtdeutsche Staatsangehörigkeit,Deutschland,%,32.5
2014,mit Migrationshintergrund,Deutschland,%,26.7
2014,ohne Migrationshintergrund,Deutschland,%,12.5
2014,Insgesamt,Deutschland,%,15.4
2015,deutsche Staatsangehörigkeit,Niedersachsen,%,14
2015,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,40.5
2015,mit Migrationshintergrund,Niedersachsen,%,30.2
2015,ohne Migrationshintergrund,Niedersachsen,%,12.7
2015,Insgesamt,Niedersachsen,%,15.9
2015,deutsche Staatsangehörigkeit,Deutschland,%,13.8
2015,nichtdeutsche Staatsangehörigkeit,Deutschland,%,33.7
2015,mit Migrationshintergrund,Deutschland,%,27.7
2015,ohne Migrationshintergrund,Deutschland,%,12.5
2015,Insgesamt,Deutschland,%,15.7
2016,deutsche Staatsangehörigkeit,Niedersachsen,%,13.5
2016,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,43
2016,mit Migrationshintergrund,Niedersachsen,%,30.9
2016,ohne Migrationshintergrund,Niedersachsen,%,12.2
2016,Insgesamt,Niedersachsen,%,16
2016,deutsche Staatsangehörigkeit,Deutschland,%,13.3
2016,nichtdeutsche Staatsangehörigkeit,Deutschland,%,35.5
2016,mit Migrationshintergrund,Deutschland,%,28
2016,ohne Migrationshintergrund,Deutschland,%,12.1
2016,Insgesamt,Deutschland,%,15.7
2017,deutsche Staatsangehörigkeit,Niedersachsen,%,13.3
2017,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,41
2017,mit Migrationshintergrund,Niedersachsen,%,30.1
2017,ohne Migrationshintergrund,Niedersachsen,%,11.9
2017,Insgesamt,Niedersachsen,%,15.8
2017,deutsche Staatsangehörigkeit,Deutschland,%,13.1
2017,nichtdeutsche Staatsangehörigkeit,Deutschland,%,36.2
2017,mit Migrationshintergrund,Deutschland,%,28.6
2017,ohne Migrationshintergrund,Deutschland,%,11.8
2017,Insgesamt,Deutschland,%,15.8
2018,deutsche Staatsangehörigkeit,Niedersachsen,%,12.5
2018,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,38.5
2018,mit Migrationshintergrund,Niedersachsen,%,28.2
2018,ohne Migrationshintergrund,Niedersachsen,%,11.2
2018,Insgesamt,Niedersachsen,%,15
2018,deutsche Staatsangehörigkeit,Deutschland,%,12.8
2018,nichtdeutsche Staatsangehörigkeit,Deutschland,%,34.8
2018,mit Migrationshintergrund,Deutschland,%,27.2
2018,ohne Migrationshintergrund,Deutschland,%,11.4
2018,Insgesamt,Deutschland,%,15.5
2019,deutsche Staatsangehörigkeit,Niedersachsen,%,13.4
2019,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,40.8
2019,mit Migrationshintergrund,Niedersachsen,%,30.4
2019,ohne Migrationshintergrund,Niedersachsen,%,11.9
2019,Insgesamt,Niedersachsen,%,16
2019,deutsche Staatsangehörigkeit,Deutschland,%,13.2
2019,nichtdeutsche Staatsangehörigkeit,Deutschland,%,35.2
2019,mit Migrationshintergrund,Deutschland,%,27.8
2019,ohne Migrationshintergrund,Deutschland,%,11.7
2019,Insgesamt,Deutschland,%,15.9
2020,deutsche Staatsangehörigkeit,Niedersachsen,%,14
2020,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,43.7
2020,mit Migrationshintergrund,Niedersachsen,%,32.1
2020,ohne Migrationshintergrund,Niedersachsen,%,12.5
2020,Insgesamt,Niedersachsen,%,17
2020,deutsche Staatsangehörigkeit,Deutschland,%,13.3
2020,nichtdeutsche Staatsangehörigkeit,Deutschland,%,35.9
2020,mit Migrationshintergrund,Deutschland,%,28
2020,ohne Migrationshintergrund,Deutschland,%,11.8
2020,Insgesamt,Deutschland,%,16.2
2021,deutsche Staatsangehörigkeit,Niedersachsen,%,14.4
2021,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,41.2
2021,mit Migrationshintergrund,Niedersachsen,%,30.1
2021,ohne Migrationshintergrund,Niedersachsen,%,13
2021,Insgesamt,Niedersachsen,%,17.1
2021,deutsche Staatsangehörigkeit,Deutschland,%,14.1
2021,nichtdeutsche Staatsangehörigkeit,Deutschland,%,35.9
2021,mit Migrationshintergrund,Deutschland,%,28.6
2021,ohne Migrationshintergrund,Deutschland,%,12.5
2021,Insgesamt,Deutschland,%,16.9
2022,deutsche Staatsangehörigkeit,Niedersachsen,%,14.1
2022,nichtdeutsche Staatsangehörigkeit,Niedersachsen,%,40.6
2022,mit Migrationshintergrund,Niedersachsen,%,30.4
2022,ohne Migrationshintergrund,Niedersachsen,%,12.6
2022,Insgesamt,Niedersachsen,%,17.1
2022,deutsche Staatsangehörigkeit,Deutschland,%,13.7
2022,nichtdeutsche Staatsangehörigkeit,Deutschland,%,35.3
2022,mit Migrationshintergrund,Deutschland,%,28.1
2022,ohne Migrationshintergrund,Deutschland,%,12.1
2022,Insgesamt,Deutschland,%,16.7
