Year,Gebietseinheit,Nationalität,Units,GeoCode,Value
2022,"Braunschweig, Stadt",Insgesamt,Anzahl,K03101,23812
2022,"Salzgitter, Stadt",Insgesamt,Anzahl,K03102,15133
2022,"Wolfsburg, Stadt",Insgesamt,Anzahl,K03103,12009
2022,"Gifhorn",Insgesamt,Anzahl,K03151,11587
2022,"Goslar",Insgesamt,Anzahl,K03153,13899
2022,"Helmstedt",Insgesamt,Anzahl,K03154,7981
2022,"Northeim",Insgesamt,Anzahl,K03155,11273
2022,"Peine",Insgesamt,Anzahl,K03157,12579
2022,"Wolfenbüttel",Insgesamt,Anzahl,K03158,9861
2022,"Göttingen",Insgesamt,Anzahl,K03159,28195
2022,"Statistische Region Braunschweig",Insgesamt,Anzahl,K031,146339
2022,"Region Hannover",Insgesamt,Anzahl,K03241,144339
2022,"dav. Hannover, Lhst.",Insgesamt,Anzahl,K03241001,83645
2022,"dav. Hannover, Umland",Insgesamt,Anzahl,K03241999,60689
2022,"Diepholz",Insgesamt,Anzahl,K03251,15761
2022,"Hameln-Pyrmont",Insgesamt,Anzahl,K03252,17208
2022,"Hildesheim",Insgesamt,Anzahl,K03254,26846
2022,"Holzminden",Insgesamt,Anzahl,K03255,6669
2022,"Nienburg (Weser)",Insgesamt,Anzahl,K03256,12170
2022,"Schaumburg",Insgesamt,Anzahl,K03257,13258
2022,"Statistische Region Hannover",Insgesamt,Anzahl,K032,236246
2022,"Celle",Insgesamt,Anzahl,K03351,17021
2022,"Cuxhaven",Insgesamt,Anzahl,K03352,15204
2022,"Harburg",Insgesamt,Anzahl,K03353,16828
2022,"Lüchow-Dannenberg",Insgesamt,Anzahl,K03354,4373
2022,"Lüneburg",Insgesamt,Anzahl,K03355,15541
2022,"Osterholz",Insgesamt,Anzahl,K03356,6572
2022,"Rotenburg (Wümme)",Insgesamt,Anzahl,K03357,10056
2022,"Heidekreis",Insgesamt,Anzahl,K03358,10883
2022,"Stade",Insgesamt,Anzahl,K03359,18431
2022,"Uelzen",Insgesamt,Anzahl,K03360,7790
2022,"Verden",Insgesamt,Anzahl,K03361,8843
2022,"Statistische Region Lüneburg",Insgesamt,Anzahl,K033,131547
2022,"Delmenhorst, Stadt",Insgesamt,Anzahl,K03401,11767
2022,"Emden, Stadt",Insgesamt,Anzahl,K03402,6523
2022,"Oldenburg (Oldb), Stadt",Insgesamt,Anzahl,K03403,19775
2022,"Osnabrück, Stadt",Insgesamt,Anzahl,K03404,19147
2022,"Wilhelmshaven, Stadt",Insgesamt,Anzahl,K03405,12623
2022,"Ammerland",Insgesamt,Anzahl,K03451,8216
2022,"Aurich",Insgesamt,Anzahl,K03452,15712
2022,"Cloppenburg",Insgesamt,Anzahl,K03453,10703
2022,"Emsland",Insgesamt,Anzahl,K03454,18403
2022,"Friesland",Insgesamt,Anzahl,K03455,6593
2022,"Grafschaft Bentheim",Insgesamt,Anzahl,K03456,8750
2022,"Leer",Insgesamt,Anzahl,K03457,12973
2022,"Oldenburg",Insgesamt,Anzahl,K03458,7828
2022,"Osnabrück",Insgesamt,Anzahl,K03459,18154
2022,"Vechta",Insgesamt,Anzahl,K03460,8837
2022,"Wesermarsch",Insgesamt,Anzahl,K03461,8259
2022,"Wittmund",Insgesamt,Anzahl,K03462,4820
2022,"Statistische Region Weser-Ems",Insgesamt,Anzahl,K034,199093
2022,"Niedersachsen",Insgesamt,Anzahl,K030,713220
2021,"Braunschweig, Stadt",Insgesamt,Anzahl,K03101,21562
2021,"Salzgitter, Stadt",Insgesamt,Anzahl,K03102,14805
2021,"Wolfsburg, Stadt",Insgesamt,Anzahl,K03103,10573
2021,"Gifhorn",Insgesamt,Anzahl,K03151,10135
2021,"Goslar",Insgesamt,Anzahl,K03153,13037
2021,"Helmstedt",Insgesamt,Anzahl,K03154,7250
2021,"Northeim",Insgesamt,Anzahl,K03155,9764
2021,"Peine",Insgesamt,Anzahl,K03157,11142
2021,"Wolfenbüttel",Insgesamt,Anzahl,K03158,8631
2021,"Göttingen",Insgesamt,Anzahl,K03159,25460
2021,"Statistische Region Braunschweig",Insgesamt,Anzahl,K031,132354
2021,"Region Hannover",Insgesamt,Anzahl,K03241,135829
2021,"dav. Hannover, Lhst.",Insgesamt,Anzahl,K03241001,79721
2021,"dav. Hannover, Umland",Insgesamt,Anzahl,K03241999,56113
2021,"Diepholz",Insgesamt,Anzahl,K03251,13972
2021,"Hameln-Pyrmont",Insgesamt,Anzahl,K03252,15199
2021,"Hildesheim",Insgesamt,Anzahl,K03254,24325
2021,"Holzminden",Insgesamt,Anzahl,K03255,5870
2021,"Nienburg (Weser)",Insgesamt,Anzahl,K03256,10770
2021,"Schaumburg",Insgesamt,Anzahl,K03257,12115
2021,"Statistische Region Hannover",Insgesamt,Anzahl,K032,218075
2021,"Celle",Insgesamt,Anzahl,K03351,16143
2021,"Cuxhaven",Insgesamt,Anzahl,K03352,13544
2021,"Harburg",Insgesamt,Anzahl,K03353,14576
2021,"Lüchow-Dannenberg",Insgesamt,Anzahl,K03354,4050
2021,"Lüneburg",Insgesamt,Anzahl,K03355,14247
2021,"Osterholz",Insgesamt,Anzahl,K03356,5452
