Year,Migrationsstatus,Überwiegender Lebensunterhalt,Units,Value
2022,ohne Migrationshintergrund,"Insgesamt","in 1000",5998.277859
2022,mit Migrationshintergrund,"Insgesamt","in 1000",2011.337828
2021,ohne Migrationshintergrund,"Insgesamt","in 1000",5991.125666
2021,mit Migrationshintergrund,"Insgesamt","in 1000",1926.0626
2020,ohne Migrationshintergrund,"Insgesamt","in 1000",6097
2020,mit Migrationshintergrund,"Insgesamt","in 1000",1798
2019,ohne Migrationshintergrund,"Insgesamt","in 1000",6103.5
2019,mit Migrationshintergrund,"Insgesamt","in 1000",1786.4
2018,ohne Migrationshintergrund,"Insgesamt","in 1000",6106.2
2018,mit Migrationshintergrund,"Insgesamt","in 1000",1761.3
2017,ohne Migrationshintergrund,"Insgesamt","in 1000",6227
2017,mit Migrationshintergrund,"Insgesamt","in 1000",1701
2016,ohne Migrationshintergrund,"Insgesamt","in 1000",6399
2016,mit Migrationshintergrund,"Insgesamt","in 1000",1594
2015,ohne Migrationshintergrund,"Insgesamt","in 1000",6457
2015,mit Migrationshintergrund,"Insgesamt","in 1000",1408
2014,ohne Migrationshintergrund,"Insgesamt","in 1000",6429
2014,mit Migrationshintergrund,"Insgesamt","in 1000",1362
2013,ohne Migrationshintergrund,"Insgesamt","in 1000",6373
2013,mit Migrationshintergrund,"Insgesamt","in 1000",1409
2012,ohne Migrationshintergrund,"Insgesamt","in 1000",6490
2012,mit Migrationshintergrund,"Insgesamt","in 1000",1311
2011,ohne Migrationshintergrund,"Insgesamt","in 1000",6517
2011,mit Migrationshintergrund,"Insgesamt","in 1000",1273
2022,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2734.954584
2022,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",827.108268
2021,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",827.108268
2021,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2730.381573
2020,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",779.473827
2020,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2877
2019,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",760
2019,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2876.7
2018,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",727.7
2018,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2833.6
2017,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",713.1
2017,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2869
2016,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",642
2016,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2881
2015,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",594
2015,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2863
2014,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",532
2014,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2820
2013,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",520
2013,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2761
2012,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",550
2012,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2787
2011,mit Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",488
2011,ohne Migrationshintergrund,"eigene Erwerbs-/ Berufstätigkeit","in 1000",2794
2022,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",152.56237
2022,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",214.358618
2021,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",159.316153
2021,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",181.34436
2020,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",131
2020,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",169
2019,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",150.4
2019,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",135.5
2018,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",155.7
2018,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",134.4
2017,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",164
2017,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",123
2016,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",178
2016,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",108
2015,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",202
2015,mit Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",112
2014,ohne Migrationshintergrund,"Arbeitslosengeld I / Hartz IV","in 1000",211
