Year,Gebietseinheit,Migrationsstatus,Geschlecht,Units,Value
2018,Niedersachsen,Insgesamt,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1855.90621699999
2018,Niedersachsen,Insgesamt,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1435.59414299998
2018,Niedersachsen,Insgesamt,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,420.312074000001
2014,Niedersachsen,Insgesamt,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1918.125582
2014,Niedersachsen,Insgesamt,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1488.430851
2014,Niedersachsen,Insgesamt,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,429.694731
2010,Niedersachsen,Insgesamt,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1938.210564
2010,Niedersachsen,Insgesamt,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1487.079367
2010,Niedersachsen,Insgesamt,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,451.131197000001
2006,Niedersachsen,Insgesamt,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1773.81979
2006,Niedersachsen,Insgesamt,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1412.964001
2006,Niedersachsen,Insgesamt,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,360.855789
2018,Deutschland,Insgesamt,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,16812.0289109998
2018,Deutschland,Insgesamt,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,12563.7234409998
2018,Deutschland,Insgesamt,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,4248.30547
2014,Deutschland,Insgesamt,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,16889.1423020001
2014,Deutschland,Insgesamt,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,12840.9144980001
2014,Deutschland,Insgesamt,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,4048.227804
2010,Deutschland,Insgesamt,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,16971.7841389999
2010,Deutschland,Insgesamt,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,13079.1900730002
2010,Deutschland,Insgesamt,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,3892.59406599998
2006,Deutschland,Insgesamt,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,15727.3733249997
2006,Deutschland,Insgesamt,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,12316.1977579998
2006,Deutschland,Insgesamt,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,3411.17556700004
2018,Niedersachsen,ohne Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1659.02401199999
2018,Niedersachsen,ohne Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1274.98131199998
2018,Niedersachsen,ohne Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,384.042700000001
2014,Niedersachsen,ohne Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1757.135139
2014,Niedersachsen,ohne Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1355.337961
2014,Niedersachsen,ohne Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,401.797178
2010,Niedersachsen,ohne Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1794.14181900001
2010,Niedersachsen,ohne Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1368.207535
2010,Niedersachsen,ohne Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,425.934284000001
2006,Niedersachsen,ohne Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1663.630277
2006,Niedersachsen,ohne Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,1313.993876
2006,Niedersachsen,ohne Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,349.636401
2018,Deutschland,ohne Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,14967.19434
2018,Deutschland,ohne Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,11095.2072619999
2018,Deutschland,ohne Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,3871.98707800003
2014,Deutschland,ohne Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,15370.1097370003
2014,Deutschland,ohne Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,11590.3900390002
2014,Deutschland,ohne Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,3779.719698
2010,Deutschland,ohne Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,15581.152609
2010,Deutschland,ohne Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,11910.3338180002
2010,Deutschland,ohne Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,3670.81879099998
2006,Deutschland,ohne Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,14583.3154119998
2006,Deutschland,ohne Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,11326.1628689999
2006,Deutschland,ohne Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,3257.15254300004
2018,Niedersachsen,mit Migrationshintergrund,Insgesamt,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,196.882205
2018,Niedersachsen,mit Migrationshintergrund,männlich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,160.612831
2018,Niedersachsen,mit Migrationshintergrund,weiblich,Bezugspersonen mit selbstgenutzem Wohneigentum in 1 000,36.269374
