Year,Altersgruppe,Units,Geschlecht,Value
2022,18 – 25,"in 1000",Männlich,52.2
2022,25 – 45,"in 1000",Männlich,137.1
2022,45 – 65,"in 1000",Männlich,124.1
2022,65 und älter,"in 1000",Männlich,62
2022,Insgesamt,"in 1000",Männlich,375.4
2021,18 – 25,"in 1000",Männlich,56.3
2021,25 – 45,"in 1000",Männlich,140.7
2021,45 – 65,"in 1000",Männlich,124.1
2021,65 und älter,"in 1000",Männlich,61.6
2021,Insgesamt,"in 1000",Männlich,382.7
2019,18 – 25,"in 1000",Männlich,45.65721
2019,25 – 45,"in 1000",Männlich,137.26588
2019,45 – 65,"in 1000",Männlich,107.7658
2019,65 und älter,"in 1000",Männlich,44.27663
2019,Insgesamt,"in 1000",Männlich,334.96552
2018,18 – 25,"in 1000",Männlich,47.08076
2018,25 – 45,"in 1000",Männlich,137.56186
2018,45 – 65,"in 1000",Männlich,103.33179
2018,65 und älter,"in 1000",Männlich,40.9163
2018,Insgesamt,"in 1000",Männlich,328.89071
2017,18 – 25,"in 1000",Männlich,53.05455
2017,25 – 45,"in 1000",Männlich,144.42716
2017,45 – 65,"in 1000",Männlich,110.92681
2017,65 und älter,"in 1000",Männlich,41.62562
2017,Insgesamt,"in 1000",Männlich,350.03414
2016,18 – 25,"in 1000",Männlich,44.00527
2016,25 – 45,"in 1000",Männlich,116.25483
2016,45 – 65,"in 1000",Männlich,96.44101
2016,65 und älter,"in 1000",Männlich,37.95912
2016,Insgesamt,"in 1000",Männlich,294.66023
2015,18 – 25,"in 1000",Männlich,39.85153
2015,25 – 45,"in 1000",Männlich,106.21704
2015,45 – 65,"in 1000",Männlich,93.88345
2015,65 und älter,"in 1000",Männlich,33.25804
2015,Insgesamt,"in 1000",Männlich,273.21007
2014,18 – 25,"in 1000",Männlich,36.4847
2014,25 – 45,"in 1000",Männlich,107.87508
2014,45 – 65,"in 1000",Männlich,93.62941
2014,65 und älter,"in 1000",Männlich,35.69155
2014,Insgesamt,"in 1000",Männlich,273.68074
2013,18 – 25,"in 1000",Männlich,43.56142
2013,25 – 45,"in 1000",Männlich,109.29798
2013,45 – 65,"in 1000",Männlich,95.90546
2013,65 und älter,"in 1000",Männlich,32.45625
2013,Insgesamt,"in 1000",Männlich,281.22111
2012,18 – 25,"in 1000",Männlich,46.04152
2012,25 – 45,"in 1000",Männlich,101.17434
2012,45 – 65,"in 1000",Männlich,93.79414
2012,65 und älter,"in 1000",Männlich,30.68988
2012,Insgesamt,"in 1000",Männlich,271.69988
2011,18 – 25,"in 1000",Männlich,49.39595
2011,25 – 45,"in 1000",Männlich,101.92383
2011,45 – 65,"in 1000",Männlich,86.01129
2011,65 und älter,"in 1000",Männlich,31.31798
2011,Insgesamt,"in 1000",Männlich,268.64905
2022,18 – 25,"in 1000",Weiblich,50.7
2022,25 – 45,"in 1000",Weiblich,140.2
2022,45 – 65,"in 1000",Weiblich,129.7
2022,65 und älter,"in 1000",Weiblich,72.5
2022,Insgesamt,"in 1000",Weiblich,393.1
2021,18 – 25,"in 1000",Weiblich,51.8
2021,25 – 45,"in 1000",Weiblich,141.2
2021,45 – 65,"in 1000",Weiblich,131.9
2021,65 und älter,"in 1000",Weiblich,72.7
2021,Insgesamt,"in 1000",Weiblich,397.6
2019,18 – 25,"in 1000",Weiblich,47.93602
2019,25 – 45,"in 1000",Weiblich,128.84901
2019,45 – 65,"in 1000",Weiblich,115.80685
2019,65 und älter,"in 1000",Weiblich,56.08338
2019,Insgesamt,"in 1000",Weiblich,348.67526
2018,18 – 25,"in 1000",Weiblich,42.17416
2018,25 – 45,"in 1000",Weiblich,133.2397
2018,45 – 65,"in 1000",Weiblich,114.24866
2018,65 und älter,"in 1000",Weiblich,52.7576
2018,Insgesamt,"in 1000",Weiblich,342.42012
2017,18 – 25,"in 1000",Weiblich,42.7168
2017,25 – 45,"in 1000",Weiblich,137.24038
